"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Affiliations","Authors with affiliations","EID"
"Choi I.; Lee B.Y.; Kim S.; Imm S.; Chang Y.; Han J.","Choi, Inyoung (57191222972); Lee, Bo Young (58434622500); Kim, Sangbin (57653983500); Imm, Seulgi (58080796900); Chang, Yoonjee (57193332875); Han, Jaejoon (24075803800)","57191222972; 58434622500; 57653983500; 58080796900; 57193332875; 24075803800","Comparison of chitosan and gelatin-based films and application to antimicrobial coatings enriched with grapefruit seed extract for cherry tomato preservation","2023","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146948029&doi=10.1007%2fs10068-023-01254-9&partnerID=40&md5=af9e4265feb1c719f32786a3d5c131cb","Department of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea; Department of Food and Nutrition, College of Science and Technology, Kookmin University, Seoul, 02707, South Korea; Department of Food Biosciences and Technology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea","Choi I., Department of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea; Lee B.Y., Department of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea; Kim S., Department of Food and Nutrition, College of Science and Technology, Kookmin University, Seoul, 02707, South Korea; Imm S., Department of Food and Nutrition, College of Science and Technology, Kookmin University, Seoul, 02707, South Korea; Chang Y., Department of Food and Nutrition, College of Science and Technology, Kookmin University, Seoul, 02707, South Korea; Han J., Department of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea, Department of Food Biosciences and Technology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea","2-s2.0-85146948029"
"Janowicz M.; Kadzińska J.; Ciurzyńska A.; Szulc K.; Galus S.; Karwacka M.; Nowacka M.","Janowicz, Monika (25822575400); Kadzińska, Justyna (56717686700); Ciurzyńska, Agnieszka (47561153100); Szulc, Karolina (56730478200); Galus, Sabina (51061033000); Karwacka, Magdalena (57218624627); Nowacka, Małgorzata (37361460600)","25822575400; 56717686700; 47561153100; 56730478200; 51061033000; 57218624627; 37361460600","The Structure-Forming Potential of Selected Polysaccharides and Protein Hydrocolloids in Shaping the Properties of Composite Films Using Pumpkin Purée","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164030178&doi=10.3390%2fapp13126959&partnerID=40&md5=02f8f65dd9c2381acd5ab8a7c902342c","Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland","Janowicz M., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland; Kadzińska J., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland; Ciurzyńska A., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland; Szulc K., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland; Galus S., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland; Karwacka M., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland; Nowacka M., Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Nowoursynowska 159c, Warsaw, 02-776, Poland","2-s2.0-85164030178"
"Sukhavattanakul P.; Thanyacharoen T.; Chuysinuan P.; Techasakul S.; Ummartyotin S.","Sukhavattanakul, Pongpat (55561397500); Thanyacharoen, Thanyaluck (57195692969); Chuysinuan, Piyachat (26646404500); Techasakul, Supanna (9735557300); Ummartyotin, Sarute (42361690900)","55561397500; 57195692969; 26646404500; 9735557300; 42361690900","Release characteristics of cannabidiol isolate based on polysaccharide edible film: comparative study","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151480988&doi=10.1007%2fs42247-023-00487-y&partnerID=40&md5=ef98ebd913d46ac507bd03bb57fcaadb","Department of Materials and Textile Technology, Faculty of Science and Technology, Thammasat University, Pathumtani, Thailand; Laboratory of Organic Synthesis, Chulabhorn Research Institute, Bangkok, Thailand","Sukhavattanakul P., Department of Materials and Textile Technology, Faculty of Science and Technology, Thammasat University, Pathumtani, Thailand; Thanyacharoen T., Laboratory of Organic Synthesis, Chulabhorn Research Institute, Bangkok, Thailand; Chuysinuan P., Laboratory of Organic Synthesis, Chulabhorn Research Institute, Bangkok, Thailand; Techasakul S., Laboratory of Organic Synthesis, Chulabhorn Research Institute, Bangkok, Thailand; Ummartyotin S., Department of Materials and Textile Technology, Faculty of Science and Technology, Thammasat University, Pathumtani, Thailand","2-s2.0-85151480988"
"Garrido M.D.; Egea M.; Font-i-Furnols M.; Linares M.B.; Peñaranda I.","Garrido, M. Dolores (7101974645); Egea, Macarena (56316018800); Font-i-Furnols, Maria (12753246200); Linares, M. Belén (8652888800); Peñaranda, Irene (57195267006)","7101974645; 56316018800; 12753246200; 8652888800; 57195267006","Consumer perception of entire male pork coated with spiced edible films as a new product to mask boar taint","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151235363&doi=10.1016%2fj.meatsci.2023.109171&partnerID=40&md5=942638c50008a4057525701cb0e0bd6f","Department of Food Science and Technology, Veterinary Faculty, University of Murcia, Espinardo, Murcia, 30100, Spain; IRTA-Monells, Product Quality Program, Finca Camps i Armet, 17121 Monells, Girona, Spain","Garrido M.D., Department of Food Science and Technology, Veterinary Faculty, University of Murcia, Espinardo, Murcia, 30100, Spain; Egea M., Department of Food Science and Technology, Veterinary Faculty, University of Murcia, Espinardo, Murcia, 30100, Spain; Font-i-Furnols M., IRTA-Monells, Product Quality Program, Finca Camps i Armet, 17121 Monells, Girona, Spain; Linares M.B., Department of Food Science and Technology, Veterinary Faculty, University of Murcia, Espinardo, Murcia, 30100, Spain; Peñaranda I., Department of Food Science and Technology, Veterinary Faculty, University of Murcia, Espinardo, Murcia, 30100, Spain","2-s2.0-85151235363"
"Carpintero M.; Marcet I.; Zornoza M.; Rendueles M.; Díaz M.","Carpintero, María (57395606200); Marcet, Ismael (36080793400); Zornoza, María (58617483100); Rendueles, Manuel (6701769326); Díaz, Mario (35479005400)","57395606200; 36080793400; 58617483100; 6701769326; 35479005400","Effect of Birch Sap as Solvent and Source of Bioactive Compounds in Casein and Gelatine Films","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172190063&doi=10.3390%2fmembranes13090786&partnerID=40&md5=862c938a229777c7a16779d2667c3c81","Department of Chemical and Environmental Engineering, University of Oviedo, C/Julian Clavería 8, Oviedo, 33006, Spain","Carpintero M., Department of Chemical and Environmental Engineering, University of Oviedo, C/Julian Clavería 8, Oviedo, 33006, Spain; Marcet I., Department of Chemical and Environmental Engineering, University of Oviedo, C/Julian Clavería 8, Oviedo, 33006, Spain; Zornoza M., Department of Chemical and Environmental Engineering, University of Oviedo, C/Julian Clavería 8, Oviedo, 33006, Spain; Rendueles M., Department of Chemical and Environmental Engineering, University of Oviedo, C/Julian Clavería 8, Oviedo, 33006, Spain; Díaz M., Department of Chemical and Environmental Engineering, University of Oviedo, C/Julian Clavería 8, Oviedo, 33006, Spain","2-s2.0-85172190063"
"Nguyen Q.-D.; Tran T.T.V.; Nguyen N.-N.; Nguyen T.-P.; Lien T.-N.","Nguyen, Quoc-Duy (57211118960); Tran, Thi Tuong Vi (57188997493); Nguyen, Nhu-Ngoc (57354686600); Nguyen, Tran-Phong (58174685500); Lien, Tuyet-Ngan (58174685600)","57211118960; 57188997493; 57354686600; 58174685500; 58174685600","Preparation of gelatin/carboxymethyl cellulose/guar gum edible films enriched with methanolic extracts from shallot wastes and its application in the microbiological control of raw beef","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159922272&doi=10.1016%2fj.fpsl.2023.101091&partnerID=40&md5=98804cb3f68e14861a895dbe61d894b4","Faculty of Environmental and Food Engineering, Nguyen Tat Thanh University, Ho Chi Minh City, 754000, Viet Nam","Nguyen Q.-D., Faculty of Environmental and Food Engineering, Nguyen Tat Thanh University, Ho Chi Minh City, 754000, Viet Nam; Tran T.T.V., Faculty of Environmental and Food Engineering, Nguyen Tat Thanh University, Ho Chi Minh City, 754000, Viet Nam; Nguyen N.-N., Faculty of Environmental and Food Engineering, Nguyen Tat Thanh University, Ho Chi Minh City, 754000, Viet Nam; Nguyen T.-P., Faculty of Environmental and Food Engineering, Nguyen Tat Thanh University, Ho Chi Minh City, 754000, Viet Nam; Lien T.-N., Faculty of Environmental and Food Engineering, Nguyen Tat Thanh University, Ho Chi Minh City, 754000, Viet Nam","2-s2.0-85159922272"
"Reyes Méndez L.M.; Méndez Morales P.A.; López-Córdoba A.; Ortega-Toro R.; Gutiérrez T.J.","Reyes Méndez, Laura María (58361429300); Méndez Morales, Paula Andrea (58362061800); López-Córdoba, Alex (55915687700); Ortega-Toro, Rodrigo (55966323300); Gutiérrez, Tomy J. (56414510900)","58361429300; 58362061800; 55915687700; 55966323300; 56414510900","Active chitosan/gelatin-based films and coatings containing eugenol and oregano essential oil for fresh cheese preservation","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163105607&doi=10.1111%2fjfpe.14396&partnerID=40&md5=75663be6872c2daaaf9fb6bec7d92dc4","Grupo de Investigación en Etnofarmacología, Productos Naturales y Alimentos, Escuela de Ciencias Básicas Tecnología e Ingeniería, Universidad Nacional Abierta y a Distancia, Bogotá, Colombia; Grupo de Investigación en Bioeconomía y Sostenibilidad Agroalimentaria, Escuela de Administración de Empresas Agropecuarias, Facultad Seccional Duitama, Universidad Pedagógica y Tecnológica de Colombia, Duitama, Colombia; Food Packaging and Shelf Life Research Group (FP&SL), Programa de Ingeniería de Alimentos, Universidad de Cartagena, Cartagena de Indias, Colombia; Grupo de Materiales Compuestos Termoplásticos (CoMP), Instituto de Investigaciones en Ciencia y Tecnología de Materiales (INTEMA), Facultad de Ingeniería, Universidad Nacional de Mar del Plata (UNMdP) y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Mar del Plata, Argentina","Reyes Méndez L.M., Grupo de Investigación en Etnofarmacología, Productos Naturales y Alimentos, Escuela de Ciencias Básicas Tecnología e Ingeniería, Universidad Nacional Abierta y a Distancia, Bogotá, Colombia; Méndez Morales P.A., Grupo de Investigación en Etnofarmacología, Productos Naturales y Alimentos, Escuela de Ciencias Básicas Tecnología e Ingeniería, Universidad Nacional Abierta y a Distancia, Bogotá, Colombia; López-Córdoba A., Grupo de Investigación en Bioeconomía y Sostenibilidad Agroalimentaria, Escuela de Administración de Empresas Agropecuarias, Facultad Seccional Duitama, Universidad Pedagógica y Tecnológica de Colombia, Duitama, Colombia; Ortega-Toro R., Food Packaging and Shelf Life Research Group (FP&SL), Programa de Ingeniería de Alimentos, Universidad de Cartagena, Cartagena de Indias, Colombia; Gutiérrez T.J., Grupo de Materiales Compuestos Termoplásticos (CoMP), Instituto de Investigaciones en Ciencia y Tecnología de Materiales (INTEMA), Facultad de Ingeniería, Universidad Nacional de Mar del Plata (UNMdP) y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Mar del Plata, Argentina","2-s2.0-85163105607"
"Dinh T.A.; Le Y.N.; Pham N.Q.; Ton-That P.; Van-Xuan T.; Ho T.G.-T.; Nguyen T.; Phuong H.H.K.","Dinh, Thiet Anh (58413460700); Le, Yen Nhi (57317710900); Pham, Nhat Quyen (58411935400); Ton-That, Phu (58412705500); Van-Xuan, Thinh (58414231300); Ho, Thanh Gia-Thien (57807412500); Nguyen, Tri (57209017513); Phuong, Ha Huynh Ky (58411170400)","58413460700; 57317710900; 58411935400; 58412705500; 58414231300; 57807412500; 57209017513; 58411170400","Fabrication of antimicrobial edible films from chitosan incorporated with guava leaf extract","2023","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163758982&doi=10.1016%2fj.porgcoat.2023.107772&partnerID=40&md5=cb1c1617936992d5d688280ad3e6542b","Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam; Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam; Institute of Chemical Technology, Vietnam Academy of Science and Technology, No.1A, TL29 Str., Thanh Loc Ward, Dist. 12, Ho Chi Minh City, Viet Nam; Ho Chi Minh City Open University, 97 Vo Van Tan Str., District 3, Ho Chi Minh City, Viet Nam","Dinh T.A., Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam, Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam; Le Y.N., Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam, Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam; Pham N.Q., Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam, Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam; Ton-That P., Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam, Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam; Van-Xuan T., Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam, Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam; Ho T.G.-T., Institute of Chemical Technology, Vietnam Academy of Science and Technology, No.1A, TL29 Str., Thanh Loc Ward, Dist. 12, Ho Chi Minh City, Viet Nam; Nguyen T., Institute of Chemical Technology, Vietnam Academy of Science and Technology, No.1A, TL29 Str., Thanh Loc Ward, Dist. 12, Ho Chi Minh City, Viet Nam, Ho Chi Minh City Open University, 97 Vo Van Tan Str., District 3, Ho Chi Minh City, Viet Nam; Phuong H.H.K., Vietnam National University Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Ho Chi Minh City, Viet Nam, Faculty of Chemical Engineering, Ho Chi Minh City University of Technology (HCMUT), 268 Ly Thuong Kiet Str., Dist. 10, Ho Chi Minh City, Viet Nam","2-s2.0-85163758982"
"Quintero Pimiento C.R.; Fernández P.V.; Ciancia M.; López-Córdoba A.; Goyanes S.; Bertuzzi M.A.; Foresti M.L.","Quintero Pimiento, Carmen Rosa (57217175755); Fernández, Paula Virginia (57213899581); Ciancia, Marina (6601920420); López-Córdoba, Alex (55915687700); Goyanes, Silvia (7003934728); Bertuzzi, María Alejandra (6602095459); Foresti, María Laura (35568412500)","57217175755; 57213899581; 6601920420; 55915687700; 7003934728; 6602095459; 35568412500","Antioxidant Edible Films Based on Pear Juice and Pregelatinized Cassava Starch: Effect of the Carbohydrate Profile at Different Degrees of Pear Ripeness","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176500584&doi=10.3390%2fpolym15214263&partnerID=40&md5=7c1ddd430278982c1d508c8463ed999e","Universidad de Buenos Aires, Facultad de Ingeniería, Buenos Aires, 1127, Argentina; CONICET–Universidad de Buenos Aires, Instituto de Tecnología en Polímeros y Nanotecnología (ITPN), Buenos Aires, 1127, Argentina; Universidad de Buenos Aires, Facultad de Agronomía, Departamento de Biología Aplicada y Alimentos, Cátedra de Química de Biomoléculas, Buenos Aires, 1127, Argentina; CONICET, Centro de Investigación de Hidrato de Carbono (CIHIDECAR)-CONICET, UBA, Buenos Aires, 1428, Argentina; Grupo de Investigación en Bioeconomía y Sostenibilidad Agroalimentaria, Escuela de Administración de Empresas Agropecuarias, Facultad Seccional Duitama, Universidad Pedagógica y Tecnológica de Colombia, Duitama, 150461, Colombia; Universidad de Buenos Aires, Facultad de Ciencias Exactas y Naturales, Departamento de Física, Buenos Aires, 1127, Argentina; CONICET–Universidad de Buenos Aires, Instituto de Física de Buenos Aires (IFIBA), Buenos Aires, 1127, Argentina; Universidad Nacional de Salta, Facultad de Ingeniería, Instituto de Investigaciones para la Industria Química (INIQUI) CONICET, Salta, 4400, Argentina","Quintero Pimiento C.R., Universidad de Buenos Aires, Facultad de Ingeniería, Buenos Aires, 1127, Argentina, CONICET–Universidad de Buenos Aires, Instituto de Tecnología en Polímeros y Nanotecnología (ITPN), Buenos Aires, 1127, Argentina; Fernández P.V., Universidad de Buenos Aires, Facultad de Agronomía, Departamento de Biología Aplicada y Alimentos, Cátedra de Química de Biomoléculas, Buenos Aires, 1127, Argentina, CONICET, Centro de Investigación de Hidrato de Carbono (CIHIDECAR)-CONICET, UBA, Buenos Aires, 1428, Argentina; Ciancia M., Universidad de Buenos Aires, Facultad de Agronomía, Departamento de Biología Aplicada y Alimentos, Cátedra de Química de Biomoléculas, Buenos Aires, 1127, Argentina, CONICET, Centro de Investigación de Hidrato de Carbono (CIHIDECAR)-CONICET, UBA, Buenos Aires, 1428, Argentina; López-Córdoba A., Grupo de Investigación en Bioeconomía y Sostenibilidad Agroalimentaria, Escuela de Administración de Empresas Agropecuarias, Facultad Seccional Duitama, Universidad Pedagógica y Tecnológica de Colombia, Duitama, 150461, Colombia; Goyanes S., Universidad de Buenos Aires, Facultad de Ciencias Exactas y Naturales, Departamento de Física, Buenos Aires, 1127, Argentina, CONICET–Universidad de Buenos Aires, Instituto de Física de Buenos Aires (IFIBA), Buenos Aires, 1127, Argentina; Bertuzzi M.A., Universidad Nacional de Salta, Facultad de Ingeniería, Instituto de Investigaciones para la Industria Química (INIQUI) CONICET, Salta, 4400, Argentina; Foresti M.L., Universidad de Buenos Aires, Facultad de Ingeniería, Buenos Aires, 1127, Argentina, CONICET–Universidad de Buenos Aires, Instituto de Tecnología en Polímeros y Nanotecnología (ITPN), Buenos Aires, 1127, Argentina","2-s2.0-85176500584"
"Martins V.F.R.; Pintado M.E.; Morais R.M.S.C.; Morais A.M.M.B.","Martins, Valter F. R. (58045712300); Pintado, Manuela E. (58782210600); Morais, Rui M. S. C. (58849123200); Morais, Alcina M. M. B. (58848647700)","58045712300; 58782210600; 58849123200; 58848647700","Recent Highlights in Sustainable Bio-Based Edible Films and Coatings for Fruit and Vegetable Applications","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183390288&doi=10.3390%2ffoods13020318&partnerID=40&md5=acc437ea66b991f496aee70b9ccb6542","CBQF—Centro de Biotecnologia e Química Fina—Laboratório Associado, Escola Superior de Biotecnologia, Universidade Católica Portuguesa, Rua Diogo Botelho, Porto, 1327, 4169-005, Portugal","Martins V.F.R., CBQF—Centro de Biotecnologia e Química Fina—Laboratório Associado, Escola Superior de Biotecnologia, Universidade Católica Portuguesa, Rua Diogo Botelho, Porto, 1327, 4169-005, Portugal; Pintado M.E., CBQF—Centro de Biotecnologia e Química Fina—Laboratório Associado, Escola Superior de Biotecnologia, Universidade Católica Portuguesa, Rua Diogo Botelho, Porto, 1327, 4169-005, Portugal; Morais R.M.S.C., CBQF—Centro de Biotecnologia e Química Fina—Laboratório Associado, Escola Superior de Biotecnologia, Universidade Católica Portuguesa, Rua Diogo Botelho, Porto, 1327, 4169-005, Portugal; Morais A.M.M.B., CBQF—Centro de Biotecnologia e Química Fina—Laboratório Associado, Escola Superior de Biotecnologia, Universidade Católica Portuguesa, Rua Diogo Botelho, Porto, 1327, 4169-005, Portugal","2-s2.0-85183390288"
