Pais, Citas
China, 8810
Spain, 7492
Brazil, 6628
United States, 5306
Iran, 4026
Portugal, 2761
Argentina, 2688
France, 2464
Italy, 1961
Mexico, 1902
Egypt, 1777
Thailand, 1741
Chile, 1731
Turkey, 1607
India, 1605
Japan, 1604
Malaysia, 1514
Greece, 1380
South Korea, 1367
Saudi Arabia, 1344
Tunisia, 1148
Poland, 1041
Pakistan, 826
Ecuador, 817
Canada, 796
United Kingdom, 721
Colombia, 559
Ireland, 484
Indonesia, 400
Romania, 381
Russian Federation, 313
South Africa, 298
Cuba, 293
Germany, 279
Serbia, 270
Denmark, 269
Taiwan, 226
Viet Nam, 213
Lithuania, 211
Palestine, 179
Australia, 162
Belgium, 140
Luxembourg, 104
Croatia, 101
Sweden, 92
Algeria, 90
Israel, 88
Peru, 83
North Macedonia, 79
New Zealand, 73
Morocco, 67
Syrian Arab Republic, 63
Oman, 57
Czech Republic, 57
Slovakia, 53
Yemen, 50
Singapore, 45
Iraq, 44
Norway, 31
Finland, 23
Switzerland, 19
Puerto Rico, 12
Honduras, 11
Jordan, 9
Brunei Darussalam, 8
Cote d'Ivoire, 5
Myanmar, 5
Qatar, 4
Kuwait, 3
Nigeria, 3
Bulgaria, 3
United Arab Emirates, 2
Guyana, 1
Kazakhstan, 1
Hungary, 1
Bangladesh, 0
