Chi,Gel,Gly,Pec,Sta,Oil,T(°C),%RH,t(h),TS,WVP,%E
0.992,0.0,0.0,0.0,0.0,0.0,25,60.0,48,96.0,86.0,5.5
0.998,0.0,0.0,0.0,0.0,0.5,25,60.0,48,60.0,130.2,7.0
0.97,0.0,0.0,0.0,0.0,0.0,25,60.0,48,113.0,65.0,22.0
2.0,0.0,0.0,0.0,0.0,0.0,26,0.0,2,36.85,0.34,3.76
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,26.4,94.7,35.1
1.496,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,0.27,2.77
1.0,0.0,0.2,0.0,0.0,4.557,21,57.0,24,32.4,63.19,42.8
1.0,0.0,0.2,0.0,0.0,2.519,21,57.0,24,71.2,28.82,13.2
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,48,113.0,0.27,26.5
1.0,0.0,0.25,0.0,0.0,0.0,40,75.0,140,44.9,29.53,16.9
1.0,0.0,0.0,0.0,0.0,0.0,22,50.0,46,55.43,9.21,4.58
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,40.41,97.6,35.1
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
2.0,0.0,0.0,0.0,0.0,0.65,26,0.0,72,14.41,0.54,5.46
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
1.496,0.0,0.3,0.0,0.0,0.5,40,54.0,24,22.0,0.27,2.77
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,34.89,81.7,100.1
0.998,0.0,0.2,0.0,0.0,0.5,30,53.0,24,65.0,17.0,5.7
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,46.4,80.6,100.4
0.0,2.0,0.829,0.0,0.0,0.0,60,53.0,24,67.11,9.08,36.5
0.0,0.5,1.4,0.1,0.0,0.0,25,58.0,12,27.85,7.68,106.56
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,25.4,60.8,75.4
0.922,0.23,0.194,0.0,0.461,0.0,60,50.0,18,36.46,101.7,51.2
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.24,0.06,1.4,0.3,0.0,0.0,25,58.0,12,3.82,7.68,15.91
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,24.5,26.5
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.24,0.5,1.26,0.0,0.0,0.0,25,58.0,12,3.2,7.68,63.39
0.0,0.3,1.4,0.3,0.0,0.0,25,58.0,12,12.05,7.68,63.39
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
0.498,1.992,0.498,0.0,0.0,0.0,30,53.0,24,31.0,13.0,9.3
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,62.5,1.5
1.0,0.0,0.2,0.0,0.0,2.519,21,57.0,24,71.2,44.4,12.33
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
1.975,0.0,1.775,0.0,0.0,0.0,25,45.0,14,20.96,0.03,27.64
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
0.919,0.23,0.579,0.0,1.378,0.0,60,50.0,18,26.4,65.8,80.5
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.92,0.0,0.387,0.0,0.92,0.0,60,54.0,18,33.36,92.2,100.3
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,38.85,81.7,100.1
0.92,0.46,0.387,0.0,0.92,0.0,60,50.0,18,33.36,94.7,100.3
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
1.0,1.0,0.0,0.0,0.0,0.0,22,50.0,46,55.83,96.0,4.7
2.0,0.0,0.0,0.0,0.0,0.0,26,0.0,42,72.2,0.3,3.76
0.0,0.5,1.4,0.1,0.0,0.0,25,58.0,12,5.33,7.68,27.48
1.496,0.0,0.3,0.0,0.0,3.0,25,54.0,58,22.0,0.27,26.5
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
1.0,0.0,0.25,0.0,0.0,0.0,40,75.0,140,10.8,89.68,16.9
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,72.5,1.5
0.499,0.0,0.3,0.0,0.0,0.0,21,54.0,24,627.5,66.3,21.5
1.496,0.0,0.3,0.0,0.0,0.0,2,54.0,336,398.0,0.27,7.72
1.333,1.333,0.0,0.0,0.0,2.0,25,50.0,48,50.0,72.0,6.5
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.998,0.0,0.3,0.0,0.0,0.0,25,54.0,168,392.0,92.2,15.5
1.0,0.0,0.25,0.0,0.0,0.0,40,75.0,140,64.3,89.68,16.9
0.498,1.992,0.498,0.0,0.0,0.0,30,53.0,24,31.0,13.0,9.3
0.92,0.23,0.387,0.0,0.46,0.0,60,50.0,18,49.4,80.6,100.4
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,90.6,50.3
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
0.92,0.46,0.387,0.0,1.38,0.0,60,50.0,18,33.36,94.7,50.3
0.792,1.188,0.99,0.0,0.0,0.125,24,33.0,72,22.64,0.27,12.83
0.792,1.188,0.991,0.0,0.0,0.125,24,33.0,72,22.64,0.27,12.03
0.998,0.0,0.3,0.0,0.0,0.0,40,54.0,24,231.0,92.2,1.5
0.92,0.0,0.387,0.0,0.92,0.0,60,50.0,18,33.36,92.2,100.3
0.92,0.23,0.387,0.0,0.92,0.0,60,50.0,18,33.36,81.7,100.3
1.978,0.0,1.775,0.0,0.0,0.0,25,50.0,14,20.96,13.61,27.64
0.986,0.986,1.775,0.0,0.0,0.0,25,45.0,14,53.87,0.02,29.77
0.919,0.459,0.579,0.0,1.38,0.0,60,50.0,18,33.36,60.8,50.3
0.919,0.0,0.579,0.0,0.919,0.0,60,50.0,18,29.83,57.8,110.7
0.922,0.23,0.194,0.0,1.382,0.0,60,50.0,18,39.89,81.7,4.51
0.499,0.0,0.3,0.0,0.0,0.0,25,54.0,168,107.0,72.5,13.8
0.786,1.179,0.982,0.0,0.0,0.0,24,33.0,72,23.88,0.86,11.05
0.499,0.0,0.3,0.0,0.0,0.0,2,57.0,336,120.0,77.65,8.51
1.496,0.0,0.3,0.0,0.0,0.0,25,54.0,168,309.0,0.27,26.5
0.92,0.46,0.387,0.0,0.46,0.0,60,50.0,18,13.63,94.7,70.6
0.92,0.23,0.387,0.0,1.38,0.0,60,50.0,18,33.36,101.7,50.3
0.922,0.0,0.194,0.0,0.46,0.0,60,50.0,18,13.63,70.3,72.85
0.922,0.461,0.194,0.0,0.461,0.0,60,50.0,18,36.46,87.5,51.2
0.919,0.23,0.579,0.0,0.459,0.0,60,50.0,18,16.71,96.1,100.2
0.919,0.459,0.579,0.0,0.919,0.0,60,50.0,18,29.83,60.8,110.7
0.1,0.5,1.4,0.0,0.0,0.0,25,58.0,12,6.41,7.68,72.26
