%Chi,%Gel,%Gly,%Pec,%Sta,%Oil,%W,%AA,T(°C),%RH,t(h),TS,WVP,%E
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,45.0,48.0,107.0,53.85,13.8
1.0,0.0,0.0,0.0,0.0,0.25,98.5,0.5,24.0,33.0,72.0,113.0,0.77,22.0
0.9,0.22,0.38,0.0,0.9,0.0,96.23,0.37,60.0,50.0,48.0,33.89,81.7,100.8
2.0,0.0,0.79,0.0,0.0,0.0,96.21,1.0,34.95,52.72,24.0,64.96,46.43,45.0
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,2.0,57.0,24.0,120.0,72.5,8.51
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,40.0,54.0,168.0,231.0,40.8,1.5
1.0,0.0,0.0,0.0,0.0,0.0,98.5,1.0,25.0,54.0,168.0,35.7,79.3,26.5
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,45.0,48.0,309.0,79.3,26.5
1.0,0.0,0.0,0.0,0.0,0.0,97.5,1.0,40.0,54.0,168.0,131.0,40.8,1.5
1.0,0.0,0.3,0.0,0.0,1.0,97.7,0.5,21.0,57.0,24.0,121.0,26.87,26.7
0.9,0.0,0.57,0.0,0.9,0.0,97.26,0.37,60.0,50.0,48.0,28.83,81.7,110.7
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,40.0,54.0,36.0,231.0,40.8,1.5
1.0,0.0,0.2,0.0,0.0,1.0,97.3,0.5,21.0,57.0,24.0,121.3,27.7,23.7
1.5,0.0,0.3,0.0,0.0,0.0,97.2,0.0,25.0,45.0,48.0,22.0,40.95,73.1
0.9,0.22,0.57,0.0,0.45,0.0,97.48,0.37,60.0,50.0,48.0,16.71,84.5,100.2
0.0,2.27,5.73,0.45,0.0,0.0,90.91,0.0,25.0,58.0,12.0,12.05,7.68,63.39
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,2.0,54.0,168.0,120.0,84.5,8.51
1.0,1.0,0.79,0.0,0.0,0.0,97.63,0.0,25.0,53.0,36.0,22.6,9.08,36.5
1.2,0.0,0.0,0.0,0.0,0.0,98.6,0.2,25.0,50.0,48.0,52.19,27.56,10.07
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,45.0,48.0,100.0,53.85,136.04
0.9,0.22,0.38,0.0,1.34,0.0,97.23,0.37,60.0,50.0,48.0,38.36,101.2,50.3
2.0,0.0,0.0,0.0,0.0,0.24,96.75,1.0,20.74,45.23,72.0,13.92,0.56,11.03
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,50.0,48.0,309.0,79.3,26.5
2.0,0.0,0.0,0.0,0.0,0.0,97.0,1.0,40.0,54.0,24.0,99.33,38.5,2.72
2.0,0.0,0.0,0.0,0.0,0.0,97.0,1.0,30.86,52.84,48.0,99.33,39.08,2.7
2.0,0.39,0.48,0.0,0.0,0.0,96.63,1.0,25.0,45.0,12.0,80.0,0.02,29.7
0.9,0.0,0.38,0.0,0.45,0.0,97.89,0.38,60.0,50.0,48.0,49.4,91.2,100.4
0.9,0.0,0.57,0.0,0.9,0.0,97.26,0.37,60.0,50.0,48.0,28.83,87.5,110.7
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,2.0,54.0,24.0,351.0,22.5,42.4
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,50.0,12.0,309.0,79.3,26.5
1.0,0.0,0.2,0.0,0.0,3.2,94.55,0.5,21.0,57.0,24.0,27.4,66.69,32.7
1.0,0.0,0.2,0.0,0.0,0.0,97.8,1.0,60.0,52.51,10.0,22.2,69.78,41.98
