%Chi,%Gel,%Gly,%Pec,%Sta,%Oil,%W,%AA,T(°C),%RH,t(h),TS,WVP,%E
1.0,0.0,0.0,0.0,0.0,0.5,98.0,0.5,25.0,60.0,48.0,65.0,92.0,6.5
1.0,0.0,0.0,0.0,0.0,2.0,96.5,0.5,25.0,60.0,48.0,50.0,130.0,7.0
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,40.0,54.0,24.0,372.0,40.8,1.5
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,2.0,54.0,24.0,107.0,72.5,8.51
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,2.0,54.0,48.0,372.0,72.5,8.51
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,2.0,54.0,24.0,351.0,84.5,7.02
1.0,0.0,0.0,0.0,0.0,0.0,98.5,0.5,25.0,60.0,48.0,113.0,86.0,5.5
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,36.3,25.4,15.9
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,24.0,398.0,79.3,26.5
1.0,0.0,0.2,0.0,0.0,2.0,96.3,0.5,21.0,57.0,24.0,42.2,46.83,36.7
1.0,0.0,0.0,0.0,0.0,1.0,97.5,0.5,25.0,60.0,48.0,63.0,124.0,23.8
1.0,0.0,0.0,0.0,0.0,2.0,96.5,0.5,25.0,60.0,48.0,50.0,124.0,22.0
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,25.0,54.0,24.0,351.0,92.2,15.5
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,36.3,45.56,13.2
1.0,0.0,0.2,0.0,0.0,1.5,96.8,0.5,21.0,57.0,24.0,71.2,46.83,36.7
1.0,0.0,0.0,0.0,0.0,2.0,96.5,0.5,25.0,60.0,48.0,50.0,65.0,1.7
1.0,0.0,0.2,0.0,0.0,1.0,97.3,0.5,21.0,57.0,24.0,121.3,66.69,30.2
0.0,0.79,0.32,0.0,0.0,0.0,97.9,0.0,25.0,53.0,24.0,31.0,11.0,51.0
2.0,0.39,0.48,0.0,0.0,1.72,94.91,1.72,25.0,53.0,24.0,6.7,13.0,9.3
1.0,0.0,0.2,0.0,0.0,1.25,97.05,0.5,21.0,57.0,24.0,94.8,46.83,36.7
0.0,1.57,1.43,0.0,0.0,0.0,99.0,0.0,25.0,45.0,12.0,8.91,0.02,27.23
1.0,0.79,1.43,0.0,0.0,0.0,96.28,0.5,25.0,45.0,12.0,31.87,0.02,27.23
0.8,0.95,0.79,0.0,0.0,0.0,97.06,0.4,25.0,33.0,72.0,23.88,0.27,12.33
0.9,0.22,0.38,0.0,0.9,0.0,97.23,0.37,60.0,50.0,48.0,43.88,81.7,100.3
0.8,0.95,0.79,0.0,0.0,0.13,96.94,0.4,25.0,33.0,72.0,22.64,0.75,12.75
0.8,0.95,0.79,0.0,0.0,0.25,96.81,0.4,25.0,33.0,72.0,14.06,0.24,12.03
0.9,0.0,0.38,0.0,0.45,0.0,97.01,0.37,60.0,50.0,48.0,33.36,92.2,100.4
1.2,0.0,0.12,0.0,0.0,3.0,95.3,0.5,25.0,45.0,24.0,56.0,48.6094,109.97
2.0,0.0,0.0,0.0,0.0,0.25,96.75,1.0,20.7431,45.2334,72.0,13.92,0.56,7.0
1.0,0.0,0.0,0.0,0.0,0.5,98.0,0.5,25.0,60.0,48.0,65.0,65.0,1.7
1.0,0.0,0.0,0.0,0.0,0.0,98.5,0.5,25.0,60.0,48.0,113.0,66.0,6.0
1.0,0.0,0.0,0.0,0.0,3.0,95.5,0.5,25.0,60.0,48.0,22.0,130.0,7.0
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,56.0,44.4,30.2
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,36.3,66.69,32.7
1.0,0.0,0.2,0.0,0.0,2.0,96.3,0.5,21.0,57.0,24.0,42.2,66.69,32.7
1.0,0.0,0.2,0.0,0.0,2.0,96.3,0.5,21.0,57.0,24.0,42.2,28.82,13.2
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,40.0,54.0,168.0,120.0,38.5,2.46
1.0,0.0,0.2,0.0,0.0,1.25,97.05,0.5,21.0,57.0,24.0,94.8,44.4,30.2
1.0,0.0,0.2,0.0,0.0,1.25,97.05,0.5,21.0,57.0,24.0,94.8,28.82,13.2
1.0,0.0,0.0,0.0,0.0,3.0,95.5,0.5,25.0,60.0,48.0,22.0,92.0,6.5
1.0,0.0,0.0,0.0,0.0,1.0,97.5,0.5,25.0,60.0,48.0,63.0,130.0,7.0
1.0,0.0,0.2,0.0,0.0,2.5,95.8,0.5,21.0,57.0,24.0,44.4,46.83,36.7
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,36.3,28.82,13.2
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,56.0,66.69,32.7
0.0,1.57,0.79,0.0,0.0,0.0,97.63,0.0,25.0,53.0,48.0,22.6,9.08,36.5
0.8,0.95,0.79,0.0,0.0,1.0,96.06,0.4,25.0,33.0,72.0,13.7,0.27,12.33
0.8,0.95,0.79,0.0,0.0,0.0,97.06,0.4,25.0,33.0,72.0,23.88,0.86,12.7
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,24.0,309.0,79.3,16.5
1.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,23.0,50.0,48.0,61.82,43.6226,31.53
0.8,0.95,0.79,0.0,0.0,0.5,96.56,0.4,25.0,33.0,72.0,13.86,0.27,12.33
0.8,0.95,0.79,0.0,0.0,0.13,96.94,0.4,25.0,33.0,72.0,22.64,0.86,12.7
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,40.0,75.0,48.0,44.9,114.4214,11.05
0.9,0.22,0.38,0.0,0.9,0.0,97.23,0.37,60.0,50.0,48.0,32.85,81.7,100.7
0.8,0.22,0.38,0.0,0.9,0.0,96.48,0.37,60.0,50.0,48.0,16.71,81.7,100.1
1.5,0.0,0.89,0.0,0.0,0.0,96.66,1.0,40.0,75.0,48.0,15.8,116.2087,39.9
0.9,0.0,0.19,0.0,0.9,0.0,97.89,0.38,60.0,50.0,48.0,49.4,70.3,8.9
0.0,1.57,1.43,0.0,0.0,0.0,97.0,0.0,25.0,45.0,12.0,8.91,0.02,22.0
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,25.0,54.0,168.0,351.0,92.2,15.5
1.2,0.0,0.05,0.0,0.0,0.0,98.56,0.2,25.0,45.0,48.0,30.57,29.9314,26.5
0.9,0.45,0.19,0.0,0.45,0.0,97.19,0.37,60.0,50.0,48.0,30.76,81.7,51.2
2.0,0.0,0.0,0.0,0.0,0.5,96.5,1.0,20.3983,45.2572,72.0,14.41,0.63,4.86
1.0,0.0,0.2,0.0,0.0,3.75,94.55,0.5,21.0,57.0,24.0,27.4,27.77,23.7
1.4,0.0,0.0,0.0,0.0,0.0,96.6,2.0,40.0,60.0,24.0,61.11,114.2,14.56
1.2,0.0,0.05,0.0,0.0,0.0,98.56,0.2,25.0,45.0,48.0,30.57,0.03,27.64
0.8,0.95,0.79,0.0,0.0,0.5,96.56,0.4,25.0,33.0,72.0,13.7,0.27,12.33
0.8,0.95,0.79,0.0,0.0,0.5,96.56,0.4,25.0,33.0,72.0,13.86,0.24,12.03
0.9,0.0,0.19,0.0,1.34,0.0,97.63,0.38,60.0,50.0,48.0,39.23,101.7,4.51
0.8,0.95,0.79,0.0,0.0,0.13,96.94,0.4,25.0,33.0,72.0,22.64,0.27,12.33
0.9,0.22,0.19,0.0,0.45,0.0,97.23,0.37,60.0,50.0,48.0,32.85,90.6,70.6
0.89,0.45,0.37,0.0,1.34,0.0,97.45,0.37,60.0,50.0,48.0,13.63,94.7,35.1
0.9,0.22,0.19,0.0,0.45,0.0,97.23,0.37,60.0,50.0,48.0,32.85,101.7,51.2
0.9,0.45,0.19,0.0,0.45,0.0,97.45,0.37,60.0,50.0,48.0,13.63,79.3,100.2
2.0,0.0,0.0,0.0,0.0,0.0,97.0,1.0,25.0,50.0,12.0,85.2396,10.12,12.1626
1.33,1.05,0.0,0.0,0.0,0.0,96.62,1.0,60.0,54.478,48.0,57.6,65.7133,5.34
1.0,0.0,0.0,0.0,0.0,3.0,95.5,0.5,25.0,60.0,48.0,22.0,86.0,5.5
1.0,0.0,0.0,0.0,0.0,2.0,96.5,0.5,25.0,60.0,48.0,50.0,92.0,6.4
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,24.0,210.0,46.0,5.5
1.5,0.0,0.3,0.0,0.0,0.0,97.5,1.0,25.0,54.0,48.0,64.3,79.3,26.5
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,24.0,309.0,79.3,15.5
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,25.0,54.0,24.0,231.2,92.2,15.5
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,24.0,210.0,66.3,13.8
1.0,0.0,0.2,0.0,0.0,2.0,97.3,0.5,21.0,57.0,24.0,42.2,28.82,13.2
