%Chi,%Gel,%Gly,%Pec,%Sta,%Oil,%W,%AA,T(°C),%RH,t(h),TS,WVP,%E
1.0,0.0,0.0,0.0,0.0,0.5,98.0,0.5,25.0,60.0,48.0,65.0,86.0,5.5
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,2.0,54.0,24.0,107.0,72.5,1.5
1.0,0.0,0.0,0.0,0.0,1.0,97.5,0.5,25.0,60.0,36.0,63.0,130.0,7.0
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,2.0,56.0,24.0,56.0,37.5,72.67
0.0,0.79,0.32,0.0,0.0,0.0,97.9,0.0,25.0,53.0,48.0,31.0,8.0,6.4
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,40.0,54.0,24.0,107.0,38.5,2.46
4.0,0.0,0.63,0.0,0.0,0.0,95.37,0.0,25.0,53.0,24.0,55.0,17.0,5.2
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,168.0,107.0,48.0,7.0
1.0,0.0,0.2,0.0,0.0,2.5,95.8,0.5,21.0,57.0,24.0,44.4,66.69,32.7
1.0,0.0,0.2,0.0,0.0,2.0,96.3,0.5,21.0,57.0,24.0,42.2,46.83,36.7
1.0,0.0,0.0,0.0,0.0,1.0,97.5,0.5,25.0,60.0,48.0,63.0,92.0,6.0
1.0,0.0,0.2,0.0,0.0,1.5,96.8,0.5,21.0,57.0,24.0,71.2,44.4,30.2
1.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,25.0,60.0,48.0,61.82,86.0,5.5
1.0,0.0,0.0,0.0,0.0,3.0,95.5,0.5,25.0,60.0,48.0,22.0,85.0,15.5
1.0,0.0,0.0,0.0,0.0,3.0,95.5,0.5,25.0,60.0,48.0,22.0,130.0,7.0
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,24.0,398.0,79.3,26.5
1.0,0.0,0.2,0.0,0.0,3.55,95.8,0.5,21.0,57.0,24.0,44.4,66.69,32.7
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,40.0,54.0,168.0,107.0,38.5,2.46
1.0,0.0,0.0,0.0,0.0,0.0,98.5,0.5,25.0,60.0,48.0,113.0,65.0,1.7
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,24.0,210.0,66.3,13.8
1.0,0.0,0.0,0.0,0.0,3.0,95.5,0.5,25.0,60.0,48.0,22.0,124.0,22.0
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,40.0,54.0,24.0,120.0,38.5,2.46
1.0,0.0,0.2,0.0,0.0,2.5,95.8,0.5,21.0,57.0,24.0,44.4,27.77,23.7
0.0,0.79,0.32,0.0,0.0,1.15,96.75,1.15,25.0,53.0,24.0,35.0,8.0,6.4
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,168.0,107.0,16.0,30.51
2.0,0.39,0.48,0.0,0.0,1.72,94.91,1.72,25.0,53.0,24.0,6.7,13.0,9.3
0.8,0.95,0.79,0.0,0.0,1.0,96.06,0.4,25.0,33.0,72.0,13.7,0.75,12.75
0.9,0.22,0.19,0.0,0.9,0.0,96.98,0.37,60.0,50.0,48.0,39.89,70.3,8.9
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,2.0,54.0,168.0,351.0,62.5,42.4
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,24.0,120.0,66.3,13.8
1.0,0.0,0.2,0.0,0.0,1.0,97.3,0.5,21.0,57.0,24.0,121.3,44.56,24.5
1.0,0.0,0.2,0.0,0.0,0.0,98.5,0.5,21.0,57.0,48.0,113.0,44.56,24.5
0.8,0.95,0.79,0.0,0.0,0.5,96.56,0.4,25.0,33.0,72.0,13.86,0.24,12.03
0.8,0.95,0.79,0.0,0.0,0.0,96.08,0.4,25.0,33.0,48.0,39.28,0.14,10.07
0.8,0.95,0.79,0.0,0.0,0.0,96.28,0.4,25.0,33.0,12.0,11.87,0.13,11.05
1.0,0.0,0.2,0.0,0.0,3.75,94.55,0.5,21.0,57.0,24.0,27.4,44.4,30.2
1.0,0.0,0.2,0.0,0.0,1.25,97.05,0.5,21.0,57.0,24.0,94.8,44.56,24.5
1.0,0.0,0.2,0.0,0.0,1.25,97.05,0.5,21.0,57.0,24.0,94.8,46.83,36.7
1.2,0.0,0.05,0.0,0.0,0.0,98.6,0.2,25.0,45.0,48.0,52.19,29.9314,20.95
1.5,0.0,0.0,0.0,0.0,0.0,97.5,1.0,40.0,75.0,48.0,64.3,115.2491,12.7
0.8,0.95,0.79,0.0,0.0,0.25,96.81,0.4,25.0,33.0,72.0,14.06,0.13,11.05
1.2,0.0,0.14,0.0,0.0,0.0,98.6,0.2,25.0,45.0,36.0,52.19,48.6094,109.97
1.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,23.0,50.0,56.445,52.77,41.6228,31.53
2.0,0.0,0.0,0.0,0.0,0.0,96.58,1.0,20.3158,45.6591,48.0,41.41,0.54,5.46
1.2,0.0,0.14,0.0,0.0,0.0,98.56,0.2,25.0,45.0,48.0,30.57,48.6094,109.97
2.0,0.0,0.0,0.0,0.0,0.5,96.5,1.0,20.7434,45.2334,72.0,14.41,0.56,11.03
0.8,0.95,0.79,0.0,0.0,0.5,96.56,0.4,25.0,33.0,72.0,13.86,0.27,12.33
0.9,0.22,0.38,0.0,0.0,0.0,97.23,0.37,25.0,50.0,48.0,33.36,60.3,13.8
0.9,0.0,0.38,0.0,0.9,0.0,97.01,0.37,60.0,50.0,48.0,33.36,81.7,100.8
0.89,0.45,0.56,0.0,1.34,0.0,96.83,0.37,60.0,50.0,48.0,18.9,96.1,80.5
0.0,0.79,0.32,0.0,0.0,0.0,97.9,0.0,25.0,53.0,168.0,31.0,8.0,6.4
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,25.0,54.0,24.0,231.0,92.2,15.5
1.0,0.0,0.2,0.0,0.0,3.0,95.3,0.5,21.0,57.0,24.0,36.3,66.69,32.7
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,40.0,54.0,48.0,120.0,38.5,2.46
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,25.0,54.0,24.0,351.0,92.2,15.5
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,25.0,54.0,48.0,107.0,66.3,13.8
