%Chi,%Gel,%Gly,%Pec,%Sta,%Oil,%W,%AA,T(°C),%RH,t(h),TS,WVP,%E
1.0,0.0,0.2,0.0,0.0,1.0,96.3,0.5,25.0,60.0,48.0,42.2,86.0,51.2
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,20.4,45.26,72.0,176.9,0.63,4.56
2.0,0.0,0.0,0.0,0.0,1.0,97.0,1.0,20.32,46.11,72.0,9.45,0.34,4.86
2.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,20.4,45.26,72.0,67.67,0.63,4.56
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
1.2,0.0,0.05,0.0,0.0,0.0,98.56,0.2,25.0,45.0,12.0,30.57,0.02,20.95
0.9,0.0,0.38,0.0,0.45,0.0,97.89,0.38,60.0,50.0,48.0,49.4,51.7,100.4
1.2,0.0,0.19,0.0,0.0,0.0,98.41,0.2,25.0,54.0,24.0,10.12,66.3,136.04
0.9,0.22,0.38,0.0,0.9,0.0,97.23,0.37,60.0,50.0,48.0,33.39,87.5,21.5
1.4,0.0,0.89,0.0,0.0,0.0,96.61,1.0,40.0,75.0,48.0,15.8,116.21,39.9
2.0,0.0,0.79,0.0,0.0,0.0,97.21,0.0,25.0,45.0,48.0,9.25,48.61,20.77
1.0,0.0,0.12,0.0,0.0,0.0,97.88,1.0,25.0,50.0,24.0,43.41,38.78,11.14
0.89,0.45,0.57,0.0,1.34,0.0,96.88,0.37,60.0,50.0,48.0,40.41,94.7,35.1
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,40.0,50.0,56.44,231.0,40.8,1.5
0.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,40.0,75.0,48.0,44.9,114.42,16.9
1.9,0.0,1.49,0.0,0.0,0.0,96.01,1.0,40.0,75.0,48.0,8.7,114.58,48.7
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
1.0,0.79,1.43,0.0,0.0,2.5,96.28,0.5,21.0,57.0,24.0,31.87,44.4,30.2
0.9,0.0,0.38,0.0,0.45,0.0,97.89,0.38,60.0,50.0,48.0,49.4,65.8,100.4
0.9,0.0,0.38,0.0,0.45,0.0,97.89,0.38,60.0,50.0,48.0,49.4,65.8,100.4
0.9,0.95,0.79,0.0,0.0,0.25,96.81,0.4,25.0,33.0,72.0,14.06,0.27,12.33
0.9,0.23,0.19,0.0,0.9,0.0,97.85,0.38,60.0,50.0,48.0,36.46,57.8,110.7
2.0,0.0,0.44,0.0,0.0,0.0,96.56,1.0,35.22,52.55,10.0,65.88,48.09,44.2
0.9,0.22,0.38,0.0,0.9,0.0,97.23,0.37,60.0,50.0,56.44,32.85,81.7,100.1
0.9,0.22,0.38,0.0,0.9,1.0,97.23,0.37,60.0,50.0,55.08,33.89,38.7,100.8
1.5,0.0,0.0,0.0,0.0,3.0,98.0,0.5,21.0,57.0,24.0,57.0,46.83,36.7
1.0,0.0,0.0,0.0,0.0,0.0,98.5,0.5,21.0,54.0,24.0,113.0,40.8,22.0
1.2,0.0,0.0,0.0,0.0,0.5,98.6,0.2,25.0,33.0,72.0,52.19,0.75,10.07
1.0,0.79,1.43,0.0,0.0,0.0,97.28,0.2,25.0,45.0,48.0,36.57,29.93,20.95
1.0,0.0,0.2,0.0,0.0,0.0,97.5,0.0,25.0,53.0,24.0,31.0,8.0,6.4
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,25.0,53.0,24.0,372.0,8.3,15.5
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,2.0,54.0,24.0,398.0,64.5,7.72
0.0,0.79,0.32,0.0,0.0,0.0,97.9,0.0,2.0,54.0,24.0,31.0,71.5,6.4
1.0,0.0,0.2,0.0,0.0,1.25,97.8,0.5,21.0,57.0,24.0,94.0,25.4,15.9
1.0,0.0,0.2,0.0,0.0,0.5,95.8,0.5,20.32,45.66,72.0,44.4,0.54,5.2
0.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,24.0,309.0,79.3,26.5
1.5,0.0,0.3,0.0,0.0,0.0,97.2,0.0,25.0,58.0,12.0,33.0,7.68,115.25
1.5,0.0,0.0,0.0,0.0,0.0,96.5,0.5,25.0,60.0,48.0,113.0,124.0,22.0
1.0,0.0,0.2,0.0,0.0,3.0,94.55,0.5,21.0,57.0,24.0,27.4,63.69,32.7
1.0,0.0,0.2,0.0,0.0,1.0,97.3,0.5,23.0,50.0,55.08,121.3,41.62,33.7
1.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,23.0,50.0,48.0,52.77,40.21,14.32
0.0,0.79,0.32,0.0,0.0,1.12,96.75,1.15,25.0,53.0,24.0,35.0,11.0,51.0
1.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,23.0,50.0,55.08,52.77,40.21,14.32
1.5,0.0,1.49,0.0,0.0,0.0,96.01,1.0,40.0,75.0,56.44,8.7,114.58,48.7
0.0,1.57,0.79,0.0,0.0,0.0,97.63,0.0,25.0,50.0,48.0,22.6,42.35,36.5
0.8,0.95,0.79,0.0,0.0,0.0,96.56,0.4,25.0,60.0,48.0,13.86,124.0,12.75
0.89,0.45,0.38,0.0,0.45,0.0,97.45,0.37,60.0,50.0,48.0,13.63,90.6,70.6
0.89,0.45,0.37,0.0,1.34,0.0,96.58,0.37,60.0,50.0,48.0,40.41,93.7,35.1
0.8,0.95,0.79,0.0,0.0,0.13,96.81,0.4,25.0,33.0,72.0,14.06,0.24,12.33
1.0,0.0,0.0,0.0,0.0,0.0,96.5,0.5,25.0,53.0,24.0,50.0,17.0,6.0
1.0,0.0,0.2,0.0,0.0,1.0,96.3,0.5,25.0,60.0,48.0,42.2,86.0,6.2
1.0,0.0,0.2,0.0,0.0,2.0,95.3,1.0,19.89,46.92,72.0,19.36,0.3,3.76
1.5,0.0,0.0,0.0,0.0,0.0,97.5,1.0,40.0,75.0,48.0,64.3,114.12,13.7
1.2,0.0,0.0,0.0,0.0,0.0,98.5,0.5,25.0,60.0,48.0,113.0,124.0,22.0
0.0,1.57,0.79,0.0,0.0,0.0,97.63,0.0,25.0,53.0,12.0,22.6,9.08,36.5
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
2.0,0.0,0.44,0.0,0.0,0.0,96.56,1.0,35.22,52.24,10.0,65.87,48.09,44.2
1.0,0.0,0.53,0.0,0.0,0.0,97.47,1.0,60.0,54.98,10.0,245.2,71.26,43.69
0.89,0.45,0.37,0.0,1.34,0.0,96.58,0.37,60.0,50.0,48.0,40.41,101.2,45.1
1.0,0.0,0.0,0.0,0.0,0.0,95.5,0.5,25.0,45.0,48.0,22.0,29.93,24.53
2.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,25.0,50.0,48.0,17.67,37.82,4.55
2.0,0.0,0.0,0.0,0.0,1.0,97.0,1.0,23.0,50.0,55.08,44.47,41.62,31.53
0.9,0.45,0.38,0.0,0.45,0.0,97.45,0.37,60.0,50.0,48.0,13.63,97.7,70.6
0.8,0.95,0.79,0.0,0.0,0.0,96.56,0.4,25.0,50.0,48.0,13.86,38.78,12.75
1.0,0.0,0.12,0.0,0.0,1.0,97.88,1.0,23.0,50.0,55.08,43.41,41.62,31.53
1.9,0.0,0.0,0.0,0.0,2.0,96.5,0.5,25.0,60.0,48.0,50.0,92.0,6.0
0.5,0.0,0.3,0.0,0.0,0.0,98.2,1.0,40.0,75.0,48.0,31.0,115.25,11.14
1.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,23.0,50.0,48.0,52.77,40.21,14.32
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
1.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,23.0,50.0,55.08,44.47,41.62,31.53
1.0,0.0,0.24,0.0,0.0,0.0,97.76,1.0,25.0,53.0,12.0,31.89,9.08,30.51
1.0,0.79,1.43,0.0,0.0,0.0,96.28,0.5,25.0,45.0,12.0,31.87,0.03,29.77
0.9,0.45,0.19,0.0,0.9,0.0,97.19,0.37,60.0,54.0,24.0,30.76,88.5,21.5
0.8,0.95,0.79,0.0,0.0,0.0,96.56,0.4,25.0,54.0,24.0,13.86,66.3,12.75
0.89,0.22,0.56,0.0,1.34,0.0,96.61,0.37,60.0,50.0,48.0,26.4,91.1,80.5
1.0,0.0,0.24,0.0,0.0,0.0,97.76,1.0,25.0,50.0,56.44,31.89,42.35,30.51
0.9,0.0,0.38,0.0,1.34,0.0,97.01,0.37,60.0,50.0,24.0,33.36,101.2,50.3
1.0,0.0,0.2,0.0,0.0,1.5,97.05,0.5,21.0,57.0,24.0,94.8,25.4,15.9
1.0,0.0,0.2,0.0,0.0,0.5,96.8,0.5,21.0,57.0,24.0,71.2,28.82,13.2
1.0,0.0,0.0,0.0,0.0,1.0,95.5,0.5,25.0,33.0,72.0,22.0,0.86,14.05
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,12.0,309.0,79.3,26.5
1.0,0.0,0.2,0.0,0.0,0.0,96.3,0.5,21.0,50.0,56.44,42.2,69.75,24.5
1.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,25.0,53.0,24.0,52.7,17.0,5.7
1.0,0.0,0.3,0.0,0.0,0.0,97.7,1.0,60.0,54.48,12.0,15.9,65.71,19.78
1.2,0.0,1.49,0.0,0.0,0.0,96.01,1.0,40.0,75.0,48.0,8.7,114.58,48.7
1.2,0.0,0.0,0.0,0.0,0.5,98.6,0.2,25.0,33.0,72.0,52.19,0.75,10.07
1.0,0.0,0.2,0.0,0.0,0.0,97.8,1.0,60.0,52.51,48.0,22.2,69.78,41.98
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
2.0,0.0,0.0,0.0,0.0,1.0,96.75,1.0,20.74,46.11,72.0,13.92,0.32,11.03
0.8,0.95,0.79,0.0,0.0,0.5,96.81,0.4,25.0,33.0,72.0,14.06,0.71,12.33
1.5,0.0,0.0,0.0,0.0,1.15,97.5,1.0,40.0,55.0,24.0,64.3,115.25,13.7
1.33,1.05,0.0,0.0,0.0,1.0,96.62,0.5,23.0,50.0,55.08,72.6,41.62,31.6
0.0,1.57,0.79,0.0,0.0,1.0,97.63,0.0,43.0,50.0,55.08,22.6,41.62,36.5
0.9,0.22,0.38,0.0,0.9,0.0,97.23,0.37,60.0,54.0,24.0,33.36,80.6,100.3
1.2,0.0,0.05,0.0,0.0,0.0,98.56,0.2,25.0,45.0,48.0,30.57,29.93,20.96
1.0,0.79,1.43,0.0,0.0,0.0,96.28,0.5,25.0,45.0,48.0,31.87,29.93,29.77
1.5,0.0,0.3,0.0,0.0,0.0,97.2,1.0,25.0,54.0,12.0,309.0,79.3,26.5
1.0,0.0,0.24,0.0,0.0,0.0,97.76,1.0,25.0,50.0,48.0,31.89,72.0,7.5
2.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,20.4,45.26,72.0,17.67,0.63,4.02
1.0,0.0,0.0,0.0,0.0,0.0,98.0,1.0,23.0,50.0,48.0,52.77,40.21,14.32
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
2.5,2.5,3.0,0.0,0.0,0.0,92.0,0.0,25.0,50.0,56.44,11.22,49.4,84.17
1.0,0.0,0.12,0.0,0.0,0.0,97.88,1.0,25.0,33.0,72.0,43.41,0.13,11.14
2.0,0.0,0.0,0.0,0.0,0.0,97.0,2.0,35.22,52.55,10.0,84.27,48.09,44.2
1.0,0.79,1.43,0.0,0.0,0.0,96.28,0.5,25.0,45.0,36.0,31.87,0.02,29.77
1.0,0.0,0.53,0.0,0.0,0.0,97.47,1.0,20.0,52.12,10.0,245.2,48.08,43.69
0.9,0.22,0.38,0.0,0.9,0.0,97.23,0.37,60.0,54.0,24.0,33.36,70.8,100.3
0.9,0.22,0.38,0.0,0.0,0.0,98.28,0.5,23.0,50.0,56.44,32.77,40.21,29.77
