%Chi,%Gel,%Gly,%Pec,%Sta,%Oil,%W,%AA,T(°C),%RH,t(h),TS,WVP,%E
1.1,0.0,0.0,0.0,0.0,0.23,98.33,0.33,30.45393477600821,56.31824605201642,41.98417121772327,16.97245064908657,33.80692072755092,1.5
0.84,0.22,0.0,0.0,1.11,0.0,96.61,0.82,26.350281534037357,45.94966121933481,10.0,338.6981772476637,35.79118408873308,20.44251439473677
1.12,0.0,0.32,0.0,0.0,0.18,97.69,1.24,33.50799546746626,42.51941142770893,15.48010853246702,116.1003204321451,39.80688676551773,80.4275895721482
1.2,0.0,0.7,0.0,0.0,0.12,97.21,1.04,19.13702084112428,40.74164921675444,50.92307057559602,97.40584076679217,75.27463236684147,29.31936165027278
2.04,0.14,0.0,0.0,0.09,0.0,96.61,0.33,26.361948697907764,48.97121327568665,39.30954132590618,21.9285401386664,36.59805957758277,44.13581932559736
0.98,0.0,0.0,0.0,0.0,0.36,97.33,0.52,28.857146630960692,55.738222321493424,17.66311894317148,35.63672111914871,61.89568904925782,10.620932949034092
1.15,0.0,0.0,0.01,0.0,0.34,98.6,0.97,33.053479470956304,45.58155968658637,10.0,2.92,18.75302493666309,19.50271914505538
0.86,0.03,0.49,0.0,0.0,0.35,98.6,0.47,57.926631063541,60.9961347980567,30.89984214445574,74.3591588786982,91.64004452008876,21.73784374521172
0.99,0.0,0.0,0.0,0.23,0.41,96.76,2.0,31.85006849457641,52.12303245297794,45.8515498383626,42.44980797088244,2.2759820331649365,9.49719239347128
1.06,0.01,0.33,0.0,0.0,0.11,97.35,0.49,29.411106648143523,33.0,49.29607233538567,19.52181790154274,16.572175594487042,81.67140321376391
1.17,0.0,0.0,0.0,0.0,0.4,97.76,1.09,29.31699404534662,57.71328277629156,32.6174301152248,60.60430801337789,44.7490364598814,95.91811004575932
1.22,1.05,0.42,0.0,0.06,0.08,97.21,0.97,18.07344082978621,45.204243545485824,10.0,72.50755918145717,6.796464416563879,38.64425562287901
