property,activation,layer,loss,accuracy
WVP,tanh,1,0.2437,0.7791
WVP,tanh,2,0.1947,0.8234
WVP,tanh,3,0.1958,0.8226
WVP,tanh,4,0.1913,0.8155
WVP,tanh,5,0.1818,0.8352
WVP,tanh,6,0.1831,0.8261
WVP,tanh,7,0.1764,0.8234
WVP,tanh,8,0.1663,0.8290
WVP,tanh,9,0.1676,0.8388
WVP,tanh,10,0.1811,0.8348
WVP,tanh,11,0.1625,0.8527
WVP,tanh,12,0.1766,0.8322
WVP,tanh,13,0.1580,0.8406
WVP,tanh,14,0.1635,0.8174
WVP,tanh,15,0.1682,0.8383
WVP,tanh,16,0.1616,0.8494
WVP,tanh,17,0.1673,0.8341
WVP,tanh,18,0.1552,0.8570
WVP,tanh,19,0.1678,0.8264
WVP,tanh,20,0.1573,0.8534
WVP,tanh,21,0.1698,0.8395
WVP,tanh,22,0.1487,0.8558
WVP,tanh,23,0.1717,0.8325
WVP,tanh,24,0.1521,0.8427
WVP,relu,1,0.3066,0.7220
WVP,relu,2,0.2213,0.7976
WVP,relu,3,0.2115,0.8080
WVP,relu,4,0.2167,0.8029
WVP,relu,5,0.2034,0.8122
WVP,relu,6,0.1935,0.8240
WVP,relu,7,0.1738,0.8419
WVP,relu,8,0.1877,0.8273
WVP,relu,9,0.1701,0.8457
WVP,relu,10,0.1937,0.8237
WVP,relu,11,0.1777,0.8377
WVP,relu,12,0.1771,0.8380
WVP,relu,13,0.1787,0.8379
WVP,relu,14,0.1775,0.8294
WVP,relu,15,0.1655,0.8436
WVP,relu,16,0.1662,0.8487
WVP,relu,17,0.1694,0.8413
WVP,relu,18,0.1702,0.8453
WVP,relu,19,0.1669,0.8435
WVP,relu,20,0.1760,0.8365
WVP,relu,21,0.1588,0.8559
WVP,relu,22,0.1645,0.8489
WVP,relu,23,0.1752,0.8308
WVP,relu,24,0.1540,0.8577
WVP,leaky,1,0.2654,0.7595
WVP,leaky,2,0.2213,0.7977
WVP,leaky,3,0.2106,0.8077
WVP,leaky,4,0.2142,0.8051
WVP,leaky,5,0.2039,0.8124
WVP,leaky,6,0.1861,0.8309
WVP,leaky,7,0.1746,0.8415
WVP,leaky,8,0.1797,0.8354
WVP,leaky,9,0.1759,0.8373
WVP,leaky,10,0.1939,0.8235
WVP,leaky,11,0.1709,0.8440
WVP,leaky,12,0.1838,0.8324
WVP,leaky,13,0.1846,0.8189
WVP,leaky,14,0.1869,0.8166
WVP,leaky,15,0.1652,0.8439
WVP,leaky,16,0.1712,0.8430
WVP,leaky,17,0.1655,0.8456
WVP,leaky,18,0.1675,0.8478
WVP,leaky,19,0.1670,0.8424
WVP,leaky,20,0.1815,0.8273
WVP,leaky,21,0.1540,0.8592
WVP,leaky,22,0.1530,0.8611
WVP,leaky,23,0.1702,0.8395
WVP,leaky,24,0.1548,0.8534
WVP,sigmoid,1,0.2433,0.7795
WVP,sigmoid,2,0.1983,0.8203
WVP,sigmoid,3,0.1852,0.8322
WVP,sigmoid,4,0.1775,0.8391
WVP,sigmoid,5,0.1631,0.8522
WVP,sigmoid,6,0.1758,0.8407
WVP,sigmoid,7,0.1816,0.8355
WVP,sigmoid,8,0.1598,0.8551
WVP,sigmoid,9,0.1537,0.8601
WVP,sigmoid,10,0.1540,0.8604
WVP,sigmoid,11,0.1589,0.8560
WVP,sigmoid,12,0.1660,0.8490
WVP,sigmoid,13,0.1716,0.8418
WVP,sigmoid,14,0.1562,0.8585
WVP,sigmoid,15,0.1575,0.8569
WVP,sigmoid,16,0.1566,0.8577
WVP,sigmoid,17,0.1462,0.8667
WVP,sigmoid,18,0.1536,0.8576
WVP,sigmoid,19,0.1590,0.8557
WVP,sigmoid,20,0.1499,0.8624
WVP,sigmoid,21,0.1463,0.8674
WVP,sigmoid,22,0.1623,0.8484
WVP,sigmoid,23,0.1558,0.8557
WVP,sigmoid,24,0.1521,0.8599
