number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.15697550773620605,2023-09-02 12:21:40.444647,2023-09-02 12:21:41.733518,0 days 00:00:01.288871,Leaky,30,21,0.00016340423614708832,1,80,0.22225155723461607,1.9014442436953327e-05,COMPLETE
1,0.16492006182670593,2023-09-02 12:21:41.733826,2023-09-02 12:21:42.861150,0 days 00:00:01.127324,Leaky,16,18,0.0005821184956054855,1,60,0.15337944570560294,0.039207612563374426,COMPLETE
2,0.16937468945980072,2023-09-02 12:21:42.861454,2023-09-02 12:21:46.242117,0 days 00:00:03.380663,Tanh,30,10,0.00012567004170397722,1,60,0.7781407033939304,3.462245827932335e-05,COMPLETE
3,0.24149134755134583,2023-09-02 12:21:46.242409,2023-09-02 12:22:00.966666,0 days 00:00:14.724257,ReLU,2,14,0.040650746733300235,1,40,0.48522086910835605,0.08414204386516903,COMPLETE
4,0.17089886963367462,2023-09-02 12:22:00.966919,2023-09-02 12:22:02.025330,0 days 00:00:01.058411,Sigmoid,30,23,0.0009021744709107963,1,100,0.15402783620435015,1.1275225089795638e-05,COMPLETE
5,0.13916151225566864,2023-09-02 12:22:02.025572,2023-09-02 12:22:09.565221,0 days 00:00:07.539649,Leaky,2,8,0.006701727631764765,1,60,0.17030141875196703,0.007800836886499448,COMPLETE
6,0.127849742770195,2023-09-02 12:22:09.565465,2023-09-02 12:22:11.373594,0 days 00:00:01.808129,Leaky,16,21,0.0008231263050857703,1,100,0.16173859588732806,0.00025117282845182426,COMPLETE
7,0.16825635731220245,2023-09-02 12:22:11.373850,2023-09-02 12:22:12.800282,0 days 00:00:01.426432,Sigmoid,30,8,0.0009834796733330154,1,100,0.21656162300126766,0.000180667615948211,COMPLETE
8,0.1702117919921875,2023-09-02 12:22:12.800515,2023-09-02 12:22:13.167683,0 days 00:00:00.367168,Sigmoid,30,4,0.012025389066971658,1,40,0.13575503953299778,3.856624022554288e-05,COMPLETE
9,0.12875524163246155,2023-09-02 12:22:13.167944,2023-09-02 12:22:15.459566,0 days 00:00:02.291622,Tanh,12,14,0.001747589778930238,1,40,0.40299623064356177,0.0003708703048120074,COMPLETE
10,0.5983169674873352,2023-09-02 12:22:15.459792,2023-09-02 12:22:16.590065,0 days 00:00:01.130273,ReLU,16,19,1.181420209876611e-05,1,100,0.10012717239981035,0.0020552666019069345,COMPLETE
11,0.1155012771487236,2023-09-02 12:22:16.590305,2023-09-02 12:22:18.618676,0 days 00:00:02.028371,Tanh,12,15,0.003816027916206397,1,40,0.35377038574014896,0.00033594296573024934,COMPLETE
12,0.11246629059314728,2023-09-02 12:22:18.618905,2023-09-02 12:22:23.901258,0 days 00:00:05.282353,Tanh,8,16,0.005761102886246003,1,80,0.3213222220093329,0.0002207329703990145,COMPLETE
13,0.1508125364780426,2023-09-02 12:22:23.901498,2023-09-02 12:22:29.143240,0 days 00:00:05.241742,Tanh,8,16,0.083818931789875,1,80,0.3233746079754619,0.0011406822077640493,COMPLETE
14,0.10471606999635696,2023-09-02 12:22:29.143479,2023-09-02 12:22:33.217582,0 days 00:00:04.074103,Tanh,10,12,0.006045645654422307,1,80,0.30468667183304327,7.380661410332821e-05,COMPLETE
15,0.19885480403900146,2023-09-02 12:22:33.217822,2023-09-02 12:22:36.641184,0 days 00:00:03.423362,Tanh,10,1,0.019561451714024115,1,80,0.2660249473373701,8.325143748959421e-05,COMPLETE
