number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.18315696716308594,2023-09-02 12:22:38.331452,2023-09-02 12:22:39.925737,0 days 00:00:01.594285,Leaky,Sigmoid,Tanh,,16,12,17.0,14.0,,0.010849005267379216,3,80,0.11163505981224009,0.045385857386913656,COMPLETE
1,0.11997469514608383,2023-09-02 12:22:39.926055,2023-09-02 12:22:41.397391,0 days 00:00:01.471336,Leaky,Leaky,Leaky,,8,7,19.0,12.0,,0.003609903848364029,3,40,0.11255848475082884,3.6890761719475406e-05,COMPLETE
2,0.17407730221748352,2023-09-02 12:22:41.397692,2023-09-02 12:22:45.383635,0 days 00:00:03.985943,ReLU,,,,2,23,,,,0.025143224140246483,1,40,0.13140300039296882,0.0012317171570461602,COMPLETE
3,0.9953277111053467,2023-09-02 12:22:45.383915,2023-09-02 12:22:49.196485,0 days 00:00:03.812570,ReLU,Sigmoid,Tanh,Sigmoid,16,8,16.0,22.0,6.0,0.04800711047879637,4,100,0.1751234087140309,0.014420156008790376,COMPLETE
4,0.35442134737968445,2023-09-02 12:22:49.196776,2023-09-02 12:22:53.310158,0 days 00:00:04.113382,Leaky,Leaky,ReLU,Tanh,12,5,17.0,7.0,2.0,4.108280089905122e-05,4,100,0.15646383666681088,7.7739787371594e-05,COMPLETE
5,0.13866202533245087,2023-09-02 12:22:53.310463,2023-09-02 12:23:03.100835,0 days 00:00:09.790372,Leaky,Sigmoid,,,8,21,22.0,,,0.00018747565987087893,2,60,0.6068356368349143,0.0027963751905474015,COMPLETE
6,0.11950470507144928,2023-09-02 12:23:03.101106,2023-09-02 12:23:22.732490,0 days 00:00:19.631384,ReLU,ReLU,Leaky,,4,21,16.0,3.0,,7.5657791851483e-05,3,100,0.3092601591162015,0.0005068344325954069,COMPLETE
7,0.1659257858991623,2023-09-02 12:23:22.732792,2023-09-02 12:23:30.493410,0 days 00:00:07.760618,Leaky,Sigmoid,Leaky,Leaky,12,10,15.0,9.0,22.0,6.970929353571011e-05,4,80,0.3645207316389372,0.004974416594682059,COMPLETE
8,0.23926907777786255,2023-09-02 12:23:30.493706,2023-09-02 12:23:33.029191,0 days 00:00:02.535485,Sigmoid,,,,10,5,,,,0.0073543785320508625,1,40,0.3879794333864206,0.04601418880914235,COMPLETE
9,0.1555827409029007,2023-09-02 12:23:33.029443,2023-09-02 12:23:39.490778,0 days 00:00:06.461335,Tanh,Tanh,Tanh,,8,12,23.0,19.0,,0.00011581171289102858,3,100,0.1982321264084024,0.0035988869397324628,COMPLETE
10,0.24364112317562103,2023-09-02 12:23:39.491042,2023-09-02 12:23:47.415718,0 days 00:00:07.924676,ReLU,ReLU,,,4,18,7.0,,,1.0793921060772868e-05,2,60,0.2594868229179298,0.00023770431397639435,COMPLETE
11,0.1608313024044037,2023-09-02 12:23:47.415982,2023-09-02 12:23:48.337824,0 days 00:00:00.921842,Sigmoid,Leaky,Leaky,,30,16,9.0,3.0,,0.0011257859809600096,3,40,0.22648418635431988,1.4882061067236975e-05,COMPLETE
12,0.4014408588409424,2023-09-02 12:23:48.338108,2023-09-02 12:23:54.784424,0 days 00:00:06.446316,Tanh,ReLU,Leaky,,4,16,1.0,1.0,,0.001127636928325401,3,100,0.10369463615578721,0.00026254857257676,COMPLETE
13,0.19387777149677277,2023-09-02 12:23:54.784706,2023-09-02 12:24:00.900543,0 days 00:00:06.115837,ReLU,Leaky,,,4,1,20.0,,,0.002959456008422741,2,40,0.3058768225088636,1.3753802743033238e-05,COMPLETE
14,0.12492503970861435,2023-09-02 12:24:00.900808,2023-09-02 12:24:05.914158,0 days 00:00:05.013350,Leaky,ReLU,Sigmoid,,8,24,11.0,14.0,,0.00040453476337459543,3,100,0.15085399791912713,6.654675478138948e-05,COMPLETE
15,0.20109175145626068,2023-09-02 12:24:05.914438,2023-09-02 12:24:07.753088,0 days 00:00:01.838650,ReLU,Tanh,,,10,7,20.0,,,0.08949366316494448,2,40,0.21052884454915866,0.0005590125645669056,COMPLETE
16,0.18825243413448334,2023-09-02 12:24:07.753351,2023-09-02 12:24:19.034319,0 days 00:00:11.280968,Sigmoid,ReLU,Leaky,ReLU,2,1,13.0,8.0,24.0,0.00033960693081090947,4,60,0.12675967036123004,6.60645422065028e-05,COMPLETE
17,0.09932861477136612,2023-09-02 12:24:19.034609,2023-09-02 12:24:21.334083,0 days 00:00:02.299474,Tanh,Leaky,Leaky,,30,19,19.0,18.0,,0.0021647326779793224,3,80,0.2806466443060531,0.0009207576799588481,COMPLETE
18,0.11322533339262009,2023-09-02 12:24:21.334354,2023-09-02 12:24:24.335533,0 days 00:00:03.001179,Tanh,Leaky,,,30,20,24.0,,,0.0006393762359962208,2,80,0.4448619601796188,0.0009350168105011293,COMPLETE
