number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.3636987507343292,2023-09-02 12:22:21.718753,2023-09-02 12:22:24.305666,0 days 00:00:02.586913,Tanh,Sigmoid,,12,20,16.0,,1.5651104896716228e-05,2,80,0.17522503142833917,0.002474792968285349,COMPLETE
1,0.1661221981048584,2023-09-02 12:22:24.305966,2023-09-02 12:22:30.704671,0 days 00:00:06.398705,ReLU,,,2,12,,,0.007091993106137377,1,60,0.14256691787786072,0.029198397928803795,COMPLETE
2,0.12297170609235764,2023-09-02 12:22:30.704929,2023-09-02 12:22:36.023329,0 days 00:00:05.318400,Leaky,Tanh,,8,16,2.0,,0.0005286142661181802,2,100,0.2021090297644788,0.0019418636349661192,COMPLETE
3,0.24068892002105713,2023-09-02 12:22:36.023611,2023-09-02 12:22:47.658149,0 days 00:00:11.634538,Sigmoid,Sigmoid,Leaky,12,22,19.0,11.0,2.2467187292894623e-05,3,100,0.5183610129012222,0.0001495246318384443,COMPLETE
4,0.12459174543619156,2023-09-02 12:22:47.658432,2023-09-02 12:22:49.317906,0 days 00:00:01.659474,ReLU,ReLU,ReLU,16,13,5.0,7.0,0.008919285262278805,3,80,0.12117913729205443,6.38263501866268e-05,COMPLETE
5,0.9627452492713928,2023-09-02 12:22:49.318193,2023-09-02 12:22:51.175886,0 days 00:00:01.857693,Sigmoid,ReLU,Sigmoid,12,7,1.0,6.0,0.0035500519355913572,3,40,0.20005382712219327,7.989608141607686e-05,COMPLETE
6,0.13282844424247742,2023-09-02 12:22:51.176179,2023-09-02 12:22:53.179921,0 days 00:00:02.003742,ReLU,Tanh,,16,10,1.0,,0.0013681831353686976,2,60,0.24226990884624391,7.550143631965661e-05,COMPLETE
7,0.6799757480621338,2023-09-02 12:22:53.180206,2023-09-02 12:23:00.424421,0 days 00:00:07.244215,Tanh,ReLU,Sigmoid,16,9,4.0,2.0,1.1381967005828204e-05,3,80,0.5455195792460517,0.0008970137248790988,COMPLETE
8,0.23475228250026703,2023-09-02 12:23:00.424686,2023-09-02 12:23:04.978477,0 days 00:00:04.553791,Tanh,Sigmoid,,30,17,3.0,,0.003972787524424704,2,80,0.6944504870903401,0.05930367756779023,COMPLETE
9,0.19844573736190796,2023-09-02 12:23:04.978723,2023-09-02 12:23:32.366212,0 days 00:00:27.387489,Leaky,Sigmoid,Sigmoid,4,2,4.0,12.0,6.51288739460049e-05,3,60,0.7466717612408429,3.8749154097341717e-05,COMPLETE
10,0.18471379578113556,2023-09-02 12:23:32.366487,2023-09-02 12:23:38.819308,0 days 00:00:06.452821,Leaky,,,8,17,,,0.0820731924470877,1,100,0.3210951903912722,1.1119842895931981e-05,COMPLETE
11,0.16974490880966187,2023-09-02 12:23:38.819565,2023-09-02 12:23:41.013346,0 days 00:00:02.193781,ReLU,Tanh,,10,15,10.0,,0.00013351071035305794,2,100,0.1014000127767291,0.0006299121396690814,COMPLETE
12,0.15307161211967468,2023-09-02 12:23:41.013600,2023-09-02 12:23:41.996477,0 days 00:00:00.982877,Leaky,,,8,24,,,0.0003763965506025218,1,40,0.11906295558669142,0.005781587854757813,COMPLETE
13,0.1383020132780075,2023-09-02 12:23:41.996736,2023-09-02 12:23:45.152399,0 days 00:00:03.155663,ReLU,Leaky,,8,14,9.0,,0.0006748340015054351,2,80,0.14699250247969436,0.0003748604655199256,COMPLETE
14,0.14733143150806427,2023-09-02 12:23:45.152651,2023-09-02 12:23:47.132035,0 days 00:00:01.979384,Leaky,Tanh,ReLU,16,5,8.0,20.0,0.016489246058077455,3,100,0.10131479501404075,0.003296696298996185,COMPLETE
15,0.10639616847038269,2023-09-02 12:23:47.132301,2023-09-02 12:23:51.897258,0 days 00:00:04.764957,ReLU,ReLU,,10,19,23.0,,0.0012352210112579138,2,80,0.2739672605820252,0.00023441160810318604,COMPLETE
16,0.11001025885343552,2023-09-02 12:23:51.897517,2023-09-02 12:23:58.445385,0 days 00:00:06.547868,Leaky,Leaky,,10,19,24.0,,0.0002409321596669037,2,100,0.30146087626875456,0.0003884780488208375,COMPLETE
