number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.10257559269666672,2023-09-02 12:21:48.850956,2023-09-02 12:21:51.102404,0 days 00:00:02.251448,ReLU,Leaky,16,18,9.0,0.012493047539707463,2,40,0.38820430929029015,5.2940353756302854e-05,COMPLETE
1,0.10871437937021255,2023-09-02 12:21:51.102699,2023-09-02 12:22:06.222400,0 days 00:00:15.119701,ReLU,Tanh,4,23,24.0,0.00022945364637037399,2,40,0.7139509946189034,8.546332402423972e-05,COMPLETE
2,0.19580285251140594,2023-09-02 12:22:06.222675,2023-09-02 12:22:08.944529,0 days 00:00:02.721854,ReLU,,10,22,,3.0394777916988077e-05,1,60,0.26965347367406756,0.008856039215041436,COMPLETE
3,0.24336564540863037,2023-09-02 12:22:08.944804,2023-09-02 12:22:13.644388,0 days 00:00:04.699584,Sigmoid,Sigmoid,10,21,8.0,0.07823439764554782,2,60,0.3602114596386386,0.016542371460110724,COMPLETE
4,0.2013196051120758,2023-09-02 12:22:13.644655,2023-09-02 12:22:22.960788,0 days 00:00:09.316133,Tanh,,8,23,,0.06079311385743943,1,80,0.5666588640202683,0.059137837526670296,COMPLETE
5,0.18692228198051453,2023-09-02 12:22:22.961054,2023-09-02 12:22:28.146182,0 days 00:00:05.185128,ReLU,ReLU,4,8,21.0,0.060769299379395604,2,40,0.2509165176040206,2.864728926639471e-05,COMPLETE
6,0.17103774845600128,2023-09-02 12:22:28.146460,2023-09-02 12:22:29.660488,0 days 00:00:01.514028,ReLU,,10,4,,0.002012797328036383,1,60,0.1507551261921716,0.02698222230142072,COMPLETE
7,0.16341054439544678,2023-09-02 12:22:29.660757,2023-09-02 12:22:32.103800,0 days 00:00:02.443043,ReLU,,16,11,,9.879648558631058e-05,1,40,0.5588682193559819,0.0009805958269948397,COMPLETE
8,0.2667425274848938,2023-09-02 12:22:32.104060,2023-09-02 12:22:33.634539,0 days 00:00:01.530479,Leaky,Sigmoid,12,19,5.0,6.796136010628643e-05,2,40,0.2066707224413574,0.00023586121437330803,COMPLETE
9,0.1943843811750412,2023-09-02 12:22:33.634794,2023-09-02 12:22:39.869756,0 days 00:00:06.234962,ReLU,,12,13,,0.07158953320204889,1,100,0.43579691951651556,0.05084923616367837,COMPLETE
10,0.11533770710229874,2023-09-02 12:22:39.870012,2023-09-02 12:22:41.731803,0 days 00:00:01.861791,Tanh,Leaky,16,15,13.0,0.006134147841406123,2,100,0.1267594172488586,1.4806227539559382e-05,COMPLETE
11,0.13419541716575623,2023-09-02 12:22:41.732063,2023-09-02 12:23:11.746769,0 days 00:00:30.014706,Sigmoid,Tanh,2,17,24.0,0.00046002305896680263,2,40,0.7381633514092693,8.000378942229465e-05,COMPLETE
12,0.32853221893310547,2023-09-02 12:23:11.747034,2023-09-02 12:23:14.366104,0 days 00:00:02.619070,Leaky,Leaky,30,24,14.0,1.0205822916616567e-05,2,40,0.7900838551355507,0.00011949123381372272,COMPLETE
13,0.11353420466184616,2023-09-02 12:23:14.366370,2023-09-02 12:23:30.097373,0 days 00:00:15.731003,ReLU,Tanh,4,18,17.0,0.00047346551571580807,2,80,0.3766564624752003,1.1475360074746501e-05,COMPLETE
14,0.12236571311950684,2023-09-02 12:23:30.097646,2023-09-02 12:23:40.182975,0 days 00:00:10.085329,ReLU,Leaky,4,20,1.0,0.010372809842456608,2,40,0.4911343912775242,0.000489697397044566,COMPLETE
