number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
0,0.4805920422077179,2023-10-30 13:45:00.704730,2023-10-30 13:45:01.253828,0 days 00:00:00.549098,Sigmoid,ReLU,88,13,11.0,0.001367489044408609,2,178,0.15794727765584488,8.540525693751255e-05,"tensor(0.4806, device='cuda:0')",COMPLETE
1,0.4062519967556,2023-10-30 13:45:01.254740,2023-10-30 13:45:03.389190,0 days 00:00:02.134450,Sigmoid,Tanh,49,3,6.0,0.013633610117283026,2,386,0.5736733061793567,0.000264469695209064,"tensor(0.4063, device='cuda:0')",COMPLETE
2,0.44255706667900085,2023-10-30 13:45:03.389552,2023-10-30 13:45:04.569298,0 days 00:00:01.179746,Leaky,,31,13,,0.0033411334970742074,1,494,0.1781416407528255,2.7725018202977618e-05,"tensor(0.4426, device='cuda:0')",COMPLETE
3,0.634253203868866,2023-10-30 13:45:04.569669,2023-10-30 13:45:08.159793,0 days 00:00:03.590124,Tanh,,19,20,,1.3555849117649197e-05,1,321,0.386940873807162,1.5302096704485108e-05,"tensor(0.6343, device='cuda:0')",COMPLETE
4,0.4479527473449707,2023-10-30 13:45:08.160164,2023-10-30 13:45:08.490703,0 days 00:00:00.330539,Leaky,ReLU,47,7,6.0,0.09289150894161272,2,407,0.6268467833774175,1.874352357511325e-05,"tensor(0.4480, device='cuda:0')",COMPLETE
5,0.999688446521759,2023-10-30 13:45:08.491096,2023-10-30 13:45:08.596856,0 days 00:00:00.105760,Tanh,Sigmoid,62,1,24.0,0.056348715262661955,2,127,0.2612438620598473,0.02195122595924728,"tensor(0.9997, device='cuda:0')",COMPLETE
6,1.1825542449951172,2023-10-30 13:45:08.597224,2023-10-30 13:45:09.127644,0 days 00:00:00.530420,Sigmoid,,92,23,,0.00013423099872538014,1,244,0.24010026947410085,2.9073992353077845e-05,"tensor(1.1826, device='cuda:0')",COMPLETE
7,0.42507195472717285,2023-10-30 13:45:09.128012,2023-10-30 13:45:09.556439,0 days 00:00:00.428427,Tanh,ReLU,11,20,4.0,0.04617123930442498,2,436,0.20112164500810933,0.0007745984358118375,"tensor(0.4251, device='cuda:0')",COMPLETE
8,0.5075763463973999,2023-10-30 13:45:09.556842,2023-10-30 13:45:10.616926,0 days 00:00:01.060084,Leaky,Leaky,43,4,5.0,0.00814247391866302,2,433,0.6314166539173428,0.047861412899080566,"tensor(0.5076, device='cuda:0')",COMPLETE
9,0.5234843492507935,2023-10-30 13:45:10.617306,2023-10-30 13:45:11.655898,0 days 00:00:01.038592,Sigmoid,,68,24,,0.0034802696009805525,1,225,0.41300262584100916,0.004243066786997568,"tensor(0.5235, device='cuda:0')",COMPLETE
