number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
0,0.5501601099967957,2023-10-30 14:26:07.756917,2023-10-30 14:26:09.283222,0 days 00:00:01.526305,ReLU,,90,10,,0.1,1,200,0.8,1e-05,"tensor(0.5502, device='cuda:0')",COMPLETE
1,0.3860695958137512,2023-10-30 14:26:09.283685,2023-10-30 14:26:09.621029,0 days 00:00:00.337344,Sigmoid,Tanh,60,23,19.0,0.01,2,200,0.1,1e-05,"tensor(0.3861, device='cuda:0')",COMPLETE
2,0.7289410829544067,2023-10-30 14:26:09.621408,2023-10-30 14:26:13.312286,0 days 00:00:03.690878,Tanh,,70,12,,1e-05,1,450,0.8,0.1,"tensor(0.7289, device='cuda:0')",COMPLETE
3,1.1511777639389038,2023-10-30 14:26:13.312655,2023-10-30 14:26:13.603502,0 days 00:00:00.290847,Sigmoid,ReLU,40,21,6.0,1e-05,2,50,0.3,1e-05,"tensor(1.1512, device='cuda:0')",COMPLETE
4,0.8185999989509583,2023-10-30 14:26:13.603920,2023-10-30 14:26:17.626287,0 days 00:00:04.022367,Sigmoid,,30,9,,0.01,1,400,0.5,0.1,"tensor(0.8186, device='cuda:0')",COMPLETE
5,0.4742438793182373,2023-10-30 14:26:17.626668,2023-10-30 14:26:19.147137,0 days 00:00:01.520469,Tanh,Leaky,40,9,2.0,0.01,2,200,0.4,0.001,"tensor(0.4742, device='cuda:0')",COMPLETE
6,0.9233490824699402,2023-10-30 14:26:19.147525,2023-10-30 14:26:20.970411,0 days 00:00:01.822886,Sigmoid,,60,10,,0.001,1,500,0.3,0.01,"tensor(0.9233, device='cuda:0')",COMPLETE
7,0.6798948049545288,2023-10-30 14:26:20.970783,2023-10-30 14:26:27.428868,0 days 00:00:06.458085,Leaky,Leaky,20,22,18.0,1e-05,2,500,0.4,0.01,"tensor(0.6799, device='cuda:0')",COMPLETE
8,0.929297685623169,2023-10-30 14:26:27.429261,2023-10-30 14:26:31.422019,0 days 00:00:03.992758,Sigmoid,,50,5,,1e-05,1,500,0.6,0.001,"tensor(0.9293, device='cuda:0')",COMPLETE
9,1.0148165225982666,2023-10-30 14:26:31.422393,2023-10-30 14:26:32.017713,0 days 00:00:00.595320,Tanh,Sigmoid,70,1,8.0,1e-05,2,100,0.5,0.0001,"tensor(1.0148, device='cuda:0')",COMPLETE
10,2.925884962081909,2023-10-30 14:26:32.018096,2023-10-30 14:26:33.998713,0 days 00:00:01.980617,Leaky,Tanh,10,17,23.0,0.0001,2,300,0.1,1e-05,"tensor(2.9259, device='cuda:0')",COMPLETE
