number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
0,0.9372549057006836,2023-10-31 17:46:39.839342,2023-10-31 17:46:40.867365,0 days 00:00:01.028023,ReLU,ReLU,,96,2,24.0,,4.207053950287933e-05,2,380,0.3472501825396631,4.207988669606632e-05,114.39076692681563,tensor(0.9373),tensor(0.2066),COMPLETE
1,0.9641650319099426,2023-10-31 17:46:40.867844,2023-10-31 17:46:41.285798,0 days 00:00:00.417954,Sigmoid,,,57,8,,,3.613894271216525e-05,1,244,0.18323402450269796,0.0028016351587162596,232.92197405705687,tensor(0.9642),tensor(0.0472),COMPLETE
2,1.158178687095642,2023-10-31 17:46:41.286172,2023-10-31 17:46:41.538630,0 days 00:00:00.252458,ReLU,Sigmoid,,63,23,17.0,,1.8205657658407255e-05,2,70,0.3537265614813031,4.809461967501571e-05,109.80010375976562,tensor(1.1582),tensor(0.0292),COMPLETE
3,0.24427632987499237,2023-10-31 17:46:41.539039,2023-10-31 17:46:41.904737,0 days 00:00:00.365698,ReLU,ReLU,Sigmoid,33,5,15.0,8.0,0.0015375920235481753,3,348,0.19120672003192066,0.0012030178871154666,98.32758241541245,tensor(0.2443),tensor(0.7575),COMPLETE
4,0.1918080896139145,2023-10-31 17:46:41.905119,2023-10-31 17:46:42.204070,0 days 00:00:00.298951,Sigmoid,,,59,19,,,0.08862326508576249,1,113,0.5302199457161924,1.9870215385428627e-05,234.53241672800547,tensor(0.1918),tensor(0.8317),COMPLETE
5,0.2487289160490036,2023-10-31 17:46:42.204422,2023-10-31 17:46:42.280220,0 days 00:00:00.075798,ReLU,Tanh,Sigmoid,80,15,18.0,18.0,0.028340904295147733,3,83,0.210730214941013,2.9072088906598435e-05,94.33141879377693,tensor(0.2487),tensor(0.7262),COMPLETE
6,0.26933395862579346,2023-10-31 17:46:42.280568,2023-10-31 17:46:42.385433,0 days 00:00:00.104865,Tanh,Sigmoid,,48,8,19.0,,0.003512704726270845,2,61,0.12515138709410836,1.3357240411974104e-05,67.77323613401319,tensor(0.2693),tensor(0.7384),COMPLETE
7,1.2180927991867065,2023-10-31 17:46:42.385795,2023-10-31 17:46:44.309695,0 days 00:00:01.923900,Sigmoid,Leaky,ReLU,83,22,3.0,1.0,5.575453980775367e-05,3,335,0.6123607313403794,0.016394127471631596,220.66646159157824,tensor(1.2181),tensor(-0.0566),COMPLETE
8,0.2773442268371582,2023-10-31 17:46:44.310045,2023-10-31 17:46:44.769807,0 days 00:00:00.459762,ReLU,Tanh,,95,24,7.0,,0.0002847858516856298,2,195,0.29411326736059046,0.006487477066058677,236.952464842185,tensor(0.2773),tensor(0.7521),COMPLETE
9,0.2329445332288742,2023-10-31 17:46:44.770138,2023-10-31 17:46:44.809962,0 days 00:00:00.039824,Tanh,,,92,6,,,0.0876197110102369,1,158,0.13516153276970477,0.0009074256288983858,82.00989753969255,tensor(0.2329),tensor(0.7617),COMPLETE
10,0.21562443673610687,2023-10-31 17:46:44.810289,2023-10-31 17:46:45.765236,0 days 00:00:00.954947,Leaky,,,10,16,,,0.008566301930727136,1,487,0.7187943524819721,0.00021206551805691168,69.93444944682874,tensor(0.2156),tensor(0.7999),COMPLETE
11,0.2240944355726242,2023-10-31 17:46:45.765584,2023-10-31 17:46:46.876147,0 days 00:00:01.110563,Leaky,,,10,16,,,0.007984929114187387,1,497,0.743420126019279,0.0001584963383494964,69.75758834507154,tensor(0.2241),tensor(0.7941),COMPLETE
12,0.301986962556839,2023-10-31 17:46:46.876499,2023-10-31 17:46:47.183712,0 days 00:00:00.307213,Leaky,,,10,18,,,0.09937132284877451,1,473,0.5736569850809685,0.00019805408484526032,128.1841459274292,tensor(0.3020),tensor(0.6955),COMPLETE
13,0.2702605724334717,2023-10-31 17:46:47.184068,2023-10-31 17:46:47.613829,0 days 00:00:00.429761,Leaky,,,30,19,,,0.011235122258816836,1,419,0.793400658699481,0.07408766950364654,93.68409245188643,tensor(0.2703),tensor(0.7717),COMPLETE
14,0.20618315041065216,2023-10-31 17:46:47.614158,2023-10-31 17:46:49.031401,0 days 00:00:01.417243,Sigmoid,,,41,12,,,0.021461880477087185,1,274,0.49956571319552545,1.1286551377492804e-05,171.84520086580818,tensor(0.2062),tensor(0.8198),COMPLETE
15,0.21969592571258545,2023-10-31 17:46:49.031729,2023-10-31 17:46:49.445527,0 days 00:00:00.413798,Sigmoid,,,41,12,,,0.030828226745214207,1,268,0.4719746898440859,1.533901892320431e-05,129.59133008631264,tensor(0.2197),tensor(0.8087),COMPLETE
16,0.21519042551517487,2023-10-31 17:46:49.445882,2023-10-31 17:46:49.703688,0 days 00:00:00.257806,Sigmoid,Leaky,,68,12,9.0,,0.032937189499344294,2,140,0.46602878597214703,1.0502093498687444e-05,165.7603401050233,tensor(0.2152),tensor(0.8121),COMPLETE
17,0.25626033544540405,2023-10-31 17:46:49.704041,2023-10-31 17:46:51.156866,0 days 00:00:01.452825,Sigmoid,,,26,20,,,0.0014127516953867845,1,214,0.4534345286857686,6.519906463481265e-05,136.7535543352644,tensor(0.2563),tensor(0.7776),COMPLETE
18,0.1979820728302002,2023-10-31 17:46:51.157195,2023-10-31 17:46:51.431946,0 days 00:00:00.274751,Sigmoid,,,72,10,,,0.09869354737336436,1,294,0.5638596897471041,9.832250172642753e-05,146.54181243434095,tensor(0.1980),tensor(0.8278),COMPLETE
19,0.2452699840068817,2023-10-31 17:46:51.432265,2023-10-31 17:46:51.693348,0 days 00:00:00.261083,Sigmoid,Sigmoid,,76,9,1.0,,0.06944751231502817,2,322,0.39126105163551744,0.00012546777161286492,206.67458373230772,tensor(0.2453),tensor(0.7924),COMPLETE
20,0.2552807033061981,2023-10-31 17:46:51.693803,2023-10-31 17:46:52.202224,0 days 00:00:00.508421,Sigmoid,,,70,14,,,0.0036513423621065814,1,118,0.5763190797419314,0.0004705614323574565,134.24737128564868,tensor(0.2553),tensor(0.7745),COMPLETE
21,0.1959618628025055,2023-10-31 17:46:52.202575,2023-10-31 17:46:52.789785,0 days 00:00:00.587210,Sigmoid,,,47,11,,,0.037440245032010995,1,283,0.5665789800786971,2.2593597173099214e-05,144.84194550690827,tensor(0.1960),tensor(0.8276),COMPLETE
