number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
0,0.8562574982643127,2023-10-31 18:01:59.036085,2023-10-31 18:02:00.088362,0 days 00:00:01.052277,ReLU,ReLU,,96,2,24.0,,4.207053950287933e-05,2,380,0.3472501825396631,4.207988669606632e-05,211.21242242110404,tensor(0.8563),tensor(0.0668),COMPLETE
1,0.9828844666481018,2023-10-31 18:02:00.088827,2023-10-31 18:02:00.516587,0 days 00:00:00.427760,Sigmoid,,,57,8,,,3.613894271216525e-05,1,244,0.18323402450269796,0.0028016351587162596,262.8057451091829,tensor(0.9829),tensor(0.0276),COMPLETE
2,0.9031334519386292,2023-10-31 18:02:00.516947,2023-10-31 18:02:00.774312,0 days 00:00:00.257365,ReLU,Sigmoid,,63,23,17.0,,1.8205657658407255e-05,2,70,0.3537265614813031,4.809461967501571e-05,149.23152923583984,tensor(0.9031),tensor(0.0144),COMPLETE
3,0.21191000938415527,2023-10-31 18:02:00.774709,2023-10-31 18:02:02.033721,0 days 00:00:01.259012,ReLU,ReLU,Sigmoid,33,5,15.0,8.0,0.0015375920235481753,3,348,0.19120672003192066,0.0012030178871154666,236.99037003791196,tensor(0.2119),tensor(0.7918),COMPLETE
4,0.16286593675613403,2023-10-31 18:02:02.034096,2023-10-31 18:02:02.548901,0 days 00:00:00.514805,Sigmoid,,,59,19,,,0.08862326508576249,1,113,0.5302199457161924,1.9870215385428627e-05,101.83190209042709,tensor(0.1629),tensor(0.8290),COMPLETE
5,0.19823643565177917,2023-10-31 18:02:02.549236,2023-10-31 18:02:02.762270,0 days 00:00:00.213034,ReLU,Tanh,Sigmoid,80,15,18.0,18.0,0.028340904295147733,3,83,0.210730214941013,2.9072088906598435e-05,137.9135540881789,tensor(0.1982),tensor(0.7935),COMPLETE
6,0.6185545921325684,2023-10-31 18:02:02.762639,2023-10-31 18:02:02.870629,0 days 00:00:00.107990,Tanh,Sigmoid,,48,8,19.0,,0.003512704726270845,2,61,0.12515138709410836,1.3357240411974104e-05,184.9262797871574,tensor(0.6186),tensor(0.4959),COMPLETE
7,1.0612047910690308,2023-10-31 18:02:02.870980,2023-10-31 18:02:04.837699,0 days 00:00:01.966719,Sigmoid,Leaky,ReLU,83,22,3.0,1.0,5.575453980775367e-05,3,335,0.6123607313403794,0.016394127471631596,161.42648347313724,tensor(1.0612),tensor(-0.0287),COMPLETE
8,0.476515531539917,2023-10-31 18:02:04.838088,2023-10-31 18:02:05.309467,0 days 00:00:00.471379,ReLU,Tanh,,95,24,7.0,,0.0002847858516856298,2,195,0.29411326736059046,0.006487477066058677,174.73981338892227,tensor(0.4765),tensor(0.4959),COMPLETE
9,0.2719659209251404,2023-10-31 18:02:05.309787,2023-10-31 18:02:05.504800,0 days 00:00:00.195013,Tanh,,,92,6,,,0.0876197110102369,1,158,0.13516153276970477,0.0009074256288983858,155.67586179322834,tensor(0.2720),tensor(0.7620),COMPLETE
10,0.15935876965522766,2023-10-31 18:02:05.505135,2023-10-31 18:02:16.943821,0 days 00:00:11.438686,Leaky,,,10,16,,,0.008566301930727136,1,487,0.7187943524819721,0.00021206551805691168,86.08841590959678,tensor(0.1594),tensor(0.8563),COMPLETE
11,0.1666177213191986,2023-10-31 18:02:16.944158,2023-10-31 18:02:29.017150,0 days 00:00:12.072992,Leaky,,,10,16,,,0.007984929114187387,1,497,0.743420126019279,0.0001584963383494964,78.5199760114643,tensor(0.1666),tensor(0.8446),COMPLETE
12,0.26017892360687256,2023-10-31 18:02:29.017463,2023-10-31 18:02:38.179264,0 days 00:00:09.161801,Leaky,,,10,18,,,0.09937132284877451,1,473,0.5736569850809685,0.00019805408484526032,119.34900760449013,tensor(0.2602),tensor(0.6523),COMPLETE
13,0.39929449558258057,2023-10-31 18:02:38.179580,2023-10-31 18:02:42.533820,0 days 00:00:04.354240,Leaky,,,30,19,,,0.011235122258816836,1,419,0.793400658699481,0.07408766950364654,168.1625437224395,tensor(0.3993),tensor(0.6105),COMPLETE
14,0.14961400628089905,2023-10-31 18:02:42.534186,2023-10-31 18:02:43.980882,0 days 00:00:01.446696,Sigmoid,,,41,12,,,0.021461880477087185,1,274,0.49956571319552545,1.1286551377492804e-05,85.17165681045421,tensor(0.1496),tensor(0.8391),COMPLETE
15,0.17030906677246094,2023-10-31 18:02:43.981216,2023-10-31 18:02:45.899948,0 days 00:00:01.918732,Leaky,,,26,12,,,0.018914756564249163,1,286,0.4503865317740176,0.000192043987335109,97.31198312185862,tensor(0.1703),tensor(0.8177),COMPLETE
16,0.16635923087596893,2023-10-31 18:02:45.900284,2023-10-31 18:02:47.466083,0 days 00:00:01.565799,Sigmoid,Leaky,,42,10,9.0,,0.0034881898656464335,2,285,0.4236827457743909,1.0962270470100512e-05,117.24666726631031,tensor(0.1664),tensor(0.8295),COMPLETE
17,0.16624899208545685,2023-10-31 18:02:47.466439,2023-10-31 18:02:50.021585,0 days 00:00:02.555146,Sigmoid,,,21,14,,,0.025334017947947502,1,226,0.6584415511422562,9.132212044200745e-05,84.55040784852694,tensor(0.1662),tensor(0.8346),COMPLETE
18,0.17171607911586761,2023-10-31 18:02:50.021913,2023-10-31 18:02:52.040612,0 days 00:00:02.018699,Leaky,,,41,11,,,0.0010658690738453152,1,408,0.4833832573999919,0.00047924470175584195,95.00789311352898,tensor(0.1717),tensor(0.8301),COMPLETE
19,0.15643228590488434,2023-10-31 18:02:52.040952,2023-10-31 18:02:57.083730,0 days 00:00:05.042778,Tanh,Sigmoid,,19,17,1.0,,0.005197127996270794,2,322,0.6827279701139015,1.0418523851518881e-05,129.70308820357235,tensor(0.1564),tensor(0.8602),COMPLETE
20,0.24417516589164734,2023-10-31 18:02:57.084134,2023-10-31 18:02:59.033659,0 days 00:00:01.949525,Tanh,Sigmoid,Leaky,70,13,2.0,24.0,0.00042829406774770774,3,326,0.5690050998193039,1.1971204046196481e-05,154.7687100369506,tensor(0.2442),tensor(0.7654),COMPLETE
21,0.13962776958942413,2023-10-31 18:02:59.034050,2023-10-31 18:03:07.486016,0 days 00:00:08.451966,Tanh,Sigmoid,,19,17,10.0,,0.006279933957357887,2,457,0.7763935748386137,4.6649075400823775e-05,66.44934386706196,tensor(0.1396),tensor(0.8711),COMPLETE
22,0.15153473615646362,2023-10-31 18:03:07.486365,2023-10-31 18:03:13.695544,0 days 00:00:06.209179,Tanh,Sigmoid,,22,17,8.0,,0.0033949155784243393,2,438,0.6721682042180022,3.390564128846213e-05,75.64450890179639,tensor(0.1515),tensor(0.8507),COMPLETE
23,0.1547965258359909,2023-10-31 18:03:13.695893,2023-10-31 18:03:18.777648,0 days 00:00:05.081755,Tanh,Sigmoid,,36,20,10.0,,0.002327283976621333,2,451,0.7894887578517138,6.206029734666907e-05,77.3978374506576,tensor(0.1548),tensor(0.8512),COMPLETE
24,0.15436723828315735,2023-10-31 18:03:18.778222,2023-10-31 18:03:24.967996,0 days 00:00:06.189774,Tanh,Sigmoid,,20,21,6.0,,0.0018307719498051277,2,441,0.6089637074513602,2.4824740110419777e-05,81.77902989809205,tensor(0.1544),tensor(0.8471),COMPLETE
25,0.16972185671329498,2023-10-31 18:03:24.968376,2023-10-31 18:03:27.728706,0 days 00:00:02.760330,Tanh,Sigmoid,Tanh,44,14,13.0,11.0,0.006049583137555078,3,382,0.5083962062529811,2.9214435097528622e-05,81.64286708332482,tensor(0.1697),tensor(0.8331),COMPLETE
26,0.16790048778057098,2023-10-31 18:03:27.729078,2023-10-31 18:03:32.215453,0 days 00:00:04.486375,Tanh,Sigmoid,,26,10,11.0,,0.018685730743866973,2,391,0.6459511960741467,7.811352829507415e-05,90.55068591183714,tensor(0.1679),tensor(0.8422),COMPLETE
