number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
0,0.9695619344711304,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,34.79297082358544,0.9695619344711304,0.15857970714569092,COMPLETE
1,0.9854547381401062,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,25.05207845106482,0.9854547381401062,0.057289958000183105,COMPLETE
2,1.0697753429412842,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,52.78615213034416,1.0697753429412842,-0.011473536491394043,COMPLETE
3,0.2712264657020569,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,4.415112710517386,0.2712264657020569,0.7698509097099304,COMPLETE
4,0.45543527603149414,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,29.88531246304886,0.45543527603149414,0.5695501565933228,COMPLETE
5,0.3351806402206421,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,6.100857316231241,0.3351806402206421,0.704897940158844,COMPLETE
6,0.25008976459503174,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,4.0808435783578405,0.25008976459503174,0.7525981664657593,COMPLETE
7,0.2543300986289978,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,4.074232528046967,0.2543300986289978,0.760778546333313,COMPLETE
8,0.30445170402526855,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,11.170504069719158,0.30445170402526855,0.7163859605789185,COMPLETE
9,0.26000556349754333,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,4.462352547716739,0.26000556349754333,0.7728822231292725,COMPLETE
10,0.2447967678308487,Leaky,Leaky,Sigmoid,37,489,15,1.0,22.0,0.04272274816226783,3,0.7508950765561601,0.013414740693873158,4.731322532782525,0.2447967678308487,0.7583655118942261,COMPLETE
11,0.22501690685749054,Leaky,Leaky,Sigmoid,39,488,15,1.0,24.0,0.09865483133311452,3,0.7330588704579284,0.011369471562899906,4.677854889240421,0.22501690685749054,0.7626565098762512,COMPLETE
12,0.24648340046405792,Leaky,Leaky,Sigmoid,35,496,15,1.0,23.0,0.09284123732009288,3,0.7923625993182466,0.00741727059015037,5.759909312571248,0.24648340046405792,0.7632256150245667,COMPLETE
13,0.2744806706905365,Leaky,Leaky,Sigmoid,46,416,17,2.0,23.0,0.07866423121464465,3,0.7849181559184394,0.010566782626685017,6.155893267347262,0.2744806706905365,0.7376207113265991,COMPLETE
14,0.1574997752904892,Leaky,Leaky,Tanh,71,415,18,10.0,24.0,0.0341703786733068,3,0.6508980241126978,0.0011515378625407235,2.5895953287561255,0.1574997752904892,0.8314709663391113,COMPLETE
15,0.18163970112800598,Sigmoid,Tanh,Tanh,74,405,19,13.0,2.0,0.021257391440792372,3,0.6017919030785369,0.0005597335672043225,2.5013138476713204,0.18163970112800598,0.8139373064041138,COMPLETE
16,0.2613633871078491,Sigmoid,Tanh,Tanh,72,402,19,13.0,1.0,0.018262182252792785,3,0.3314086232116881,0.00047090567561981235,3.6641694087887284,0.2613633871078491,0.7442951202392578,COMPLETE
17,0.1885320395231247,Sigmoid,Tanh,Tanh,77,393,19,13.0,4.0,0.004420428258130095,3,0.622610660030666,0.000602147207774381,3.5985133635785442,0.1885320395231247,0.831074059009552,COMPLETE
18,0.2618279457092285,Sigmoid,Tanh,,75,220,24,9.0,,0.032217839394426795,2,0.5821457889627366,0.002557628993486276,5.0256362459876325,0.2618279457092285,0.7609224915504456,COMPLETE
19,0.2399139553308487,Sigmoid,ReLU,Tanh,65,440,12,16.0,12.0,0.006517658655242912,3,0.39350155128062203,0.00023280962240396962,3.392589295452291,0.2399139553308487,0.7900643944740295,COMPLETE
