number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,0.8802967071533203,Leaky,ReLU,96,218,2,21.0,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,0.8972169160842896,0.8802967071533203,0.18801462650299072,COMPLETE
1,0.9130886197090149,Sigmoid,,57,187,8,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.214998483657837,0.9130886197090149,0.07662755250930786,COMPLETE
2,1.0264077186584473,ReLU,Sigmoid,63,281,23,24.0,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,1.6498157978057861,1.0264077186584473,0.008505582809448242,COMPLETE
3,0.36202272772789,ReLU,,33,460,5,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,0.5762526392936707,0.36202272772789,0.665022611618042,COMPLETE
4,0.5285308361053467,Tanh,,93,319,10,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,0.8222167491912842,0.5285308361053467,0.49375492334365845,COMPLETE
5,0.4274938106536865,Tanh,,22,294,5,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,0.8841970562934875,0.4274938106536865,0.6065483093261719,COMPLETE
6,0.34848928451538086,Leaky,,16,397,8,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,0.6213818192481995,0.34848928451538086,0.6355608105659485,COMPLETE
7,0.33665549755096436,ReLU,,90,337,14,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,0.8680817484855652,0.33665549755096436,0.6557211875915527,COMPLETE
8,0.4133903980255127,Tanh,Sigmoid,19,61,22,6.0,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,0.9895585775375366,0.4133903980255127,0.6022824048995972,COMPLETE
9,0.36067280173301697,ReLU,,89,335,20,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,1.0525604486465454,0.36067280173301697,0.6657611131668091,COMPLETE
10,0.3558976948261261,Sigmoid,Tanh,74,482,16,1.0,0.04272274816226783,2,0.7508950765561601,0.005717109006664331,0.8825886845588684,0.3558976948261261,0.662900447845459,COMPLETE
11,0.35546281933784485,Leaky,,41,398,14,,0.007970765717936116,1,0.21660966175991014,0.013791005359636446,0.6209012269973755,0.35546281933784485,0.6293051242828369,COMPLETE
12,0.34983164072036743,Leaky,,76,391,17,,0.006906476610844571,1,0.19987442548960907,0.01299013225333428,0.6040968894958496,0.34983164072036743,0.6214190721511841,COMPLETE
13,0.3912685215473175,ReLU,,41,398,12,,0.07290773149534471,1,0.29133292754445694,0.09941450502972564,0.6488626003265381,0.3912685215473175,0.6146689653396606,COMPLETE
14,0.34832197427749634,Leaky,,13,190,8,,0.003908433663415347,1,0.17628524786932623,0.016025418339761,0.5843876004219055,0.34832197427749634,0.6246693134307861,COMPLETE
15,0.38440966606140137,Leaky,,78,164,12,,0.0004931942385664118,1,0.16002589974096493,0.004436912442331288,0.659559965133667,0.38440966606140137,0.5964980125427246,COMPLETE
16,0.3431088626384735,ReLU,,44,99,18,,0.02150277431703847,1,0.30254601120811353,0.0006411330458531816,0.5757838487625122,0.3431088626384735,0.6349295377731323,COMPLETE
17,0.3112339675426483,ReLU,Leaky,50,52,19,13.0,0.025354862374997084,2,0.27670960969317504,0.0004024677032581236,0.8659875988960266,0.3112339675426483,0.6514599323272705,COMPLETE
18,0.3239991068840027,ReLU,Leaky,66,239,20,13.0,0.03996873081687178,2,0.3296804647544573,0.0005074422971111236,0.5535457134246826,0.3239991068840027,0.64152592420578,COMPLETE
19,0.2992357909679413,ReLU,Leaky,63,111,24,13.0,0.032961212835735554,2,0.3461277292969916,0.00032949000789371736,0.5085756778717041,0.2992357909679413,0.6556081771850586,COMPLETE
20,0.2987690567970276,ReLU,Leaky,52,126,24,14.0,0.05612833923322985,2,0.3593597634573051,0.00023091258673201803,0.5222910642623901,0.2987690567970276,0.6549198627471924,COMPLETE
21,0.3147490620613098,ReLU,Leaky,52,127,24,14.0,0.091386423665948,2,0.35570530383070886,0.00026096855160339397,0.5456689596176147,0.3147490620613098,0.6756181120872498,COMPLETE
