number,value,params_activation_1,params_batch_size,params_epochs,params_layer_1,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,1.0072177648544312,Leaky,96,218,4,4.207988669606632e-05,1,0.4582013868952863,0.0024810409748678114,2.539363145828247,1.0072177648544312,0.03716409206390381,COMPLETE
1,1.0189489126205444,Leaky,88,76,24,1.2087541473056957e-05,1,0.3490285460630004,0.006796578090758156,5.195074081420898,1.0189489126205444,0.006286442279815674,COMPLETE
2,0.7165969610214233,Leaky,29,425,13,0.00016480446427978953,1,0.14595006988277215,5.415244119402538e-05,1.5117440223693848,0.7165969610214233,0.24046719074249268,COMPLETE
3,0.7932352423667908,Leaky,36,244,9,0.00014742753159914678,1,0.3569095943771272,3.613894271216525e-05,2.792428731918335,0.7932352423667908,0.24043798446655273,COMPLETE
4,0.7605762481689453,Leaky,81,255,2,0.00234238498471129,1,0.1514688727422765,0.0011400863701127321,1.7143163681030273,0.7605762481689453,0.20524311065673828,COMPLETE
5,0.6610774993896484,Leaky,25,324,20,0.07286653737491042,1,0.1144846978456873,0.06245139574743072,2.4408233165740967,0.6610774993896484,0.21202611923217773,COMPLETE
6,0.8752930164337158,Leaky,18,187,12,3.077180271250682e-05,1,0.4148814287315354,0.00057624872164786,1.3431297540664673,0.8752930164337158,0.15699052810668945,COMPLETE
7,0.9041587710380554,Leaky,92,65,13,0.00017654048052495074,1,0.17127801069727153,0.004467752817973905,1.5620110034942627,0.9041587710380554,0.0885852575302124,COMPLETE
8,0.764146089553833,Leaky,26,296,22,0.057279044707996205,1,0.7509692752447114,0.012604664585649461,1.3251919746398926,0.764146089553833,0.22752994298934937,COMPLETE
9,1.0265809297561646,Leaky,93,319,8,1.5167330688076188e-05,1,0.12020338353108916,6.080390190296599e-05,1.5547972917556763,1.0265809297561646,-0.15334820747375488,COMPLETE
10,0.6781665086746216,Leaky,53,480,19,0.0862154187030456,1,0.1015818010222162,0.06615753514282514,2.021824836730957,0.6781665086746216,0.22590410709381104,COMPLETE
11,0.67735356092453,Leaky,56,492,19,0.09620746057162914,1,0.10740019554441513,0.0976729075713762,1.5967785120010376,0.67735356092453,0.2338120937347412,COMPLETE
12,0.6989817023277283,Leaky,60,386,18,0.01965949161057844,1,0.21293918678696583,0.07614140432898928,4.815253734588623,0.6989817023277283,0.2886924147605896,COMPLETE
13,0.6555139422416687,Leaky,52,478,17,0.01299013225333428,1,0.11435769527568751,0.09886870312111887,2.0744385719299316,0.6555139422416687,0.2559153437614441,COMPLETE
14,0.6717368364334106,Leaky,42,366,16,0.008886478953458633,1,0.20763598718630275,0.022206733518191253,3.494140625,0.6717368364334106,0.3103649616241455,COMPLETE
15,0.6569002270698547,Leaky,11,428,21,0.011484437796990762,1,0.12427260339874621,0.026136832283569274,3.269134521484375,0.6569002270698547,0.2358127236366272,COMPLETE
16,0.6972522139549255,Leaky,11,443,16,0.004211412648260473,1,0.2278245185460825,0.021908510178579536,506.7362060546875,0.6972522139549255,0.29938000440597534,COMPLETE
17,0.7291461825370789,Leaky,72,412,24,0.0167441178419175,1,0.15124505567502505,0.024862717446114645,1.4785817861557007,0.7291461825370789,0.192338764667511,COMPLETE
18,0.6780605912208557,Leaky,44,460,16,0.0011477794296413466,1,0.13098390654628306,0.010644643933019613,1.5374643802642822,0.6780605912208557,0.22439205646514893,COMPLETE
19,0.6683809757232666,Leaky,68,368,21,0.006436684452690981,1,0.10017128575900675,0.023429613677120948,1.7894991636276245,0.6683809757232666,0.15759462118148804,COMPLETE
20,0.7279092073440552,Leaky,12,496,22,0.02443949871815786,1,0.1807152915607979,0.03583209845818921,1.328554391860962,0.7279092073440552,0.24710655212402344,COMPLETE
21,0.6687036752700806,Leaky,24,359,20,0.036961936179721225,1,0.12617801051695232,0.050920205197522765,2.2640979290008545,0.6687036752700806,0.24900156259536743,COMPLETE
22,0.6557366847991943,Leaky,34,330,18,0.015065112857234634,1,0.12421252929880505,0.08318174612925536,2.642601490020752,0.6557366847991943,0.2541881203651428,COMPLETE
23,0.7056381702423096,Leaky,47,414,17,0.01163987923316864,1,0.13217198859705026,0.0945653644695942,1.3456029891967773,0.7056381702423096,0.24013549089431763,COMPLETE
24,0.6482111811637878,Leaky,35,148,14,0.0038372009655072855,1,0.1233397382281928,0.034446193356755896,2.208031177520752,0.6482111811637878,0.2623468041419983,COMPLETE
25,0.7105615735054016,Leaky,36,206,14,0.0036503054750106415,1,0.164847167152747,0.04842283131270765,1.4586387872695923,0.7105615735054016,0.2678294777870178,COMPLETE
26,0.7844237089157104,Leaky,35,121,10,0.032344057156716725,1,0.1849691675644027,0.012615751233429947,1.8416088819503784,0.7844237089157104,0.18089085817337036,COMPLETE
27,0.7128256559371948,Leaky,50,146,15,0.005757944425278346,1,0.14648340706907056,0.09381001374540396,1.6406959295272827,0.7128256559371948,0.25461673736572266,COMPLETE
28,0.639295756816864,Leaky,38,135,6,0.0021010838780572767,1,0.11303942463395898,0.03908093835230687,1.5632004737854004,0.639295756816864,0.27188873291015625,COMPLETE
29,0.7091537117958069,Leaky,62,158,5,0.0015979051226481938,1,0.2439494019391893,0.0033159116704233834,2.182277202606201,0.7091537117958069,0.2975274920463562,COMPLETE
30,0.6896026134490967,Leaky,44,99,6,0.0006993700387973736,1,0.11334070572834133,0.03940699542244135,1.3512868881225586,0.6896026134490967,0.21459287405014038,COMPLETE
31,0.6759716868400574,Leaky,31,169,11,0.0026431512828483292,1,0.10133848150706197,0.040035450837128714,2.9494526386260986,0.6759716868400574,0.2608407735824585,COMPLETE
32,0.7782177329063416,Leaky,39,123,1,0.006662399361671104,1,0.1362801635059505,0.007258707603587009,1.80684232711792,0.7782177329063416,0.1512245535850525,COMPLETE
33,0.654668390750885,Leaky,20,224,7,0.015435327382099679,1,0.12108840857179244,0.013446700391812378,1.4808224439620972,0.654668390750885,0.19934684038162231,COMPLETE
34,0.6745767593383789,Leaky,19,223,8,0.00839458876457711,1,0.11451489957731659,0.014451136084381842,2.4760255813598633,0.6745767593383789,0.1415553092956543,COMPLETE
35,0.7629601955413818,Leaky,19,248,3,0.003153715134718545,1,0.15219831360967817,0.00667857117152142,1.2797595262527466,0.7629601955413818,0.06923162937164307,COMPLETE
36,0.687762439250946,Leaky,27,278,6,0.0018851867765636255,1,0.1390060465635061,0.04045641039572411,1.5732977390289307,0.687762439250946,0.2596815228462219,COMPLETE
37,0.665749192237854,Leaky,31,200,4,0.0048177350244486975,1,0.11482465266526284,0.051153655661311054,2.256828784942627,0.665749192237854,0.240486741065979,COMPLETE
38,0.7697659134864807,Leaky,40,103,8,0.0007740559452671325,1,0.15707901605083663,0.002235308118671907,1.8215981721878052,0.7697659134864807,0.21774393320083618,COMPLETE
39,0.6579781174659729,Leaky,49,222,11,0.04945725139789303,1,0.29078590885408245,0.0169800106704911,4.548078536987305,0.6579781174659729,0.311700701713562,COMPLETE
40,0.7065773010253906,Leaky,23,52,13,0.026003128644545317,1,0.13871158938682532,0.00786709713734658,1.2991976737976074,0.7065773010253906,0.15953302383422852,COMPLETE
41,0.6475539207458496,Leaky,33,187,15,0.014806194932603486,1,0.12146482274051698,0.061947145565667265,1.604729413986206,0.6475539207458496,0.23514574766159058,COMPLETE
42,0.6385541558265686,Leaky,31,172,14,0.009308287497145377,1,0.11069560708266431,0.028748015170858187,1.901918649673462,0.6385541558265686,0.2236519455909729,COMPLETE
43,0.6501826643943787,Leaky,30,179,14,0.008238616499915344,1,0.10796147230622398,0.03005958346728993,1.5981969833374023,0.6501826643943787,0.20915228128433228,COMPLETE
44,0.6521280407905579,Leaky,28,180,14,0.0045024829297784005,1,0.10611839405715669,0.03245621067410057,2.57466983795166,0.6521280407905579,0.22244054079055786,COMPLETE
45,0.711094856262207,Leaky,32,141,12,0.002366645881839164,1,0.10750497707088841,0.06365812079960885,1.7242796421051025,0.711094856262207,0.21314024925231934,COMPLETE
46,0.654945969581604,Leaky,100,88,14,0.009707469192059344,1,0.10061557811416125,0.01847342143295328,2.2029221057891846,0.654945969581604,0.21896910667419434,COMPLETE
47,0.6937932372093201,Leaky,39,189,12,0.007473074963028498,1,0.1422713506780739,0.029666611505381968,1.4860259294509888,0.6937932372093201,0.2157382369041443,COMPLETE
48,0.7305665612220764,Leaky,29,128,10,0.0036232773475051885,1,0.16868321886237006,0.05875917748955196,1.3881385326385498,0.7305665612220764,0.2606065273284912,COMPLETE
49,0.6645626425743103,Leaky,15,170,14,0.023403637092341577,1,0.12754923251533112,0.01923923482304187,1.5409873723983765,0.6645626425743103,0.1686333417892456,COMPLETE
50,0.6309664249420166,Leaky,85,144,15,0.005661163069268907,1,0.11149007500128158,0.06311681648820236,2.183420181274414,0.6309664249420166,0.26753872632980347,COMPLETE
51,0.7419309020042419,Leaky,84,152,15,0.005488702938466884,1,0.11171315525991685,0.02911211530971866,3.0460095405578613,0.7419309020042419,0.1379724144935608,COMPLETE
52,0.6514095664024353,Leaky,77,81,15,0.01249674155676217,1,0.12151888968125618,0.06323876057463741,1.6322112083435059,0.6514095664024353,0.24865293502807617,COMPLETE
53,0.6534446477890015,Leaky,37,113,17,0.008627629390706758,1,0.10941628607701491,0.043572596045931646,4.611090183258057,0.6534446477890015,0.25695163011550903,COMPLETE
54,0.6790964007377625,Leaky,58,200,13,0.019476713706638314,1,0.13104255761657982,0.06740607010387369,1.4668595790863037,0.6790964007377625,0.2417367696762085,COMPLETE
55,0.6653884649276733,Leaky,90,265,16,0.0035131140082651177,1,0.11779141023982607,0.02329643750032434,1.5482985973358154,0.6653884649276733,0.232277512550354,COMPLETE
56,0.661831259727478,Leaky,22,134,11,0.01061017419838153,1,0.10734060324350059,0.029061807316474512,1.570984959602356,0.661831259727478,0.20642584562301636,COMPLETE
57,0.7224263548851013,Leaky,64,161,15,0.005598204171508754,1,0.14588799132434316,0.0655012243415467,1.6649949550628662,0.7224263548851013,0.24125367403030396,COMPLETE
58,0.6588730216026306,Leaky,44,183,18,0.002047316829588344,1,0.12153999685581064,0.01025965064700146,1.832500696182251,0.6588730216026306,0.2166019082069397,COMPLETE
59,0.6837404370307922,Leaky,54,239,13,0.0013520989261391744,1,0.13160661555312464,0.04633343150382217,1.4608895778656006,0.6837404370307922,0.26643604040145874,COMPLETE
