number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,0.9695619344711304,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.012481927871704,0.9695619344711304,0.15857970714569092,COMPLETE
1,0.9854547381401062,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.4378057718276978,0.9854547381401062,0.057289958000183105,COMPLETE
2,1.0697753429412842,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,0.9897975325584412,1.0697753429412842,-0.011473536491394043,COMPLETE
3,0.27128636837005615,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,81.27813720703125,0.27128636837005615,0.7698509097099304,COMPLETE
4,0.45543527603149414,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,0.8085132837295532,0.45543527603149414,0.5695501565933228,COMPLETE
5,0.337514728307724,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.925383448600769,0.337514728307724,0.704897940158844,COMPLETE
6,0.2503756880760193,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,0.8652974963188171,0.2503756880760193,0.7525981664657593,COMPLETE
7,0.2604357600212097,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,1.8602550029754639,0.2604357600212097,0.760778546333313,COMPLETE
8,0.30445170402526855,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,0.6584742665290833,0.30445170402526855,0.7163859605789185,COMPLETE
9,0.26008009910583496,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,1.3592572212219238,0.26008009910583496,0.7728822231292725,COMPLETE
10,0.27289897203445435,Leaky,Leaky,Sigmoid,37,489,15,1.0,22.0,0.04272274816226783,3,0.7508950765561601,0.013414740693873158,1.0328062772750854,0.27289897203445435,0.7583655118942261,COMPLETE
11,0.2738414704799652,Leaky,Tanh,Tanh,73,401,19,14.0,3.0,0.00342574548906895,3,0.19852365244691408,0.0938426825539738,1.253883719444275,0.2738414704799652,0.7272008657455444,COMPLETE
12,0.3637654781341553,Sigmoid,,,44,393,18,,,0.0002478678237963651,1,0.3559865613607068,0.02443343311783758,1.698423981666565,0.3637654781341553,0.6963814496994019,COMPLETE
13,0.23959901928901672,Leaky,ReLU,,75,397,11,14.0,,0.004865944500026247,2,0.19115485271114172,0.030746842991622864,0.8970505595207214,0.23959901928901672,0.7623327970504761,COMPLETE
14,0.2678740620613098,Leaky,ReLU,,73,418,11,15.0,,0.0753493322967014,2,0.17326143338095212,0.004436912442331288,1.3156002759933472,0.2678740620613098,0.7308931350708008,COMPLETE
15,0.23934738337993622,Leaky,ReLU,ReLU,13,434,7,8.0,24.0,0.004932727940480199,3,0.17376054932057353,0.01458749838258011,1.049957275390625,0.23934738337993622,0.7595511078834534,COMPLETE
16,0.27303168177604675,Leaky,ReLU,ReLU,73,493,1,9.0,24.0,0.0117895953051414,3,0.15213779503683725,0.008993651104997983,9.385076522827148,0.27303168177604675,0.7256441116333008,COMPLETE
17,0.25313130021095276,Leaky,ReLU,ReLU,52,441,7,10.0,14.0,0.0004133206909441453,3,0.1571043944886042,0.0008210530281157431,1.141188383102417,0.25313130021095276,0.7452489137649536,COMPLETE
18,0.25124987959861755,Leaky,ReLU,,82,237,13,17.0,,0.005271798268802847,2,0.29886641859967705,0.015381906635434055,1.2552496194839478,0.25124987959861755,0.7774014472961426,COMPLETE
19,0.2711420953273773,Sigmoid,Leaky,Leaky,10,365,16,5.0,14.0,0.03690552508791651,3,0.1358454840283914,0.0028384049513783946,0.7743085026741028,0.2711420953273773,0.7274907827377319,COMPLETE
20,0.24701176583766937,Leaky,Tanh,,63,123,11,11.0,,0.024304004339203076,2,0.19648145960380267,0.04507417389197486,1.124189853668213,0.24701176583766937,0.7561036348342896,COMPLETE
21,0.24560463428497314,Leaky,Tanh,,63,130,11,11.0,,0.022704442178029843,2,0.1903131336547582,0.05132943075799634,0.8582826852798462,0.24560463428497314,0.7554098963737488,COMPLETE
22,0.2611751854419708,Leaky,Tanh,,81,103,5,7.0,,0.09762958466728901,2,0.17051518754825387,0.04935189045524386,1.624187707901001,0.2611751854419708,0.734924852848053,COMPLETE
23,0.2486250251531601,Leaky,Tanh,,46,158,10,17.0,,0.007461779543552069,2,0.2257818652612697,0.018177518278984006,0.8905958533287048,0.2486250251531601,0.7565016746520996,COMPLETE
24,0.2535264790058136,Leaky,ReLU,,65,234,12,12.0,,0.022127901197782057,2,0.13431976343708427,0.009747345902315895,0.7266478538513184,0.2535264790058136,0.7483724355697632,COMPLETE
25,0.2915521264076233,Leaky,ReLU,ReLU,30,451,7,3.0,5.0,0.0038178947165597482,3,0.18367931743198482,0.09493996612704349,0.8940597176551819,0.2915521264076233,0.7118702530860901,COMPLETE
26,0.25213170051574707,Leaky,Tanh,,46,369,16,13.0,,0.00677462730637032,2,0.2329617677277517,0.03295084309267898,0.7687268257141113,0.25213170051574707,0.7577189803123474,COMPLETE
27,0.25511980056762695,Sigmoid,ReLU,Tanh,56,156,4,9.0,19.0,0.018569567192432676,3,0.14648419566418167,0.015219620722988766,1.664939284324646,0.25511980056762695,0.7420856952667236,COMPLETE
28,0.27274054288864136,Tanh,Leaky,,100,72,9,16.0,,0.002280475874368708,2,0.17453141112060372,0.055093715777178295,1.3145344257354736,0.27274054288864136,0.7269109487533569,COMPLETE
29,0.2657545208930969,Leaky,Sigmoid,Leaky,82,262,3,19.0,9.0,0.0006292485491806789,3,0.20347041665770205,0.02231468518627465,0.8985664248466492,0.2657545208930969,0.7399479150772095,COMPLETE
30,0.26463863253593445,Leaky,Tanh,,68,195,7,8.0,,0.005129307155064208,2,0.25750664730849115,0.005934648266995099,1.6456637382507324,0.26463863253593445,0.7509788274765015,COMPLETE
31,0.2618437707424164,Leaky,Tanh,,60,104,12,11.0,,0.021670865832506183,2,0.20364286375620375,0.04751362983821055,0.7379804849624634,0.2618437707424164,0.7437747120857239,COMPLETE
32,0.26000210642814636,Leaky,Tanh,,53,118,10,12.0,,0.044795036131788035,2,0.18231462802555987,0.053291541030202144,0.6971661448478699,0.26000210642814636,0.7423499822616577,COMPLETE
33,0.2609958052635193,Leaky,Tanh,,70,149,13,11.0,,0.007702465793311224,2,0.2336948603585611,0.02502664890811876,0.7758948802947998,0.2609958052635193,0.7494515776634216,COMPLETE
34,0.2634367346763611,Leaky,ReLU,,62,193,9,14.0,,0.002482017253795387,2,0.12499078044707447,0.01379042128710968,0.5781188011169434,0.2634367346763611,0.7440879344940186,COMPLETE
35,0.26036643981933594,ReLU,Tanh,,79,128,11,5.0,,0.018545348103561215,2,0.157823355986471,0.05801805649792305,0.8597375750541687,0.26036643981933594,0.7384858131408691,COMPLETE
36,0.3189621567726135,Sigmoid,Tanh,,59,82,8,8.0,,0.011889567257162694,2,0.29000095450434443,0.03319141501002092,1.2014579772949219,0.3189621567726135,0.7156906723976135,COMPLETE
37,0.28547006845474243,Tanh,ReLU,,39,305,6,10.0,,0.0017417001727797288,2,0.1930375070411979,0.09907896925335519,1.7681759595870972,0.28547006845474243,0.7154756784439087,COMPLETE
38,0.2590474784374237,Leaky,ReLU,,30,267,14,19.0,,0.005050842645570892,2,0.21538454342950078,0.004810351402597739,0.8516417741775513,0.2590474784374237,0.7491178512573242,COMPLETE
39,0.3004281222820282,ReLU,,,77,468,11,,,0.03418968459406709,1,0.10062917804764816,0.011046739624443079,0.727043628692627,0.3004281222820282,0.7142547369003296,COMPLETE
40,1.0617185831069946,Leaky,Sigmoid,Sigmoid,50,427,9,13.0,18.0,0.010480513574765087,3,0.12005784944723726,0.02502211697460691,1.0027141571044922,1.0617185831069946,-0.0054852962493896484,COMPLETE
41,0.26504233479499817,Leaky,Tanh,,66,175,10,17.0,,0.0034224897617448186,2,0.21975400332714215,0.020020917488605173,0.7935055494308472,0.26504233479499817,0.7441309094429016,COMPLETE
42,0.27716130018234253,Leaky,Tanh,,23,139,14,21.0,,0.00777471066556101,2,0.24352727614484637,0.06661368875467724,0.9763720631599426,0.27716130018234253,0.7411240339279175,COMPLETE
43,0.263960599899292,Leaky,Tanh,,48,214,10,15.0,,0.016430981154652188,2,0.22230258410535722,0.03577722140866561,1.026261329650879,0.263960599899292,0.738481879234314,COMPLETE
44,0.2591491639614105,Tanh,Tanh,,87,90,12,18.0,,0.007125071921828424,2,0.19583705293275433,0.016639039104956718,1.5525285005569458,0.2591491639614105,0.7434804439544678,COMPLETE
45,0.27248314023017883,Leaky,Leaky,,41,55,6,21.0,,0.02656083545435991,2,0.268473092193486,0.00770267713365949,2.7075319290161133,0.27248314023017883,0.7508214712142944,COMPLETE
46,0.24716661870479584,ReLU,,,58,161,24,,,0.013801549774021819,1,0.16592835788713034,0.0359482901524683,0.8423438668251038,0.24716661870479584,0.7498800754547119,COMPLETE
47,0.24484699964523315,ReLU,,,70,367,23,,,0.056917459795248114,1,0.16750527856706868,0.03754046473114224,1.6930902004241943,0.24484699964523315,0.748686671257019,COMPLETE
48,0.2670593559741974,ReLU,,,75,363,22,,,0.06394622212367945,1,0.18414564995186694,0.07597824122449563,0.8385069370269775,0.2670593559741974,0.7367795705795288,COMPLETE
49,0.24249698221683502,ReLU,,,70,392,17,,,0.05313239167340645,1,0.16247080951525592,0.04691903222559895,0.9013516902923584,0.24249698221683502,0.751837432384491,COMPLETE
50,0.254216730594635,ReLU,,,86,334,22,,,0.054790427062871135,1,0.14079525265405796,0.0772823629253894,0.7813102602958679,0.254216730594635,0.743093729019165,COMPLETE
51,0.2449674755334854,ReLU,,,68,382,18,,,0.030205671180331378,1,0.15931069025542482,0.040927155143612226,0.7814409136772156,0.2449674755334854,0.7548426985740662,COMPLETE
52,0.24942529201507568,ReLU,,,71,385,20,,,0.09503755963934378,1,0.16462096290844325,0.03337795708445163,0.7375733852386475,0.24942529201507568,0.7463377118110657,COMPLETE
53,0.24649043381214142,ReLU,,,67,416,18,,,0.03276918781666387,1,0.15417757602998133,0.04858968887991209,0.9864160418510437,0.24649043381214142,0.7540191411972046,COMPLETE
54,0.23864632844924927,ReLU,,,77,347,17,,,0.051592836724260245,1,0.14748211549557388,0.025882492466674387,1.2930411100387573,0.23864632844924927,0.7590839266777039,COMPLETE
55,0.2437785416841507,ReLU,,,77,376,17,,,0.04193392960629271,1,0.14809849528170851,0.011027821107836011,2.8366899490356445,0.2437785416841507,0.7546645402908325,COMPLETE
56,0.237853541970253,ReLU,,,94,343,16,,,0.053740787839294694,1,0.14400249858770658,0.011525389204872892,0.836938202381134,0.237853541970253,0.7582496404647827,COMPLETE
57,0.2562602460384369,ReLU,,,93,404,16,,,0.04827157565894678,1,0.1283109889366018,0.010954445417091663,0.5702692270278931,0.2562602460384369,0.7479056715965271,COMPLETE
58,0.2450617104768753,ReLU,,,90,350,17,,,0.07587139770209239,1,0.14319410779285363,0.007741237314240077,0.6866476535797119,0.2450617104768753,0.7504273056983948,COMPLETE
59,0.24200135469436646,ReLU,,,97,325,15,,,0.047421835176705084,1,0.1445767486292011,0.019707277835074033,0.8874295353889465,0.24200135469436646,0.7543273568153381,COMPLETE
60,0.2633403539657593,ReLU,,,100,322,15,,,0.07297754677145529,1,0.11903388716239988,0.019542401786755408,0.6286402344703674,0.2633403539657593,0.7501383423805237,COMPLETE
61,0.23982864618301392,ReLU,,,94,289,17,,,0.035157208635003344,1,0.1434593246277944,0.012792964009863433,0.7250249981880188,0.23982864618301392,0.755756676197052,COMPLETE
62,0.25037333369255066,ReLU,,,93,288,20,,,0.03803096125720172,1,0.13264356225499063,0.025621576495820825,0.6395270824432373,0.25037333369255066,0.7516732215881348,COMPLETE
63,0.24071060121059418,ReLU,,,98,305,15,,,0.030318056393375675,1,0.1453015294469541,0.015659951323495187,0.9902828335762024,0.24071060121059418,0.7564308643341064,COMPLETE
64,0.23704339563846588,ReLU,,,97,307,15,,,0.028346709537117067,1,0.14356604287530725,0.014385067487809086,0.7610745429992676,0.23704339563846588,0.7585932016372681,COMPLETE
65,0.29332414269447327,ReLU,,,84,305,19,,,0.029501917992564304,1,0.11236251912428302,0.006178688926749014,0.7126169204711914,0.29332414269447327,0.7263891696929932,COMPLETE
66,0.29479357600212097,Sigmoid,,,97,350,14,,,0.016281582799652985,1,0.13809030871464728,0.01290492524766188,1.1104485988616943,0.29479357600212097,0.7058788537979126,COMPLETE
67,0.30164846777915955,ReLU,,,90,250,16,,,0.02527663979318652,1,0.1318202249511258,0.00296816453969956,0.7910493016242981,0.30164846777915955,0.7055803537368774,COMPLETE
68,0.2370334267616272,ReLU,,,94,282,19,,,0.01891050391274917,1,0.14699322622429303,0.014690397519735408,1.4571539163589478,0.2370334267616272,0.7607121467590332,COMPLETE
69,0.23101672530174255,ReLU,,,92,349,19,,,0.019204245824922292,1,0.17558212557447178,0.008463204053349835,316.1882019042969,0.23101672530174255,0.7657044529914856,COMPLETE
70,0.26271161437034607,Tanh,Sigmoid,ReLU,86,478,19,1.0,9.0,0.014725424966509615,3,0.17582412425924143,0.009373487296735263,357.56475830078125,0.26271161437034607,0.7335597276687622,COMPLETE
71,0.25079503655433655,ReLU,,,94,278,21,,,0.020949169077751507,1,0.15480404329452493,0.013340183871124098,1.2376917600631714,0.25079503655433655,0.7507596611976624,COMPLETE
72,0.23845413327217102,ReLU,,,94,350,17,,,0.012662250315070489,1,0.1525930995331283,0.027246040765759604,1.2283278703689575,0.23845413327217102,0.7601331472396851,COMPLETE
73,0.24151094257831573,ReLU,,,91,346,20,,,0.009265645075080377,1,0.17633111092109757,0.02750555450403851,1.7367137670516968,0.24151094257831573,0.755497395992279,COMPLETE
74,0.2611134350299835,ReLU,,,88,434,18,,,0.011291088227958797,1,0.12536054579778294,0.020959322710753767,0.5878396034240723,0.2611134350299835,0.7403102517127991,COMPLETE
75,0.28409361839294434,Sigmoid,,,83,312,19,,,0.014627069887848083,1,0.15285128428661574,0.016999510075597676,1.4838664531707764,0.28409361839294434,0.7142232656478882,COMPLETE
76,0.25294187664985657,ReLU,,,80,403,13,,,0.018654498552097533,1,0.13521333819799863,0.009065958047293408,0.85257488489151,0.25294187664985657,0.7490316033363342,COMPLETE
77,0.252482533454895,ReLU,,,95,337,16,,,0.009717307172153935,1,0.20688315159325218,0.028077921383248373,0.7815671563148499,0.252482533454895,0.7553807497024536,COMPLETE
78,0.35450953245162964,ReLU,,,91,361,1,,,0.005269225883376672,1,0.18112140375863775,0.004095693380995047,0.9783209562301636,0.35450953245162964,0.6481494903564453,COMPLETE
79,0.2570725381374359,Tanh,ReLU,ReLU,100,416,21,24.0,19.0,0.025008622592374262,3,0.1669548740467025,0.006979102809669432,1.6718223094940186,0.2570725381374359,0.7353355884552002,COMPLETE
80,0.24913527071475983,ReLU,,,17,329,19,,,0.022130673196959248,1,0.1900264109434606,0.021421603311559703,0.6659138798713684,0.24913527071475983,0.755577027797699,COMPLETE
81,0.24086257815361023,ReLU,,,96,298,17,,,0.035142396825857014,1,0.148013983200878,0.013478461852743233,2.5595896244049072,0.24086257815361023,0.7575991153717041,COMPLETE
82,0.23940397799015045,ReLU,,,85,288,18,,,0.013779309355507032,1,0.13697711494730427,0.029218084334286187,0.685553252696991,0.23940397799015045,0.7601860165596008,COMPLETE
83,0.2552204132080078,ReLU,,,10,264,18,,,0.017445870459168435,1,0.15691712035081296,0.028580218358225017,1.0103082656860352,0.2552204132080078,0.7431464791297913,COMPLETE
84,0.24142161011695862,ReLU,,,86,316,16,,,0.01401979241855534,1,0.13653021048640407,0.017157941073243883,0.6778192520141602,0.24142161011695862,0.7581648826599121,COMPLETE
85,0.2594349682331085,ReLU,,,84,253,15,,,0.011400879094315563,1,0.1718112294259512,0.06313772567849549,1.145853877067566,0.2594349682331085,0.7376797199249268,COMPLETE
86,0.3211416006088257,Sigmoid,,,92,449,21,,,0.007635034864686207,1,0.12691564412113526,0.023295790951189055,0.6320142149925232,0.3211416006088257,0.6819409132003784,COMPLETE
87,0.24227960407733917,ReLU,ReLU,Sigmoid,88,357,18,3.0,10.0,0.004252679557706388,3,0.16077511972818925,0.03153366090848182,1.9285986423492432,0.24227960407733917,0.7511522173881531,COMPLETE
88,0.25443875789642334,ReLU,,,98,343,3,,,0.019829429315430608,1,0.15070155429559662,0.038626269087644986,1.6209561824798584,0.25443875789642334,0.7427007555961609,COMPLETE
89,0.27170702815055847,ReLU,,,78,297,14,,,0.00581340114381211,1,0.11477813405041974,0.015245041947403823,0.6267451047897339,0.27170702815055847,0.7435688376426697,COMPLETE
90,0.24623551964759827,Leaky,,,81,377,17,,,0.008976673986183242,1,0.13965272825126987,0.009889198933728112,0.7550687193870544,0.24623551964759827,0.7500538229942322,COMPLETE
91,0.24216464161872864,ReLU,,,94,270,17,,,0.03962404629914294,1,0.14187064733079782,0.013282507289219177,0.7527579665184021,0.24216464161872864,0.7569676041603088,COMPLETE
92,0.2650480568408966,ReLU,,,89,287,19,,,0.028617693941846684,1,0.13006393448077153,0.007940900809273897,0.6839673519134521,0.2650480568408966,0.740432858467102,COMPLETE
93,0.26863375306129456,ReLU,,,95,282,18,,,0.01295337838292309,1,0.12102465956389266,0.023164108341280302,0.6694788336753845,0.26863375306129456,0.7467647194862366,COMPLETE
94,0.24011152982711792,ReLU,,,92,225,17,,,0.04539183937776232,1,0.15149223159473937,0.010786083522683537,1.445481300354004,0.24011152982711792,0.7583433985710144,COMPLETE
95,0.2440544068813324,ReLU,,,84,316,15,,,0.06213954495792014,1,0.16409303893015442,0.01890451441492715,0.8264548182487488,0.2440544068813324,0.7517998218536377,COMPLETE
96,0.24621400237083435,ReLU,,,74,247,16,,,0.024408184729381315,1,0.17143296564027258,0.04448354943923753,1.1970245838165283,0.24621400237083435,0.7510477304458618,COMPLETE
97,0.23805470764636993,Leaky,,,99,332,20,,,0.03668500934362024,1,0.18361781559797744,0.012565979748316917,0.7861818075180054,0.23805470764636993,0.7647396922111511,COMPLETE
98,0.24195343255996704,Leaky,Leaky,Leaky,99,333,20,22.0,24.0,0.018911298295097145,3,0.1846645110109225,0.032854935846463956,0.7229818105697632,0.24195343255996704,0.7625530958175659,COMPLETE
