number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,1.6194300651550293,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.017086386680603,1.6194300651550293,-0.13734464347362518,COMPLETE
1,4.253444671630859,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.1799801588058472,4.253444671630859,-0.38903307914733887,COMPLETE
2,4.215170383453369,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,2.2243170738220215,4.215170383453369,-0.8211639523506165,COMPLETE
3,1.4349285364151,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,1.4159228801727295,1.4349285364151,0.2996978461742401,COMPLETE
4,4.002477645874023,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,1.5167416334152222,4.002477645874023,-0.6598145961761475,COMPLETE
5,0.8054075241088867,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.09050714969635,0.8054075241088867,0.43464747071266174,COMPLETE
6,5.823471546173096,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,12.894933700561523,5.823471546173096,-2.7736823558807373,COMPLETE
7,1.6993447542190552,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,3.4663374423980713,1.6993447542190552,-0.920743465423584,COMPLETE
8,4.194656848907471,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,1.0926071405410767,4.194656848907471,-0.3088005781173706,COMPLETE
9,1.22124445438385,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,1.3200052976608276,1.22124445438385,0.315400093793869,COMPLETE
10,0.9397992491722107,Tanh,Leaky,Sigmoid,36,129,15,1.0,22.0,0.04272274816226783,3,0.7508950765561601,0.08620070809626805,1.7428231239318848,0.9397992491722107,-0.22590582072734833,COMPLETE
11,0.7671967148780823,Tanh,Leaky,Sigmoid,37,98,16,1.0,24.0,0.09876522321735802,3,0.7885748657512254,0.09199931494262746,1.1219784021377563,0.7671967148780823,-0.14600344002246857,COMPLETE
12,0.7456883788108826,Tanh,Tanh,Sigmoid,37,211,18,12.0,1.0,0.09107368576186006,3,0.7848935223127244,0.09185611746766513,1.0678406953811646,0.7456883788108826,-0.174660325050354,COMPLETE
13,0.34141382575035095,Tanh,Tanh,Sigmoid,46,55,18,13.0,3.0,0.08818079422676404,3,0.7849039231634601,0.012907627214036972,1.4140573740005493,0.34141382575035095,0.42412281036376953,COMPLETE
14,0.5447180867195129,Sigmoid,Tanh,Tanh,68,190,19,14.0,1.0,0.08110840524533412,3,0.7717098233111814,0.011072448678802882,1.2965742349624634,0.5447180867195129,0.11300027370452881,COMPLETE
15,1.2305811643600464,Sigmoid,Tanh,Tanh,74,147,19,14.0,1.0,0.020372911633667883,3,0.6152611232054191,0.01276063388941415,2.1841492652893066,1.2305811643600464,-0.23298074305057526,COMPLETE
16,1.337203025817871,Sigmoid,Tanh,ReLU,71,55,24,13.0,7.0,0.006500824574470008,3,0.4075478201036114,0.004378671228760721,1.5696909427642822,1.337203025817871,0.11145297437906265,COMPLETE
17,0.901874840259552,Sigmoid,Tanh,Leaky,49,166,12,16.0,9.0,0.03177647648546607,3,0.6573394477161048,0.014116768452926856,1.9163368940353394,0.901874840259552,0.25203636288642883,COMPLETE
18,1.2826305627822876,Sigmoid,Tanh,,48,230,17,10.0,,0.0050133662588252815,2,0.3385188633006234,0.0011448462434608484,1.3764501810073853,1.2826305627822876,0.10819125175476074,COMPLETE
19,1.0891016721725464,Leaky,ReLU,Tanh,79,111,21,18.0,5.0,0.03925991807647745,3,0.6010323720025232,0.0023064998620477024,3.6096560955047607,1.0891016721725464,-0.2986794710159302,COMPLETE
20,1.379857063293457,Sigmoid,Tanh,,62,493,13,9.0,,0.09645109904545841,2,0.5138972415308083,0.007013553715467943,8.343764305114746,1.379857063293457,-0.2902372181415558,COMPLETE
21,0.5388441681861877,Tanh,Tanh,Sigmoid,45,229,18,10.0,1.0,0.09720358019149415,3,0.7817541740539848,0.023100890473357373,1.6180415153503418,0.5388441681861877,0.11863831430673599,COMPLETE
22,0.7558733224868774,Tanh,Tanh,Sigmoid,47,235,18,7.0,1.0,0.019679139615664736,3,0.6550341503205233,0.02274130676082886,1.1295961141586304,0.7558733224868774,0.20329730212688446,COMPLETE
