number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,-0.58062744140625,Leaky,ReLU,,96,218,2,21.0,,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.9104321002960205,1.373961329460144,-0.58062744140625,COMPLETE
1,-0.34092605113983154,Sigmoid,,,57,187,8,,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,971.8255004882812,1.9985519647598267,-0.34092605113983154,COMPLETE
2,-0.013346672058105469,ReLU,Sigmoid,,63,281,23,24.0,,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,1.1250797510147095,1.0693697929382324,-0.013346672058105469,COMPLETE
3,0.2982390522956848,ReLU,,,33,460,5,,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,2.2895143032073975,0.6172415018081665,0.2982390522956848,COMPLETE
4,-0.07892870903015137,Tanh,,,93,319,10,,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,2.224672794342041,1.1273226737976074,-0.07892870903015137,COMPLETE
5,0.2876049280166626,Tanh,,,22,294,5,,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,3.39219069480896,0.638523280620575,0.2876049280166626,COMPLETE
6,-0.3259927034378052,Leaky,,,16,397,8,,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,5.728015899658203,1.9708970785140991,-0.3259927034378052,COMPLETE
7,0.10890549421310425,ReLU,,,90,337,14,,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,2.2907633781433105,1.1529884338378906,0.10890549421310425,COMPLETE
8,-0.24848544597625732,Tanh,Sigmoid,,19,61,22,6.0,,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,1.0469788312911987,1.3175082206726074,-0.24848544597625732,COMPLETE
9,0.24343913793563843,ReLU,,,89,335,20,,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,1.4932187795639038,0.6781092882156372,0.24343913793563843,COMPLETE
