number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
0,7.939338684082031e-05,Leaky,ReLU,96,218,2,21.0,4.207053950287933e-05,2,0.4582013868952863,4.207988669606632e-05,1.3452481031417847,1.0136899948120117,7.939338684082031e-05,COMPLETE
1,0.030893981456756592,Sigmoid,,57,187,8,,3.613894271216525e-05,1,0.2455190648560464,0.0028016351587162596,1.1994309425354004,0.9368904829025269,0.030893981456756592,COMPLETE
2,0.018040478229522705,ReLU,Sigmoid,63,281,23,24.0,1.8205657658407255e-05,2,0.1101409714381911,4.809461967501571e-05,1.5037338733673096,1.05111563205719,0.018040478229522705,COMPLETE
3,0.6878446340560913,ReLU,,33,460,5,,0.0015375920235481753,1,0.3965676111103478,0.0012030178871154666,7.845063209533691,0.32038095593452454,0.6878446340560913,COMPLETE
4,0.40347063541412354,Tanh,,93,319,10,,0.0002001342062287998,1,0.12020338353108916,1.5167330688076188e-05,4.865771770477295,0.6480130553245544,0.40347063541412354,COMPLETE
5,0.4959118962287903,Tanh,,22,294,5,,0.012273800987852962,1,0.5302199457161924,0.08862326508576249,1.757326602935791,0.5356468558311462,0.4959118962287903,COMPLETE
6,0.6554696559906006,Leaky,,16,397,8,,0.0031130959561221226,1,0.210730214941013,0.028340904295147733,1.0657496452331543,0.32869207859039307,0.6554696559906006,COMPLETE
7,0.685042679309845,ReLU,,90,337,14,,0.011044350847124691,1,0.2669639199434048,0.007128188058401363,1.5763211250305176,0.2978121042251587,0.685042679309845,COMPLETE
8,0.4178491234779358,Tanh,Sigmoid,19,61,22,6.0,0.0010821382910613986,2,0.10675380978520228,0.00018089390092767128,1.4716261625289917,0.6368979811668396,0.4178491234779358,COMPLETE
9,0.6971479654312134,ReLU,,89,335,20,,0.0014367095138664223,1,0.5318488266777274,0.03717371747825049,2.0268540382385254,0.3229976296424866,0.6971479654312134,COMPLETE
10,0.5721120834350586,Sigmoid,Tanh,74,482,18,1.0,0.04272274816226783,2,0.7508950765561601,0.013271399548022011,1.6872048377990723,0.46296635270118713,0.5721120834350586,COMPLETE
11,0.7326377630233765,ReLU,,38,492,15,,0.000568311943180469,1,0.4368497411846188,0.0008464188343830294,7.237931251525879,0.2749388515949249,0.7326377630233765,COMPLETE
12,0.7619592547416687,ReLU,,45,414,16,,0.0002591698953182591,1,0.7489593210102342,0.0005007085659598709,1.3971036672592163,0.2574070394039154,0.7619592547416687,COMPLETE
13,0.7445598840713501,ReLU,,41,420,15,,0.0002976994548491157,1,0.7831263381164687,0.00042799168123060325,3.4480795860290527,0.27145126461982727,0.7445598840713501,COMPLETE
14,0.7329370975494385,ReLU,,40,408,17,,0.00020070625990949176,1,0.7785306402710916,0.0007054382978969138,1.658706784248352,0.28466159105300903,0.7329370975494385,COMPLETE
15,0.6514427661895752,ReLU,,48,396,12,,0.00017074416277789532,1,0.6708777813106886,0.0001228536930603604,18.915063858032227,0.3867036998271942,0.6514427661895752,COMPLETE
16,0.6203372478485107,ReLU,,68,435,17,,0.00010629985764720589,1,0.7978379369974865,0.00026207861842107385,1.4717330932617188,0.40444090962409973,0.6203372478485107,COMPLETE
17,0.07244795560836792,Leaky,Leaky,48,370,12,13.0,1.2263329048036383e-05,2,0.6289767257540143,0.0030240963997002815,1.173229694366455,0.9929617643356323,0.07244795560836792,COMPLETE
18,0.44983482360839844,Sigmoid,,30,221,20,,0.0004509736330183977,1,0.3296804647544573,0.0005074422971111236,4.454573631286621,0.5329984426498413,0.44983482360839844,COMPLETE
19,0.43381738662719727,ReLU,,77,131,15,,6.903252404763172e-05,1,0.5943702909509897,0.00035492416843803365,2.3202505111694336,0.5898844003677368,0.43381738662719727,COMPLETE
20,0.7704938054084778,ReLU,Leaky,48,437,20,14.0,0.00034991973875160586,2,0.6083092859240389,0.0012740496391304024,0.761616587638855,0.24398665130138397,0.7704938054084778,COMPLETE
21,0.7866188883781433,ReLU,Leaky,47,435,19,15.0,0.00041130741801114585,2,0.6544697534783044,0.001452860714829022,1.5841690301895142,0.2343149483203888,0.7866188883781433,COMPLETE
22,0.7742434740066528,ReLU,Leaky,51,447,24,15.0,0.0004647042864394535,2,0.6006923097608781,0.001976212276824135,0.8128318786621094,0.23804736137390137,0.7742434740066528,COMPLETE
23,0.7724913358688354,ReLU,Leaky,55,466,24,15.0,0.0005912047173457896,2,0.5427366643650917,0.0015082144864881559,0.9287316799163818,0.24223080277442932,0.7724913358688354,COMPLETE
24,0.7738167643547058,ReLU,Leaky,58,468,24,16.0,0.0006913464545192962,2,0.5091180343779442,0.002272395731514873,0.8835205435752869,0.24162697792053223,0.7738167643547058,COMPLETE
25,0.7781991362571716,ReLU,Leaky,62,368,22,19.0,0.0023239474665856267,2,0.4781392851102949,0.005210082757225219,0.7911084890365601,0.23127426207065582,0.7781991362571716,COMPLETE
26,0.760900616645813,Tanh,Leaky,79,363,21,19.0,0.002419202142371112,2,0.39261619204277276,0.00541475889180741,5.032206058502197,0.24299409985542297,0.760900616645813,COMPLETE
27,0.7587752938270569,Sigmoid,Leaky,65,372,19,9.0,0.0038740107212898787,2,0.6814628088927122,0.004876860710985589,1.0204602479934692,0.2727092504501343,0.7587752938270569,COMPLETE
28,0.7801746129989624,Leaky,Leaky,28,499,22,19.0,0.0008434390017668274,2,0.6154748816100072,0.008634935017591399,1.659305453300476,0.23787246644496918,0.7801746129989624,COMPLETE
29,0.7690172791481018,Leaky,ReLU,26,496,22,19.0,0.0008597465864434572,2,0.483586309024599,0.010469751348056777,0.8000558018684387,0.23935867846012115,0.7690172791481018,COMPLETE
30,0.7669802904129028,Leaky,Tanh,12,251,22,19.0,0.0019661428440974037,2,0.44821462992730726,0.003931814870736783,1.2261073589324951,0.24126841127872467,0.7669802904129028,COMPLETE
31,0.7866083383560181,Leaky,Leaky,54,445,23,17.0,0.0008788374620507056,2,0.5882562595748912,0.002073845743608134,0.7022900581359863,0.2233555018901825,0.7866083383560181,COMPLETE
32,0.7904437184333801,Leaky,Leaky,59,500,19,18.0,0.000975394896312522,2,0.6785943613593641,0.007854322638974722,0.7982466220855713,0.23494014143943787,0.7904437184333801,COMPLETE
