number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.613554060459137,2023-09-05 14:14:09.853251,2023-09-05 14:14:10.632533,0 days 00:00:00.779282,Sigmoid,Tanh,Leaky,Sigmoid,37,10,18.0,6.0,7.0,0.014364540628950847,4,321,0.19433503235510213,0.002498155431770606,194.3862888502038,COMPLETE
1,0.7845820784568787,2023-09-05 14:14:10.632866,2023-09-05 14:14:11.073862,0 days 00:00:00.440996,Tanh,Leaky,Sigmoid,,78,21,9.0,13.0,,0.00010230006531408318,3,119,0.1078050064264902,7.007860420991934e-05,118.69825725395138,COMPLETE
2,0.3965592384338379,2023-09-05 14:14:11.074162,2023-09-05 14:14:11.904061,0 days 00:00:00.829899,Leaky,ReLU,,,30,19,7.0,,,0.003501521035515045,2,121,0.23262327972404323,0.003790621186767353,276.3780479984007,COMPLETE
3,0.39833852648735046,2023-09-05 14:14:11.904329,2023-09-05 14:14:21.738536,0 days 00:00:09.834207,Leaky,Leaky,Tanh,,51,24,21.0,12.0,,7.273430883195843e-05,3,390,0.5715978788292734,2.21504406927635e-05,137.33725600426558,COMPLETE
4,0.5346022248268127,2023-09-05 14:14:21.738821,2023-09-05 14:14:25.271640,0 days 00:00:03.532819,Leaky,,,,56,8,,,,0.00016305212512102282,1,142,0.593742665546871,0.03737167389731607,699.907352931063,COMPLETE
5,0.5615161657333374,2023-09-05 14:14:25.271892,2023-09-05 14:14:25.669461,0 days 00:00:00.397569,Leaky,Sigmoid,Leaky,Sigmoid,98,2,15.0,1.0,6.0,0.001954936444366264,4,129,0.32981384309906925,8.958187802177074e-05,134.07443367562644,COMPLETE
6,0.3170677721500397,2023-09-05 14:14:25.669737,2023-09-05 14:14:29.616186,0 days 00:00:03.946449,ReLU,Leaky,,,64,7,14.0,,,0.00042481717037189305,2,430,0.6894334804418834,0.003183681850675377,134.51941960974585,COMPLETE
7,0.6193010807037354,2023-09-05 14:14:29.616458,2023-09-05 14:14:44.966779,0 days 00:00:15.350321,Sigmoid,,,,22,20,,,,1.383508245228781e-05,1,494,0.5809953850178233,1.3538439943867737e-05,128.61282944775786,COMPLETE
8,0.4364404082298279,2023-09-05 14:14:44.967032,2023-09-05 14:14:48.171252,0 days 00:00:03.204220,Sigmoid,Leaky,Tanh,ReLU,62,5,7.0,19.0,19.0,0.001983985638013345,4,303,0.526450421196404,1.7759493144875844e-05,187.4662110299775,COMPLETE
9,0.9559191465377808,2023-09-05 14:14:48.171528,2023-09-05 14:14:54.527224,0 days 00:00:06.355696,Sigmoid,Sigmoid,ReLU,Leaky,49,10,1.0,10.0,10.0,2.3355815028013055e-05,4,316,0.33067682062956866,0.00029601725684108956,99.85753636420527,COMPLETE
10,0.5909600853919983,2023-09-05 14:14:54.527504,2023-09-05 14:14:54.925613,0 days 00:00:00.398109,ReLU,ReLU,,,80,14,23.0,,,0.04242452806180379,2,457,0.7261119418861403,0.08639098421056504,171.94100494384764,COMPLETE
11,0.37015536427497864,2023-09-05 14:14:54.925865,2023-09-05 14:14:57.421272,0 days 00:00:02.495407,ReLU,ReLU,,,20,14,11.0,,,0.000665874097566295,2,214,0.22636889433294335,0.002986058439871393,113.86129264564781,COMPLETE
12,0.36515650153160095,2023-09-05 14:14:57.421529,2023-09-05 14:15:08.191818,0 days 00:00:10.770289,ReLU,ReLU,,,17,15,13.0,,,0.0004155791349023447,2,213,0.7952623392420595,0.006979928672472895,118.2220596405397,COMPLETE
13,0.33673983812332153,2023-09-05 14:15:08.192083,2023-09-05 14:15:19.463634,0 days 00:00:11.271551,ReLU,Tanh,,,11,16,15.0,,,0.00035364186635847424,2,212,0.7900735182371059,0.010148719430437967,109.36864634393488,COMPLETE
14,0.5911859273910522,2023-09-05 14:15:19.463880,2023-09-05 14:15:23.082693,0 days 00:00:03.618813,ReLU,,,,74,1,,,,0.0003667074924252459,1,379,0.43638394894613586,0.017003810795462215,266.2418022457717,COMPLETE
15,0.3879270553588867,2023-09-05 14:15:23.082938,2023-09-05 14:15:26.276018,0 days 00:00:03.193080,ReLU,Tanh,Sigmoid,,38,6,17.0,22.0,,0.0009294749894102126,3,228,0.7422664346199263,0.0005357998592668518,134.8032730647496,COMPLETE
16,0.46812885999679565,2023-09-05 14:15:26.276290,2023-09-05 14:15:31.148244,0 days 00:00:04.871954,Tanh,Tanh,,,11,16,19.0,,,0.00021323364540674986,2,66,0.4045731976092126,0.011326252392943827,134.7587312640566,COMPLETE
17,0.39517033100128174,2023-09-05 14:15:31.148506,2023-09-05 14:15:42.817485,0 days 00:00:11.668979,ReLU,Tanh,ReLU,,67,11,14.0,24.0,,5.8345662875445463e-05,3,379,0.794652258937284,0.0011980548170336198,141.4104866692133,COMPLETE
18,0.4317808747291565,2023-09-05 14:15:42.817767,2023-09-05 14:15:43.213155,0 days 00:00:00.395388,ReLU,,,,89,17,,,,0.007045219954096982,1,252,0.46555833200049423,0.01987099842780076,143.63165225982667,COMPLETE
19,0.42113596200942993,2023-09-05 14:15:43.213393,2023-09-05 14:15:48.070033,0 days 00:00:04.856640,ReLU,Leaky,,,40,4,3.0,,,0.0008908832919864274,2,185,0.6566492317695308,0.0012802718090818505,205.75487349226668,COMPLETE
