number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.8053246736526489,2023-09-05 14:14:03.551346,2023-09-05 14:14:03.980182,0 days 00:00:00.428836,Sigmoid,ReLU,,,51,10,3.0,,,0.03488815432673242,2,329,0.25362536475675557,1.0966678391376333e-05,236.50049856434697,COMPLETE
1,0.3114112317562103,2023-09-05 14:14:03.980673,2023-09-05 14:14:06.751089,0 days 00:00:02.770416,Tanh,Leaky,Tanh,,22,21,16.0,11.0,,0.00142489721913727,3,267,0.3508696692662351,0.0015031504357384462,113.80513993129935,COMPLETE
2,0.8007498383522034,2023-09-05 14:14:06.751552,2023-09-05 14:14:06.967802,0 days 00:00:00.216250,Leaky,Tanh,,,71,13,1.0,,,0.008327227060509519,2,456,0.12378237620745598,0.08697128278228569,121.74528988924894,COMPLETE
3,0.6004166007041931,2023-09-05 14:14:06.968074,2023-09-05 14:14:07.835185,0 days 00:00:00.867111,Tanh,Leaky,ReLU,,44,13,10.0,18.0,,0.00108943440005985,3,97,0.4623743662397868,0.034462775999286495,144.0643606185913,COMPLETE
4,0.29075682163238525,2023-09-05 14:14:07.835466,2023-09-05 14:14:14.183858,0 days 00:00:06.348392,ReLU,Leaky,Tanh,ReLU,59,15,15.0,13.0,9.0,0.0003520801947786674,4,471,0.7440419529934356,5.288255658851351e-05,131.50813617241093,COMPLETE
5,0.43477004766464233,2023-09-05 14:14:14.184142,2023-09-05 14:14:14.448421,0 days 00:00:00.264279,Tanh,,,,80,23,,,,0.036151141158027075,1,177,0.2805348388026533,0.01064553673294286,117.38902896788062,COMPLETE
6,0.44659826159477234,2023-09-05 14:14:14.448678,2023-09-05 14:14:15.098211,0 days 00:00:00.649533,Leaky,,,,34,11,,,,0.005406927664539285,1,492,0.346236867283227,0.022916420614698348,256.1723223876953,COMPLETE
7,0.7232748866081238,2023-09-05 14:14:15.098483,2023-09-05 14:14:15.747125,0 days 00:00:00.648642,ReLU,ReLU,Leaky,Tanh,40,22,20.0,1.0,11.0,0.008874066643686814,4,158,0.4353454214239561,0.009279109523335665,199.34879126915564,COMPLETE
8,0.5865858197212219,2023-09-05 14:14:15.747406,2023-09-05 14:14:21.872972,0 days 00:00:06.125566,Tanh,,,,98,9,,,,1.2480396628048932e-05,1,409,0.7850852075625036,4.978387882768069e-05,162.40114117834563,COMPLETE
9,0.7361353635787964,2023-09-05 14:14:21.873225,2023-09-05 14:14:22.361064,0 days 00:00:00.487839,Tanh,Tanh,Tanh,Tanh,44,12,1.0,3.0,22.0,0.0005976193146840259,4,176,0.14780898852216537,0.017067369777542637,135.4198902130127,COMPLETE
