number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.6551352739334106,2023-09-05 14:37:25.827899,2023-09-05 14:37:28.400245,0 days 00:00:02.572346,Leaky,ReLU,Leaky,ReLU,,23,13,15.0,1.0,9.0,,0.000262566693859554,4,451,0.2007855485159111,0.00032151440599676633,238.01295280033628,COMPLETE
1,0.5296095609664917,2023-09-05 14:37:28.400568,2023-09-05 14:37:28.630842,0 days 00:00:00.230274,Tanh,ReLU,,,,40,9,12.0,,,,0.0009654115597279714,2,156,0.1016343306619146,3.8343504714581844e-05,985.1777850420048,COMPLETE
2,1.1079720258712769,2023-09-05 14:37:28.631105,2023-09-05 14:37:28.722072,0 days 00:00:00.090967,Sigmoid,Tanh,Sigmoid,Leaky,Leaky,25,18,5.0,4.0,1.0,15.0,0.04172094152505528,5,86,0.10088223748464319,0.0027466500814696823,102.97972134181431,COMPLETE
3,0.6758471131324768,2023-09-05 14:37:28.722355,2023-09-05 14:37:28.898337,0 days 00:00:00.175982,Leaky,ReLU,Sigmoid,,,46,6,1.0,1.0,,,0.027632808948188762,3,425,0.1903301863784751,0.0016023997085799306,145.33918537813074,COMPLETE
4,0.3494214415550232,2023-09-05 14:37:28.898607,2023-09-05 14:37:29.556948,0 days 00:00:00.658341,ReLU,Sigmoid,Tanh,Leaky,,99,9,14.0,6.0,16.0,,0.0032692465312797224,4,405,0.5255032348350039,3.1075651439074264e-05,231.97590718370802,COMPLETE
5,0.9361006617546082,2023-09-05 14:37:29.557237,2023-09-05 14:37:32.386899,0 days 00:00:02.829662,Tanh,Tanh,Leaky,Tanh,,75,18,10.0,2.0,2.0,,2.6013945723436788e-05,4,495,0.5609235135427089,0.0001622082163101667,291.5454229181463,COMPLETE
6,0.8693442940711975,2023-09-05 14:37:32.387184,2023-09-05 14:37:33.725075,0 days 00:00:01.337891,Leaky,ReLU,Leaky,Tanh,Tanh,22,1,7.0,11.0,23.0,15.0,5.037929974833584e-05,5,334,0.11693339998639989,7.098633064415729e-05,140.90370022893666,COMPLETE
7,0.641867458820343,2023-09-05 14:37:33.725387,2023-09-05 14:37:34.059821,0 days 00:00:00.334434,Sigmoid,Leaky,,,,65,7,14.0,,,,0.0008742024276714653,2,269,0.11122819457414099,4.555929435223741e-05,269.6474955959391,COMPLETE
8,0.44260209798812866,2023-09-05 14:37:34.060086,2023-09-05 14:37:34.366968,0 days 00:00:00.306882,ReLU,,,,,65,23,,,,,0.002054809330491121,1,358,0.30309115556546484,0.00030740004713854425,335.61877888844424,COMPLETE
9,1.067845106124878,2023-09-05 14:37:34.367206,2023-09-05 14:37:34.703825,0 days 00:00:00.336619,Leaky,Sigmoid,Leaky,ReLU,,64,10,22.0,11.0,2.0,,4.90622310046505e-05,4,156,0.15786747244680835,0.0015994823888793618,241.1148798037798,COMPLETE
