number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.5147146582603455,2023-09-05 16:01:26.212308,2023-09-05 16:01:27.162657,0 days 00:00:00.950349,Leaky,ReLU,Tanh,Sigmoid,,51,12,23.0,20.0,16.0,,0.00021909259885164297,4,453,0.1089497281144461,0.0005154079961909193,112.31239793790097,COMPLETE
1,0.5747161507606506,2023-09-05 16:01:27.162981,2023-09-05 16:01:27.863056,0 days 00:00:00.700075,Sigmoid,Tanh,,,,91,5,7.0,,,,0.0006488918712650294,2,278,0.4522046401617586,0.018962121808488216,142.9894349677711,COMPLETE
2,0.4092142879962921,2023-09-05 16:01:27.863327,2023-09-05 16:01:28.198356,0 days 00:00:00.335029,Tanh,ReLU,Sigmoid,,,24,8,8.0,7.0,,,0.03856500092261038,3,350,0.389513925907428,0.01129894607728633,198.73543802897134,COMPLETE
3,0.5462989807128906,2023-09-05 16:01:28.198619,2023-09-05 16:01:30.054201,0 days 00:00:01.855582,Leaky,,,,,65,13,,,,,3.517171856387957e-05,1,376,0.7078603792798951,0.0004757688303830316,163.5437260891529,COMPLETE
4,1.1667793989181519,2023-09-05 16:01:30.054461,2023-09-05 16:01:30.557620,0 days 00:00:00.503159,ReLU,ReLU,Leaky,Leaky,Sigmoid,57,19,11.0,21.0,15.0,4.0,3.9400846944447065e-05,5,269,0.11541543355909736,0.0001343074873208296,147.99931324104395,COMPLETE
5,0.7551330924034119,2023-09-05 16:01:30.557898,2023-09-05 16:01:32.132695,0 days 00:00:01.574797,Sigmoid,Sigmoid,,,,48,21,11.0,,,,4.62674816137523e-05,2,308,0.4741276551704015,7.234844219827139e-05,109.85327066693988,COMPLETE
6,1.0584557056427002,2023-09-05 16:01:32.132962,2023-09-05 16:01:33.003044,0 days 00:00:00.870082,Tanh,Sigmoid,ReLU,Tanh,Tanh,87,20,19.0,24.0,22.0,2.0,0.00010684353917855638,5,327,0.21182507435470646,5.757225125319869e-05,115.7576428801277,COMPLETE
7,0.30130165815353394,2023-09-05 16:01:33.003354,2023-09-05 16:01:33.475239,0 days 00:00:00.471885,Tanh,Sigmoid,Leaky,,,74,11,22.0,7.0,,,0.003315576605066242,3,413,0.24121687406182854,1.2754578240449736e-05,182.05964427414335,COMPLETE
8,0.5119004249572754,2023-09-05 16:01:33.475501,2023-09-05 16:01:33.824048,0 days 00:00:00.348547,Leaky,,,,,44,20,,,,,0.0012856896277680142,1,402,0.2118871217106623,0.07804579548496705,247.09733670775654,COMPLETE
9,0.663686990737915,2023-09-05 16:01:33.824275,2023-09-05 16:01:33.916862,0 days 00:00:00.092587,Leaky,Sigmoid,Leaky,Tanh,ReLU,88,16,17.0,22.0,17.0,10.0,0.09603921862708549,5,453,0.12762192421567808,0.0007090531831057704,284.8192621866862,COMPLETE
10,0.47712603211402893,2023-09-05 16:01:33.917130,2023-09-05 16:01:34.077808,0 days 00:00:00.160678,Tanh,Leaky,Leaky,,,75,1,24.0,1.0,,,0.00635720895638973,3,141,0.2902012966342635,1.817976605852587e-05,143.1140028146597,COMPLETE
11,0.4678956866264343,2023-09-05 16:01:34.078069,2023-09-05 16:01:34.616141,0 days 00:00:00.538072,Tanh,ReLU,Sigmoid,,,13,8,3.0,7.0,,,0.02318667915738813,3,186,0.3102281124970186,0.006669606223138241,152.48050859239368,COMPLETE
12,0.9482917785644531,2023-09-05 16:01:34.616396,2023-09-05 16:01:34.931956,0 days 00:00:00.315560,Tanh,Tanh,Sigmoid,ReLU,,23,9,1.0,10.0,1.0,,0.006845496252337256,4,483,0.39822594952380325,1.0944198067648412e-05,117.35737609863281,COMPLETE
13,0.39000222086906433,2023-09-05 16:01:34.932226,2023-09-05 16:01:35.026037,0 days 00:00:00.093811,Tanh,Leaky,,,,33,6,15.0,,,,0.06659026547864111,2,387,0.20385093126233195,0.0030991913659225343,302.33026357797473,COMPLETE
14,0.45630383491516113,2023-09-05 16:01:35.026290,2023-09-05 16:01:35.287866,0 days 00:00:00.261576,ReLU,Leaky,,,,35,3,17.0,,,,0.0036993971562043057,2,415,0.19335890440407474,0.0023406395250922312,216.42565005758533,COMPLETE
15,0.41543662548065186,2023-09-05 16:01:35.288119,2023-09-05 16:01:35.367340,0 days 00:00:00.079221,Tanh,Leaky,,,,72,24,20.0,,,,0.015271363841238408,2,226,0.1966263858020144,0.0031362940155936644,374.2567129952567,COMPLETE
16,0.7137238383293152,2023-09-05 16:01:35.367589,2023-09-05 16:01:35.485144,0 days 00:00:00.117555,Tanh,Sigmoid,ReLU,ReLU,,34,12,14.0,15.0,4.0,,0.08946292238089999,4,51,0.15500404668593654,0.00026505306923311876,291.6275914510091,COMPLETE
17,0.35945937037467957,2023-09-05 16:01:35.485404,2023-09-05 16:01:36.278860,0 days 00:00:00.793456,Tanh,Leaky,,,,100,5,14.0,,,,0.0031056897021089222,2,423,0.2473513277099086,0.0014808218935626987,237.5516142969154,COMPLETE
18,0.36256009340286255,2023-09-05 16:01:36.279112,2023-09-05 16:01:36.796469,0 days 00:00:00.517357,ReLU,,,,,100,16,,,,,0.001779484378108702,1,489,0.2666288718156246,0.0013022571728103043,1446.4679992092642,COMPLETE
19,0.9488143920898438,2023-09-05 16:01:36.796710,2023-09-05 16:01:37.471649,0 days 00:00:00.674939,Sigmoid,Sigmoid,Tanh,,,79,10,21.0,1.0,,,0.00045017187627761977,3,429,0.1538392932103012,2.924377436606738e-05,117.54475696270282,COMPLETE
20,0.36234182119369507,2023-09-05 16:01:37.471907,2023-09-05 16:01:37.841389,0 days 00:00:00.369482,Tanh,Leaky,Leaky,,,100,5,7.0,15.0,,,0.002248395599469456,3,500,0.24810218667833833,0.0001822540633828892,556.1506151210762,COMPLETE
21,0.4299885928630829,2023-09-05 16:01:37.841642,2023-09-05 16:01:38.111222,0 days 00:00:00.269580,Tanh,Leaky,Leaky,,,98,5,5.0,15.0,,,0.0026919201485389507,3,500,0.24481886725956628,0.00019336249882651008,189.91347726186117,COMPLETE
22,0.3613301217556,2023-09-05 16:01:38.111471,2023-09-05 16:01:38.886826,0 days 00:00:00.775355,Tanh,Leaky,Leaky,Leaky,,82,3,9.0,12.0,8.0,,0.001030767188683635,4,446,0.24415487935425834,3.695575436541369e-05,275.7708788391546,COMPLETE
