number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.8170504570007324,2023-09-04 20:56:48.624784,2023-09-04 20:56:50.705602,0 days 00:00:02.080818,Leaky,Tanh,,,41,18,2.0,,,2.6064593768539073e-05,2,243,0.22197885637049108,0.014439099364426099,150.13701497772593,COMPLETE
1,0.3992935121059418,2023-09-04 20:56:50.705900,2023-09-04 20:56:57.303673,0 days 00:00:06.597773,ReLU,Tanh,ReLU,,16,21,9.0,7.0,,5.6481159581935384e-05,3,402,0.2789246112436908,9.164617634419601e-05,136.1831543386279,COMPLETE
2,1.0098423957824707,2023-09-04 20:56:57.304021,2023-09-04 20:56:57.414167,0 days 00:00:00.110146,Sigmoid,Tanh,Leaky,Leaky,50,16,12.0,15.0,8.0,0.01784959326699032,4,98,0.184828072696691,0.09988471768733516,99.69578297932942,COMPLETE
3,0.5022374391555786,2023-09-04 20:56:57.414475,2023-09-04 20:56:57.516893,0 days 00:00:00.102418,Sigmoid,Tanh,Tanh,Leaky,93,19,18.0,24.0,19.0,0.09377186772952634,4,301,0.23681765240558975,0.0007028878357784096,124.54837131500244,COMPLETE
4,0.4208424389362335,2023-09-04 20:56:57.517197,2023-09-04 20:56:57.856205,0 days 00:00:00.339008,Leaky,Leaky,,,41,20,6.0,,,0.000667396722027415,2,179,0.21135209551072828,0.08067472382768796,108.0254515623435,COMPLETE
5,0.44428807497024536,2023-09-04 20:56:57.856491,2023-09-04 20:56:58.321187,0 days 00:00:00.464696,Tanh,,,,57,22,,,,0.0010905706151838695,1,269,0.17083569641730298,0.01682396975103714,223.93046129364328,COMPLETE
6,0.575778603553772,2023-09-04 20:56:58.321468,2023-09-04 20:56:58.960755,0 days 00:00:00.639287,Tanh,,,,77,24,,,,2.809513667496722e-05,1,284,0.18735655056974848,0.00013909425591020837,112.87976821039764,COMPLETE
7,0.3512120544910431,2023-09-04 20:56:58.961042,2023-09-04 20:56:59.197870,0 days 00:00:00.236828,ReLU,Leaky,Leaky,Sigmoid,58,20,13.0,1.0,13.0,0.054220957095312265,4,380,0.25089864247241106,2.9614205906471074e-05,129.85592131181195,COMPLETE
8,0.36317160725593567,2023-09-04 20:56:59.198196,2023-09-04 20:57:03.006757,0 days 00:00:03.808561,Tanh,,,,15,23,,,,0.00032260794449869836,1,284,0.4138055740897589,0.00019443141696592894,105.83177085661552,COMPLETE
9,0.36561867594718933,2023-09-04 20:57:03.007020,2023-09-04 20:57:04.182574,0 days 00:00:01.175554,Tanh,ReLU,,,80,15,19.0,,,0.00044059999969629516,2,224,0.4235607749415413,0.014408645214975601,130.452990259443,COMPLETE
