number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.8590281009674072,2023-09-04 22:31:41.100614,2023-09-04 22:31:41.820947,0 days 00:00:00.720333,Leaky,,,,77,12,,,,7.64479228178827e-05,1,200,0.22294527094501085,0.0011417075359439364,440.661552734375,COMPLETE
1,1.051882028579712,2023-09-04 22:31:41.821233,2023-09-04 22:31:42.466531,0 days 00:00:00.645298,Leaky,Leaky,Sigmoid,Sigmoid,90,24,24.0,5.0,4.0,3.96959841309802e-05,4,263,0.15282974709285504,1.640171838378842e-05,127.18138885498047,COMPLETE
2,1.02745521068573,2023-09-04 22:31:42.466845,2023-09-04 22:31:42.586839,0 days 00:00:00.119994,ReLU,Sigmoid,Tanh,Sigmoid,82,1,23.0,4.0,16.0,0.03981123364652066,4,326,0.30070181380932415,0.02831013771613301,113.20393188476562,COMPLETE
3,0.5615893602371216,2023-09-04 22:31:42.587124,2023-09-04 22:31:50.707438,0 days 00:00:08.120314,Tanh,Tanh,ReLU,Sigmoid,37,2,11.0,23.0,10.0,0.0001754896677689562,4,457,0.5601326974726057,0.00012842992425647935,148.54239106960839,COMPLETE
4,0.772936224937439,2023-09-04 22:31:50.707761,2023-09-04 22:31:56.346602,0 days 00:00:05.638841,Tanh,ReLU,Sigmoid,,74,17,12.0,8.0,,2.910253770044646e-05,3,330,0.714901648487741,0.005753903037194511,119.03854395548503,COMPLETE
5,1.105465292930603,2023-09-04 22:31:56.346911,2023-09-04 22:31:56.511708,0 days 00:00:00.164797,ReLU,Sigmoid,ReLU,,53,19,8.0,4.0,,0.0002535457680286274,3,70,0.1086364900869543,8.53254442760908e-05,266.8363327026367,COMPLETE
6,0.5592101812362671,2023-09-04 22:31:56.512025,2023-09-04 22:31:56.829268,0 days 00:00:00.317243,Tanh,,,,23,12,,,,0.0010212499429301857,1,50,0.2719708352743942,1.1805946228169389e-05,350.62228515625,COMPLETE
7,0.32829660177230835,2023-09-04 22:31:56.829544,2023-09-04 22:31:58.364094,0 days 00:00:01.534550,ReLU,ReLU,Leaky,Tanh,40,21,4.0,22.0,16.0,0.0017669557326377852,4,171,0.7606149319382253,1.5721090307236912e-05,130.64643724658822,COMPLETE
8,0.39655908942222595,2023-09-04 22:31:58.364581,2023-09-04 22:31:59.949810,0 days 00:00:01.585229,ReLU,Leaky,,,27,9,7.0,,,0.006159114459370885,2,115,0.4972662496989545,0.004717748285866318,296.4549105436906,COMPLETE
9,0.841921865940094,2023-09-04 22:31:59.950080,2023-09-04 22:32:01.066351,0 days 00:00:01.116271,Tanh,Sigmoid,Sigmoid,,29,13,16.0,10.0,,8.877020026044487e-05,3,271,0.12118509515758127,0.001763984358833903,114.14268972249049,COMPLETE
