number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.453061580657959,2023-09-03 09:42:12.432574,2023-09-03 09:42:13.533902,0 days 00:00:01.101328,Tanh,,,30,21,,,0.0019779167025487593,1,80,0.5875489391677797,0.02337865461661156,COMPLETE
1,0.3200066387653351,2023-09-03 09:42:13.534168,2023-09-03 09:42:16.094206,0 days 00:00:02.560038,Tanh,,,10,9,,,0.0009747515387335086,1,80,0.5671430700733195,1.2755374467770806e-05,COMPLETE
2,0.26312047243118286,2023-09-03 09:42:16.094457,2023-09-03 09:42:17.566106,0 days 00:00:01.471649,Leaky,Tanh,Leaky,4,20,7.0,23.0,0.007091572488131523,3,40,0.1689298206125231,2.9327769307319802e-05,COMPLETE
3,0.7691958546638489,2023-09-03 09:42:17.566395,2023-09-03 09:42:18.219880,0 days 00:00:00.653485,ReLU,Tanh,Leaky,16,20,5.0,15.0,4.926299384442478e-05,3,100,0.10412643034197726,0.0008540421824536602,COMPLETE
4,0.7374584078788757,2023-09-03 09:42:18.220237,2023-09-03 09:42:21.266939,0 days 00:00:03.046702,ReLU,,,8,1,,,0.0008192052031757121,1,100,0.4502157348844954,0.0005444569356808454,COMPLETE
5,0.3428173065185547,2023-09-03 09:42:21.267200,2023-09-03 09:42:22.464948,0 days 00:00:01.197748,Leaky,ReLU,Tanh,10,15,9.0,14.0,0.040891111467740784,3,80,0.1553593932776914,0.0003633396794297122,COMPLETE
6,0.9924947619438171,2023-09-03 09:42:22.465232,2023-09-03 09:42:23.818191,0 days 00:00:01.352959,Leaky,ReLU,Sigmoid,10,24,24.0,12.0,0.0024020269163289344,3,100,0.11415276716627663,0.035203437878485094,COMPLETE
7,0.29366162419319153,2023-09-03 09:42:23.818486,2023-09-03 09:42:26.045544,0 days 00:00:02.227058,Tanh,,,12,18,,,0.011379205950159593,1,80,0.5727918845051162,0.005055235580898888,COMPLETE
8,0.7684992551803589,2023-09-03 09:42:26.045802,2023-09-03 09:42:31.142095,0 days 00:00:05.096293,ReLU,ReLU,,8,22,1.0,,0.002927256405470679,2,80,0.7129185226784696,0.02764183725667528,COMPLETE
9,0.4528711140155792,2023-09-03 09:42:31.142357,2023-09-03 09:42:31.521407,0 days 00:00:00.379050,Sigmoid,Tanh,Leaky,30,14,6.0,14.0,0.06778704944082582,3,60,0.1733052767397449,0.006288406591312901,COMPLETE
10,0.5312707424163818,2023-09-03 09:42:31.521666,2023-09-03 09:42:33.440524,0 days 00:00:01.918858,Leaky,Sigmoid,,4,7,16.0,,0.00014301217531064266,2,40,0.2744577199520211,1.3897754198107667e-05,COMPLETE
11,0.259463906288147,2023-09-03 09:42:33.440782,2023-09-03 09:42:34.257619,0 days 00:00:00.816837,Tanh,Leaky,,12,17,15.0,,0.015069028877737737,2,40,0.31850740837296576,0.00010756497000282209,COMPLETE
12,0.2691405713558197,2023-09-03 09:42:34.257874,2023-09-03 09:42:37.570514,0 days 00:00:03.312640,Sigmoid,Leaky,,2,17,15.0,,0.012754933492538824,2,40,0.24359681613897918,7.721402280763287e-05,COMPLETE
13,0.24421358108520508,2023-09-03 09:42:37.570778,2023-09-03 09:42:38.460947,0 days 00:00:00.890169,Leaky,Leaky,,12,11,12.0,,0.016251456275696182,2,40,0.35476124132673487,0.00010662250361928866,COMPLETE
14,0.4003589451313019,2023-09-03 09:42:38.461202,2023-09-03 09:42:39.404681,0 days 00:00:00.943479,Tanh,Leaky,,12,10,18.0,,0.09666973199435802,2,40,0.3706563372325341,9.341041871609335e-05,COMPLETE
15,0.26830604672431946,2023-09-03 09:42:39.404937,2023-09-03 09:42:40.307971,0 days 00:00:00.903034,Leaky,Leaky,,12,12,12.0,,0.023624623376279658,2,40,0.35974359629758745,0.0001784826887550672,COMPLETE
16,0.28823596239089966,2023-09-03 09:42:40.308288,2023-09-03 09:42:41.480684,0 days 00:00:01.172396,Tanh,Leaky,,12,5,20.0,,0.027819826986725117,2,60,0.307513160728521,4.47293905188594e-05,COMPLETE
17,0.3034752905368805,2023-09-03 09:42:41.480939,2023-09-03 09:42:42.093388,0 days 00:00:00.612449,Sigmoid,Leaky,,12,12,13.0,,0.00686514953819853,2,40,0.2351409598225974,0.00018913361183278598,COMPLETE
18,0.29401251673698425,2023-09-03 09:42:42.093641,2023-09-03 09:42:42.716631,0 days 00:00:00.622990,Tanh,,,16,17,,,0.026126709018955425,1,40,0.4024621652496497,0.0016766297918973114,COMPLETE
19,0.5473171472549438,2023-09-03 09:42:42.716921,2023-09-03 09:42:46.986677,0 days 00:00:04.269756,Leaky,Sigmoid,,2,4,11.0,,0.07491403745909335,2,40,0.315408794521396,0.00017968806625810876,COMPLETE
20,0.7781703472137451,2023-09-03 09:42:46.986940,2023-09-03 09:42:48.736388,0 days 00:00:01.749448,Leaky,Leaky,,12,15,19.0,,1.1990523588656663e-05,2,60,0.4669344015737699,2.6454889298725156e-05,COMPLETE
21,0.27590739727020264,2023-09-03 09:42:48.736651,2023-09-03 09:42:50.404440,0 days 00:00:01.667789,Leaky,Tanh,ReLU,4,20,8.0,23.0,0.0065863264993804346,3,40,0.1909029355571917,3.8200457839298165e-05,COMPLETE
22,0.6863259077072144,2023-09-03 09:42:50.404710,2023-09-03 09:42:52.382873,0 days 00:00:01.978163,Leaky,Tanh,Leaky,4,18,2.0,1.0,0.01035286644296521,3,40,0.2295380055279621,7.327807597172258e-05,COMPLETE
23,0.24010948836803436,2023-09-03 09:42:52.383136,2023-09-03 09:42:54.981618,0 days 00:00:02.598482,Leaky,Leaky,Tanh,4,24,9.0,24.0,0.004978701840112685,3,40,0.3018183502204584,2.7100935678749895e-05,COMPLETE
24,0.2953113615512848,2023-09-03 09:42:54.981901,2023-09-03 09:42:55.764591,0 days 00:00:00.782690,Leaky,Leaky,,12,10,10.0,,0.004052206950743371,2,40,0.3081732688604289,1.2873648588923043e-05,COMPLETE
25,0.25123900175094604,2023-09-03 09:42:55.764857,2023-09-03 09:42:58.292243,0 days 00:00:02.527386,Tanh,Leaky,,4,24,14.0,,0.01674040091538209,2,40,0.35772302090163643,0.00010134862926380909,COMPLETE
26,0.6336641907691956,2023-09-03 09:42:58.292499,2023-09-03 09:43:01.675406,0 days 00:00:03.382907,ReLU,Leaky,Tanh,4,22,13.0,4.0,0.04406678292286464,3,40,0.38776420517353916,0.00033157240273738525,COMPLETE
27,0.26113149523735046,2023-09-03 09:43:01.675681,2023-09-03 09:43:03.568207,0 days 00:00:01.892526,Sigmoid,Leaky,,4,23,5.0,,0.02017591624329491,2,40,0.26645604548091134,4.598935026516145e-05,COMPLETE
28,0.24415771663188934,2023-09-03 09:43:03.568471,2023-09-03 09:43:09.513628,0 days 00:00:05.945157,Leaky,Sigmoid,Tanh,4,24,10.0,19.0,0.004502909848610525,3,60,0.4540571983034152,2.416932146023982e-05,COMPLETE
29,0.314229816198349,2023-09-03 09:43:09.513899,2023-09-03 09:43:10.547130,0 days 00:00:01.033231,Leaky,Sigmoid,Tanh,30,8,10.0,19.0,0.0015919212647296063,3,60,0.4836009403688522,2.2731770930754713e-05,COMPLETE
30,0.24511855840682983,2023-09-03 09:43:10.547400,2023-09-03 09:43:20.228615,0 days 00:00:09.681215,Leaky,Sigmoid,Tanh,4,13,3.0,19.0,0.004174295451774234,3,60,0.7556652971565259,1.0972621230615387e-05,COMPLETE
31,0.28621572256088257,2023-09-03 09:43:20.228900,2023-09-03 09:43:30.074117,0 days 00:00:09.845217,Leaky,Sigmoid,Tanh,4,13,3.0,19.0,0.0039287400018414,3,60,0.765207162124432,2.0022667853494474e-05,COMPLETE
