number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.31034281849861145,2023-09-03 09:41:08.376464,2023-09-03 09:41:10.304972,0 days 00:00:01.928508,Tanh,,,4,21,,,8.404400266849705e-05,1,40,0.3715344516694057,5.341728831950092e-05,COMPLETE
1,0.30634623765945435,2023-09-03 09:41:10.305263,2023-09-03 09:41:31.812226,0 days 00:00:21.506963,Tanh,ReLU,ReLU,2,24,6.0,9.0,4.7628398798591784e-05,3,80,0.6593246421963246,0.030648851694513375,COMPLETE
2,0.22223573923110962,2023-09-03 09:41:31.812524,2023-09-03 09:41:32.512657,0 days 00:00:00.700133,Tanh,Leaky,,16,6,23.0,,0.009951142393660198,2,60,0.24568995535743207,0.0002946636534227551,COMPLETE
3,0.30120888352394104,2023-09-03 09:41:32.512925,2023-09-03 09:41:33.838375,0 days 00:00:01.325450,Sigmoid,,,4,4,,,0.0012478059690655447,1,60,0.17504363197409906,0.0002533179337829869,COMPLETE
4,0.2425193339586258,2023-09-03 09:41:33.838629,2023-09-03 09:41:34.960929,0 days 00:00:01.122300,Sigmoid,,,12,13,,,0.008385314657205939,1,100,0.23828929939070578,0.0011597900079901402,COMPLETE
5,0.30173835158348083,2023-09-03 09:41:34.961184,2023-09-03 09:41:35.585373,0 days 00:00:00.624189,Tanh,ReLU,Sigmoid,10,15,1.0,17.0,0.07353366775225975,3,40,0.17246097105622288,0.00015314311362103552,COMPLETE
6,0.5837715864181519,2023-09-03 09:41:35.585645,2023-09-03 09:41:36.639430,0 days 00:00:01.053785,ReLU,Leaky,,12,18,23.0,,1.6807189468594026e-05,2,80,0.21282515322955464,3.4713564629270894e-05,COMPLETE
7,0.20987476408481598,2023-09-03 09:41:36.639758,2023-09-03 09:41:44.640120,0 days 00:00:08.000362,Tanh,,,4,19,,,0.0003232114090973591,1,80,0.785875764594329,0.0008020053917560268,COMPLETE
8,0.286422461271286,2023-09-03 09:41:44.640387,2023-09-03 09:41:45.038702,0 days 00:00:00.398315,Tanh,Leaky,ReLU,16,8,5.0,21.0,0.06252993464540875,3,60,0.10917442491115857,0.0008161994970439173,COMPLETE
9,0.605049729347229,2023-09-03 09:41:45.038946,2023-09-03 09:41:45.333072,0 days 00:00:00.294126,Tanh,,,8,17,,,6.813895911015873e-05,1,40,0.10310053831124513,0.00013689165213987144,COMPLETE
10,0.19169336557388306,2023-09-03 09:41:45.333309,2023-09-03 09:41:47.079487,0 days 00:00:01.746178,Leaky,Tanh,,30,12,15.0,,0.00033791206780027364,2,80,0.7942004050220007,1.1338985244979208e-05,COMPLETE
11,0.25673583149909973,2023-09-03 09:41:47.079744,2023-09-03 09:41:48.779910,0 days 00:00:01.700166,Leaky,Tanh,,30,10,16.0,,0.0004151481987090892,2,80,0.7742863532168858,1.1778790223898385e-05,COMPLETE
12,0.21284402906894684,2023-09-03 09:41:48.780180,2023-09-03 09:41:50.042372,0 days 00:00:01.262192,Leaky,Tanh,,30,12,15.0,,0.00039661554978183666,2,80,0.5620757315615099,0.00429953471830463,COMPLETE
13,0.49060308933258057,2023-09-03 09:41:50.042624,2023-09-03 09:41:50.932297,0 days 00:00:00.889673,Leaky,,,30,1,,,0.00028325061487422334,1,80,0.5204443062447777,1.1547338974186148e-05,COMPLETE
14,0.22735033929347992,2023-09-03 09:41:50.932542,2023-09-03 09:42:03.935085,0 days 00:00:13.002543,ReLU,Sigmoid,,4,20,11.0,,0.0016630046886053002,2,100,0.7599959756328991,0.007673184629626897,COMPLETE
15,0.44059205055236816,2023-09-03 09:42:03.935340,2023-09-03 09:42:05.871663,0 days 00:00:01.936323,Leaky,,,10,24,,,1.3532224344934105e-05,1,80,0.43947123727922416,4.292392180269527e-05,COMPLETE
16,0.24598191678524017,2023-09-03 09:42:05.871929,2023-09-03 09:42:09.053345,0 days 00:00:03.181416,Leaky,Tanh,Tanh,8,15,19.0,2.0,0.00018703396705119316,3,80,0.3667971218747745,0.0012714539036613667,COMPLETE
17,0.24039752781391144,2023-09-03 09:42:09.053607,2023-09-03 09:42:10.800827,0 days 00:00:01.747220,ReLU,Sigmoid,,30,10,10.0,,0.001044895134612009,2,80,0.7948699955377457,0.000505332585925225,COMPLETE
18,0.35392025113105774,2023-09-03 09:42:10.801076,2023-09-03 09:42:25.325087,0 days 00:00:14.524011,Sigmoid,,,2,19,,,0.00016043148338602505,1,100,0.5875464790537006,0.07870733913051847,COMPLETE
19,0.2697848081588745,2023-09-03 09:42:25.325335,2023-09-03 09:42:31.719547,0 days 00:00:06.394212,Leaky,Tanh,,4,15,19.0,,3.233861878435797e-05,2,80,0.47303070182903306,0.002786576607172755,COMPLETE
20,0.2727054953575134,2023-09-03 09:42:31.719811,2023-09-03 09:42:33.432359,0 days 00:00:01.712548,Tanh,Tanh,Leaky,30,22,8.0,10.0,0.00011497081463914074,3,80,0.6421835805744687,0.00010952500022150457,COMPLETE
21,0.23424716293811798,2023-09-03 09:42:33.432623,2023-09-03 09:42:34.738895,0 days 00:00:01.306272,Leaky,Tanh,,30,11,15.0,,0.0005040343441954941,2,80,0.5904765138074839,0.0046542895751328275,COMPLETE
22,0.20521366596221924,2023-09-03 09:42:34.739163,2023-09-03 09:42:36.168842,0 days 00:00:01.429679,Leaky,Tanh,,30,12,14.0,,0.00041128077310988024,2,80,0.646757073740824,0.011875927899065334,COMPLETE
