number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.7229657769203186,2023-09-03 09:41:28.260445,2023-09-03 09:41:28.780087,0 days 00:00:00.519642,ReLU,,,30,20,,,4.193945124016474e-05,1,60,0.3741209564463437,0.019584778570000672,COMPLETE
1,0.30945873260498047,2023-09-03 09:41:28.780362,2023-09-03 09:41:48.055163,0 days 00:00:19.274801,Leaky,,,2,23,,,0.0001052954497717872,1,100,0.7831944680945331,0.0008223947232827661,COMPLETE
2,0.360128790140152,2023-09-03 09:41:48.055427,2023-09-03 09:42:00.988412,0 days 00:00:12.932985,Leaky,Tanh,,4,20,3.0,,0.0572559637725735,2,100,0.76980363696185,0.0016841178710839653,COMPLETE
3,0.5879632830619812,2023-09-03 09:42:00.988690,2023-09-03 09:42:02.142035,0 days 00:00:01.153345,Sigmoid,ReLU,,12,13,22.0,,0.000123601408604818,2,40,0.4656877402040457,0.007072472907897145,COMPLETE
4,0.3633894920349121,2023-09-03 09:42:02.142304,2023-09-03 09:42:20.610196,0 days 00:00:18.467892,Tanh,Tanh,ReLU,2,12,21.0,19.0,0.007355774707819395,3,60,0.746264945255315,0.054731562742647615,COMPLETE
5,0.5280501246452332,2023-09-03 09:42:20.610463,2023-09-03 09:42:21.101521,0 days 00:00:00.491058,Leaky,Leaky,Tanh,8,18,7.0,16.0,0.07937411918972209,3,40,0.10959469639042027,0.02560768899385316,COMPLETE
6,0.5342549681663513,2023-09-03 09:42:21.101788,2023-09-03 09:42:22.857052,0 days 00:00:01.755264,Tanh,Sigmoid,Tanh,30,6,1.0,19.0,0.00022247480094502803,3,80,0.6750301574481583,0.0008904774676951881,COMPLETE
7,0.21653605997562408,2023-09-03 09:42:22.857342,2023-09-03 09:42:39.833914,0 days 00:00:16.976572,Leaky,Tanh,Tanh,2,20,5.0,21.0,0.0011847513199590115,3,60,0.698031525891414,0.00037089539381912476,COMPLETE
8,0.8707826137542725,2023-09-03 09:42:39.834189,2023-09-03 09:42:40.377899,0 days 00:00:00.543710,Sigmoid,Tanh,,16,15,9.0,,3.280532095119761e-05,2,100,0.10840447170532364,0.01532213225081677,COMPLETE
9,0.675527036190033,2023-09-03 09:42:40.378159,2023-09-03 09:42:45.897989,0 days 00:00:05.519830,Sigmoid,,,2,21,,,1.836355676815929e-05,1,100,0.2206919772025232,1.0579881329191738e-05,COMPLETE
