number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.21673384308815002,2023-09-03 22:28:12.144442,2023-09-03 22:28:23.317981,0 days 00:00:11.173539,Leaky,Sigmoid,,,4,9,22.0,,,0.0004588164976094734,2,100,0.6520767447855915,1.3580500756203017e-05,COMPLETE
1,0.27134087681770325,2023-09-03 22:28:23.318297,2023-09-03 22:28:24.258932,0 days 00:00:00.940635,Leaky,Leaky,,,10,16,9.0,,,0.048172330107835205,2,80,0.15881662797804263,0.029693313033449888,COMPLETE
2,0.3300006091594696,2023-09-03 22:28:24.259209,2023-09-03 22:28:25.178026,0 days 00:00:00.918817,Sigmoid,Tanh,Tanh,,8,18,21.0,15.0,,0.0002739690523655374,3,40,0.2077225428442389,0.00023194794950852563,COMPLETE
3,0.4008932113647461,2023-09-03 22:28:25.178319,2023-09-03 22:28:26.905632,0 days 00:00:01.727313,Leaky,,,,8,15,,,,3.866865582485062e-05,1,40,0.6153945996203534,0.004002285881725739,COMPLETE
4,0.9374363422393799,2023-09-03 22:28:26.905921,2023-09-03 22:28:27.715473,0 days 00:00:00.809552,Tanh,Leaky,Sigmoid,,12,13,7.0,23.0,,2.1381792710014547e-05,3,60,0.17552932636068114,0.005719708160091167,COMPLETE
5,0.23998425900936127,2023-09-03 22:28:27.715765,2023-09-03 22:28:28.866714,0 days 00:00:01.150949,Sigmoid,,,,8,7,,,,0.08574100581171026,1,100,0.16750355481160198,1.8412747596816934e-05,COMPLETE
6,0.22073735296726227,2023-09-03 22:28:28.866982,2023-09-03 22:28:29.617104,0 days 00:00:00.750122,Leaky,Tanh,Leaky,Sigmoid,12,8,5.0,3.0,17.0,0.007461712060620105,4,40,0.20742296116577721,2.6297552161144636e-05,COMPLETE
7,0.9821141958236694,2023-09-03 22:28:29.617414,2023-09-03 22:28:30.979188,0 days 00:00:01.361774,Sigmoid,Tanh,Sigmoid,,16,11,17.0,6.0,,2.1726594956825537e-05,3,100,0.23249192325910953,0.00019532488015437874,COMPLETE
8,0.23342639207839966,2023-09-03 22:28:30.979476,2023-09-03 22:28:40.444123,0 days 00:00:09.464647,Tanh,,,,2,11,,,,0.0009383687852982288,1,60,0.6264443651707898,0.0013361218995866272,COMPLETE
9,0.26627862453460693,2023-09-03 22:28:40.444394,2023-09-03 22:28:40.611455,0 days 00:00:00.167061,Tanh,,,,16,9,,,,0.04296394513700438,1,40,0.10465622513419814,0.003859623029046184,COMPLETE
10,0.344416081905365,2023-09-03 22:28:40.611741,2023-09-03 22:28:47.833507,0 days 00:00:07.221766,ReLU,Sigmoid,,,4,1,23.0,,,0.00020480799572561407,2,100,0.4288558883166199,1.3995336372970389e-05,COMPLETE
