number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.9628821611404419,2023-09-03 22:28:16.968397,2023-09-03 22:28:19.498556,0 days 00:00:02.530159,Sigmoid,Leaky,Tanh,ReLU,4,21,6.0,3.0,14.0,0.04552827873180939,4,80,0.1066114818725441,0.003810532463166127,COMPLETE
1,0.9330790042877197,2023-09-03 22:28:19.498890,2023-09-03 22:28:20.062316,0 days 00:00:00.563426,ReLU,Sigmoid,Sigmoid,,16,24,23.0,10.0,,0.0001512417957272649,3,60,0.1538637373740336,0.018823966057497445,COMPLETE
2,0.3228312134742737,2023-09-03 22:28:20.062612,2023-09-03 22:28:20.369671,0 days 00:00:00.307059,ReLU,,,,30,23,,,,0.004568598689897427,1,100,0.12535731566903852,5.134379341498468e-05,COMPLETE
3,0.5626102685928345,2023-09-03 22:28:20.369939,2023-09-03 22:28:34.324414,0 days 00:00:13.954475,Sigmoid,,,,2,3,,,,4.5169139507609065e-05,1,100,0.5640935901281864,0.0018459778622028616,COMPLETE
4,0.46873506903648376,2023-09-03 22:28:34.324686,2023-09-03 22:28:34.664479,0 days 00:00:00.339793,Leaky,,,,10,11,,,,0.0378050737096783,1,40,0.14857718056132407,0.057390282147091125,COMPLETE
5,0.9962238073348999,2023-09-03 22:28:34.664745,2023-09-03 22:28:37.040101,0 days 00:00:02.375356,Sigmoid,Leaky,Leaky,Tanh,12,20,1.0,19.0,10.0,1.4990070994521767e-05,4,80,0.33832943214080247,0.007866253097411695,COMPLETE
6,0.5295842885971069,2023-09-03 22:28:37.040390,2023-09-03 22:28:37.484550,0 days 00:00:00.444160,ReLU,Tanh,ReLU,ReLU,16,6,2.0,16.0,6.0,0.0045184441116924035,4,40,0.16081443946784338,1.5509409686184615e-05,COMPLETE
7,0.9657896757125854,2023-09-03 22:28:37.484871,2023-09-03 22:28:39.397778,0 days 00:00:01.912907,Sigmoid,ReLU,Leaky,,4,14,12.0,20.0,,2.0270735282241066e-05,3,60,0.15070493559892134,0.0035669236509224688,COMPLETE
8,0.5884246230125427,2023-09-03 22:28:39.398055,2023-09-03 22:28:39.936684,0 days 00:00:00.538629,Sigmoid,,,,16,20,,,,0.0007451991409394733,1,80,0.16865451955926303,6.84256723580406e-05,COMPLETE
9,0.4703100025653839,2023-09-03 22:28:39.936935,2023-09-03 22:28:56.625755,0 days 00:00:16.688820,Tanh,Sigmoid,Tanh,,2,9,15.0,19.0,,0.004597383603759936,3,80,0.5095195144878981,0.04510822413220456,COMPLETE
10,0.3092888295650482,2023-09-03 22:28:56.626018,2023-09-03 22:28:57.451745,0 days 00:00:00.825727,ReLU,Tanh,,,30,15,24.0,,,0.0005679962620035249,2,100,0.2688444994271166,0.00021413818540746697,COMPLETE
11,0.2979637384414673,2023-09-03 22:28:57.452010,2023-09-03 22:28:58.228319,0 days 00:00:00.776309,ReLU,Tanh,,,30,15,24.0,,,0.00047974422532496566,2,100,0.25530495486718335,0.00023455490044287024,COMPLETE
12,0.3039560616016388,2023-09-03 22:28:58.228576,2023-09-03 22:28:59.057622,0 days 00:00:00.829046,ReLU,Tanh,,,30,15,24.0,,,0.00031834366863205837,2,100,0.2850320839854886,0.00037361506913409807,COMPLETE
13,0.4868532717227936,2023-09-03 22:28:59.057884,2023-09-03 22:28:59.852903,0 days 00:00:00.795019,ReLU,Tanh,,,30,16,18.0,,,0.00015163065821937845,2,100,0.27409240554485476,0.0005910029114724526,COMPLETE
14,0.3586104214191437,2023-09-03 22:28:59.853157,2023-09-03 22:29:03.041016,0 days 00:00:03.187859,Tanh,Tanh,,,8,17,19.0,,,0.00015090666064828328,2,100,0.35865929067536967,0.0006851140032650865,COMPLETE
15,0.3036194443702698,2023-09-03 22:29:03.041276,2023-09-03 22:29:08.513051,0 days 00:00:05.471775,Leaky,Tanh,,,30,11,21.0,,,0.0004251475390527596,2,100,0.7699764091927789,0.0002782418126754779,COMPLETE
16,0.2513115704059601,2023-09-03 22:29:08.513475,2023-09-03 22:29:15.060761,0 days 00:00:06.547286,Leaky,ReLU,,,30,10,20.0,,,0.0014811547829692052,2,100,0.7781945784265376,0.00017133423990777947,COMPLETE
17,0.23752179741859436,2023-09-03 22:29:15.061180,2023-09-03 22:29:36.413844,0 days 00:00:21.352664,Leaky,ReLU,Sigmoid,,10,8,13.0,4.0,,0.0016991223161789593,3,100,0.7768019873693737,0.00014440618603793573,COMPLETE
18,0.290476530790329,2023-09-03 22:29:36.414312,2023-09-03 22:29:49.209818,0 days 00:00:12.795506,Leaky,ReLU,Sigmoid,,10,7,11.0,2.0,,0.0019397676803741824,3,60,0.7671618851923382,9.319902096611349e-05,COMPLETE
19,0.31542518734931946,2023-09-03 22:29:49.210316,2023-09-03 22:29:56.275637,0 days 00:00:07.065321,Leaky,ReLU,Sigmoid,,10,3,8.0,9.0,,0.0017811450546311076,3,40,0.630126712806852,0.0013533322055241696,COMPLETE
20,0.22445927560329437,2023-09-03 22:29:56.276102,2023-09-03 22:30:13.425902,0 days 00:00:17.149800,Leaky,ReLU,ReLU,,8,6,16.0,6.0,,0.010944289755330983,3,100,0.489041395743275,1.4416968678500659e-05,COMPLETE
21,0.23907700181007385,2023-09-03 22:30:13.426366,2023-09-03 22:30:36.482143,0 days 00:00:23.055777,Leaky,ReLU,ReLU,,8,7,16.0,6.0,,0.01340789601345538,3,100,0.6463078360458274,1.262522091068794e-05,COMPLETE
22,0.264933705329895,2023-09-03 22:30:36.482609,2023-09-03 22:30:53.198889,0 days 00:00:16.716280,Leaky,ReLU,ReLU,,8,6,15.0,6.0,,0.016108644456791346,3,100,0.47163440514007726,1.0478928463231738e-05,COMPLETE
23,0.6247537732124329,2023-09-03 22:30:53.199370,2023-09-03 22:31:21.875388,0 days 00:00:28.676018,Leaky,ReLU,ReLU,Sigmoid,8,1,16.0,6.0,21.0,0.09295868253922802,4,100,0.6337830841038719,2.4340583043607735e-05,COMPLETE
24,0.23884505033493042,2023-09-03 22:31:21.875881,2023-09-03 22:31:37.536997,0 days 00:00:15.661116,Leaky,ReLU,ReLU,,8,8,10.0,6.0,,0.01190698153095203,3,100,0.44479320197239164,3.423173633864462e-05,COMPLETE
25,0.5876436233520508,2023-09-03 22:31:37.537476,2023-09-03 22:31:54.139305,0 days 00:00:16.601829,Leaky,ReLU,ReLU,,8,4,9.0,1.0,,0.010845594401692757,3,100,0.439640144179465,3.152000678854422e-05,COMPLETE
26,0.2303486317396164,2023-09-03 22:31:54.139782,2023-09-03 22:32:06.749482,0 days 00:00:12.609700,Leaky,ReLU,Sigmoid,Leaky,12,8,13.0,13.0,2.0,0.007592990494368738,4,100,0.4506521094965716,3.1836241934746615e-05,COMPLETE
