number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
0,0.33970797061920166,2023-09-04 11:48:06.892162,2023-09-04 11:48:07.150782,0 days 00:00:00.258620,ReLU,ReLU,,,98,2,24.0,,,0.03730015470558148,2,354,0.226994891620362,0.044708623522940937,130.87917802140518,COMPLETE
1,1.029888391494751,2023-09-04 11:48:07.151216,2023-09-04 11:48:07.833216,0 days 00:00:00.682000,Sigmoid,,,,94,1,,,,0.00011724065028154898,1,214,0.273058643072615,0.003169433910793536,112.8946063674499,COMPLETE
2,0.4903414249420166,2023-09-04 11:48:07.833652,2023-09-04 11:48:08.006035,0 days 00:00:00.172383,ReLU,Sigmoid,Leaky,Sigmoid,14,5,19.0,7.0,3.0,0.08475748331576108,4,271,0.10640289118590497,3.0986465204267236e-05,128.85015153884888,COMPLETE
3,0.4617112874984741,2023-09-04 11:48:08.006643,2023-09-04 11:48:10.703248,0 days 00:00:02.696605,Leaky,Tanh,ReLU,,51,14,1.0,4.0,,5.145201407103992e-05,3,327,0.3411975294008488,0.020816092753527266,110.14583130349442,COMPLETE
4,0.2446078658103943,2023-09-04 11:48:10.703543,2023-09-04 11:48:11.274295,0 days 00:00:00.570752,ReLU,Tanh,,,56,22,23.0,,,0.002379659067642253,2,123,0.45662688458577083,0.0006735830565597898,121.01773567805215,COMPLETE
5,0.7048906683921814,2023-09-04 11:48:11.274557,2023-09-04 11:48:13.224978,0 days 00:00:01.950421,Tanh,Sigmoid,Sigmoid,,43,20,9.0,5.0,,5.3946389643100094e-05,3,183,0.4046946641850731,0.00043600199137898486,100.32643852859248,COMPLETE
6,0.3007493317127228,2023-09-04 11:48:13.225250,2023-09-04 11:48:14.510631,0 days 00:00:01.285381,Tanh,Tanh,Sigmoid,ReLU,80,22,18.0,23.0,8.0,0.00041412110911728654,4,335,0.16049817410392406,2.7009719398688358e-05,115.35291260676597,COMPLETE
7,0.2497362643480301,2023-09-04 11:48:14.510924,2023-09-04 11:48:15.848966,0 days 00:00:01.338042,Sigmoid,ReLU,,,98,22,23.0,,,0.003718536069187546,2,242,0.560215607454889,0.0028278911989566215,1921.73779296875,COMPLETE
8,0.25149789452552795,2023-09-04 11:48:15.849230,2023-09-04 11:48:15.979071,0 days 00:00:00.129841,Tanh,Tanh,Sigmoid,Leaky,60,8,24.0,8.0,9.0,0.045230888321398,4,256,0.11371435395749036,0.00545539225719372,103.00070685309333,COMPLETE
9,0.8352946043014526,2023-09-04 11:48:15.979349,2023-09-04 11:48:16.593470,0 days 00:00:00.614121,Tanh,Sigmoid,Tanh,,68,22,4.0,4.0,,1.0991736907751918e-05,3,191,0.13953997309234067,0.00041056919494506964,77.41907864715417,COMPLETE
10,0.30136772990226746,2023-09-04 11:48:16.593736,2023-09-04 11:48:17.665565,0 days 00:00:01.071829,ReLU,,,,32,15,,,,0.0028281295736844172,1,58,0.7518945084076506,0.00018287584645837414,123.55924777326912,COMPLETE
11,0.30055078864097595,2023-09-04 11:48:17.665860,2023-09-04 11:48:18.666940,0 days 00:00:01.001080,Sigmoid,ReLU,,,78,17,17.0,,,0.0034777955882176353,2,486,0.5266138662265643,0.00195791521587216,266.86923959905454,COMPLETE
12,0.28532156348228455,2023-09-04 11:48:18.667300,2023-09-04 11:48:20.376691,0 days 00:00:01.709391,Sigmoid,Leaky,,,24,24,13.0,,,0.0056947148713778544,2,102,0.5444137512414365,0.011258341434672282,244.63738152640207,COMPLETE
