number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.4699380099773407,2023-09-04 00:26:03.716792,2023-09-04 00:26:21.034120,0 days 00:00:17.317328,Tanh,ReLU,Sigmoid,ReLU,2,17,21.0,13.0,8.0,0.00019782691040303512,4,80,0.26561341280383555,0.003007340650095757,COMPLETE
1,0.5836598873138428,2023-09-04 00:26:21.034461,2023-09-04 00:26:23.237641,0 days 00:00:02.203180,Tanh,Tanh,Tanh,,10,17,5.0,14.0,,0.0005614946305994774,3,40,0.4160335208903983,0.020500493551995826,COMPLETE
2,0.6013641357421875,2023-09-04 00:26:23.237964,2023-09-04 00:26:48.421200,0 days 00:00:25.183236,Sigmoid,ReLU,ReLU,,2,15,5.0,7.0,,0.00031659898640566106,3,100,0.40926536593441953,0.020455643800920645,COMPLETE
3,0.32851409912109375,2023-09-04 00:26:48.421510,2023-09-04 00:27:13.328212,0 days 00:00:24.906702,Tanh,,,,2,14,,,,0.0003908506077185828,1,100,0.6663173182655279,0.001860789583402825,COMPLETE
4,0.3874128460884094,2023-09-04 00:27:13.328483,2023-09-04 00:27:30.932527,0 days 00:00:17.604044,Leaky,Tanh,ReLU,,2,20,23.0,17.0,,8.03950724924098e-05,3,60,0.4329067399418508,0.0028882447883463234,COMPLETE
5,0.5943540930747986,2023-09-04 00:27:30.932983,2023-09-04 00:27:35.206550,0 days 00:00:04.273567,Leaky,,,,2,19,,,,0.00017088310188594766,1,40,0.26027019965483766,0.08263367292994017,COMPLETE
6,0.4774835407733917,2023-09-04 00:27:35.206822,2023-09-04 00:27:37.298930,0 days 00:00:02.092108,Tanh,Sigmoid,,,10,21,9.0,,,0.0017479172679515829,2,40,0.4864600276995465,0.005966065545951704,COMPLETE
7,0.5798757076263428,2023-09-04 00:27:37.299212,2023-09-04 00:27:39.410511,0 days 00:00:02.111299,Leaky,Tanh,,,4,14,17.0,,,5.066505876367114e-05,2,60,0.13702599790405,5.377043987035661e-05,COMPLETE
8,0.9098531007766724,2023-09-04 00:27:39.410777,2023-09-04 00:27:40.625086,0 days 00:00:01.214309,ReLU,Tanh,ReLU,,30,17,3.0,12.0,,1.5848626824240257e-05,3,100,0.21767347968691017,0.021315863712921584,COMPLETE
9,0.5528279542922974,2023-09-04 00:27:40.625513,2023-09-04 00:27:41.805078,0 days 00:00:01.179565,Sigmoid,Sigmoid,Tanh,Tanh,12,15,17.0,4.0,13.0,0.04656211877166499,4,40,0.18137379511764276,0.0015021259548004353,COMPLETE
10,0.4610958695411682,2023-09-04 00:27:41.805340,2023-09-04 00:27:50.163143,0 days 00:00:08.357803,ReLU,,,,8,9,,,,0.002463535938244117,1,100,0.7444828749605158,0.0001654510592998414,COMPLETE
11,0.5581988096237183,2023-09-04 00:27:50.163397,2023-09-04 00:27:53.763317,0 days 00:00:03.599920,Leaky,Leaky,,,16,24,22.0,,,1.765586093750096e-05,2,60,0.7275290654953036,0.0004220532992478167,COMPLETE
12,0.48185592889785767,2023-09-04 00:27:53.763739,2023-09-04 00:28:07.096981,0 days 00:00:13.333242,Tanh,,,,2,9,,,,6.635565702916309e-05,1,60,0.5473312103654238,0.0008458389647519566,COMPLETE
13,0.34251582622528076,2023-09-04 00:28:07.097239,2023-09-04 00:28:27.830434,0 days 00:00:20.733195,Leaky,Leaky,Leaky,,2,3,24.0,20.0,,0.0014569171823935391,3,80,0.3376800645144286,1.2175255582356329e-05,COMPLETE
14,0.6574676036834717,2023-09-04 00:28:27.830707,2023-09-04 00:28:30.129018,0 days 00:00:02.298311,Tanh,Leaky,,,12,1,13.0,,,0.005208549893564413,2,80,0.31815100061344237,1.1425961623983558e-05,COMPLETE
15,0.6539582014083862,2023-09-04 00:28:30.129279,2023-09-04 00:28:32.909145,0 days 00:00:02.779866,Leaky,Leaky,Leaky,Sigmoid,30,1,17.0,24.0,24.0,0.000841112197307652,4,80,0.5950415923437957,0.0001962427846550942,COMPLETE
16,0.3299351930618286,2023-09-04 00:28:32.909411,2023-09-04 00:28:41.082438,0 days 00:00:08.173027,ReLU,,,,4,9,,,,0.005368549529523463,1,100,0.3336753359129817,1.333691168738346e-05,COMPLETE
