number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.3746236264705658,2023-09-04 00:26:07.028244,2023-09-04 00:26:27.404788,0 days 00:00:20.376544,Tanh,Leaky,,,4,19,6.0,,,0.00029973790167117594,2,60,0.42398379829478156,0.00022201910762747397,COMPLETE
1,0.31726372241973877,2023-09-04 00:26:27.405285,2023-09-04 00:26:46.550156,0 days 00:00:19.144871,Leaky,ReLU,ReLU,,4,19,21.0,17.0,,0.01265286696188925,3,100,0.13044756055054454,0.013644030393913938,COMPLETE
2,0.4779335856437683,2023-09-04 00:26:46.550685,2023-09-04 00:27:05.141490,0 days 00:00:18.590805,Leaky,Leaky,Leaky,Leaky,12,21,16.0,10.0,16.0,0.04720612443746245,4,80,0.5553260514339814,0.02367214520724629,COMPLETE
3,0.8927345275878906,2023-09-04 00:27:05.142007,2023-09-04 00:27:12.388893,0 days 00:00:07.246886,Tanh,Leaky,Sigmoid,Leaky,16,12,7.0,8.0,15.0,1.0133013821100078e-05,4,60,0.38256287718775783,1.0353553340485178e-05,COMPLETE
4,0.9094852805137634,2023-09-04 00:27:12.389412,2023-09-04 00:27:14.587058,0 days 00:00:02.197646,ReLU,ReLU,ReLU,,10,15,10.0,5.0,,4.283555238213849e-05,3,40,0.13038635272886862,0.06227728197428212,COMPLETE
5,0.290692001581192,2023-09-04 00:27:14.587552,2023-09-04 00:27:23.900772,0 days 00:00:09.313220,ReLU,Sigmoid,ReLU,,10,6,21.0,18.0,,0.0016917537918962789,3,100,0.21646690973376417,0.004523095753292453,COMPLETE
6,1.084198236465454,2023-09-04 00:27:23.901257,2023-09-04 00:27:29.460552,0 days 00:00:05.559295,ReLU,Tanh,Sigmoid,Sigmoid,12,2,20.0,5.0,18.0,4.077718112560845e-05,4,40,0.3377842957956511,0.003190471803011141,COMPLETE
7,0.717103898525238,2023-09-04 00:27:29.461082,2023-09-04 00:27:31.147079,0 days 00:00:01.685997,Sigmoid,,,,8,22,,,,0.0007463087189385661,1,40,0.13615983013954625,0.00017087670110222858,COMPLETE
8,0.6680275201797485,2023-09-04 00:27:31.147516,2023-09-04 00:27:49.518975,0 days 00:00:18.371459,Sigmoid,Leaky,,,10,9,24.0,,,0.005477764225276146,2,60,0.7987648604236716,0.03917761479129927,COMPLETE
9,0.2453232705593109,2023-09-04 00:27:49.519416,2023-09-04 00:28:02.204078,0 days 00:00:12.684662,Tanh,Tanh,,,8,13,11.0,,,0.037284170205829345,2,60,0.5123518423230963,5.083384704180899e-05,COMPLETE
10,0.3810054063796997,2023-09-04 00:28:02.204511,2023-09-04 00:28:08.278070,0 days 00:00:06.073559,Tanh,,,,8,14,,,,0.0956422631441032,1,80,0.24181725338061477,1.0848605736211751e-05,COMPLETE
11,0.2793511152267456,2023-09-04 00:28:08.278497,2023-09-04 00:28:11.320487,0 days 00:00:03.041990,ReLU,Sigmoid,,,30,5,15.0,,,0.005245811068620862,2,100,0.23534475069187005,0.0020316636520661116,COMPLETE
12,0.3581119775772095,2023-09-04 00:28:11.320928,2023-09-04 00:28:13.952623,0 days 00:00:02.631695,Tanh,Tanh,,,30,1,14.0,,,0.01680236112212267,2,100,0.20521119063218407,0.000610520027203313,COMPLETE
13,0.24182049930095673,2023-09-04 00:28:13.953052,2023-09-04 00:28:58.579233,0 days 00:00:44.626181,ReLU,Sigmoid,,,2,7,1.0,,,0.004587555135028583,2,100,0.2919354275756136,5.0761363877868806e-05,COMPLETE
14,0.23802466690540314,2023-09-04 00:28:58.579657,2023-09-04 00:29:33.411388,0 days 00:00:34.831731,Tanh,,,,2,10,,,,0.02336619120405911,1,60,0.5061000242413011,4.254558253417782e-05,COMPLETE
15,0.4435149133205414,2023-09-04 00:29:33.411800,2023-09-04 00:29:54.214058,0 days 00:00:20.802258,ReLU,,,,2,8,,,,0.004537684645949475,1,60,0.2994586781333556,5.8161681135938844e-05,COMPLETE
16,0.2576783001422882,2023-09-04 00:29:54.214462,2023-09-04 00:30:28.168301,0 days 00:00:33.953839,Sigmoid,,,,2,10,,,,0.022594295113953392,1,100,0.2946726808175109,4.3057058688122475e-05,COMPLETE
17,0.7904560565948486,2023-09-04 00:30:28.168713,2023-09-04 00:31:11.332914,0 days 00:00:43.164201,Leaky,,,,2,4,,,,0.09583009933323704,1,80,0.46813556950759244,0.00048306151674573194,COMPLETE
18,0.26205572485923767,2023-09-04 00:31:11.333311,2023-09-04 00:31:54.136381,0 days 00:00:42.803070,Tanh,,,,2,7,,,,0.011882879898239173,1,60,0.6158010513286776,0.00018559828065838017,COMPLETE
19,0.24251489341259003,2023-09-04 00:31:54.136798,2023-09-04 00:32:51.123247,0 days 00:00:56.986449,ReLU,Sigmoid,,,2,16,1.0,,,0.0019326702875447238,2,100,0.3649289131458755,2.385037332019304e-05,COMPLETE
20,0.2481929510831833,2023-09-04 00:32:51.123681,2023-09-04 00:33:02.696295,0 days 00:00:11.572614,Tanh,Sigmoid,Tanh,,16,11,1.0,24.0,,0.007478097554239973,3,100,0.4352418274382538,8.854520799879236e-05,COMPLETE
21,0.23176556825637817,2023-09-04 00:33:02.696734,2023-09-04 00:34:00.752162,0 days 00:00:58.055428,ReLU,Sigmoid,,,2,15,1.0,,,0.002110054432038062,2,100,0.3765398257807794,2.251107821235136e-05,COMPLETE
22,0.17451992630958557,2023-09-04 00:34:00.752600,2023-09-04 00:34:51.388221,0 days 00:00:50.635621,ReLU,Sigmoid,,,2,17,4.0,,,0.002141772925334464,2,100,0.3276235946730198,2.3240599031054572e-05,COMPLETE
23,0.22383083403110504,2023-09-04 00:34:51.388680,2023-09-04 00:35:48.127413,0 days 00:00:56.738733,ReLU,Sigmoid,,,2,18,5.0,,,0.0006480796035000873,2,100,0.3628999842078162,2.618884082311214e-05,COMPLETE
24,0.22693891823291779,2023-09-04 00:35:48.127854,2023-09-04 00:36:42.093662,0 days 00:00:53.965808,ReLU,Sigmoid,,,2,17,5.0,,,0.0005492040222681712,2,100,0.3470908901419595,1.6984789025732136e-05,COMPLETE
25,0.2662481367588043,2023-09-04 00:36:42.094095,2023-09-04 00:37:46.859532,0 days 00:01:04.765437,ReLU,Sigmoid,Leaky,,2,24,5.0,1.0,,0.0005416371851312844,3,100,0.33389474958922916,1.8969603453441823e-05,COMPLETE
26,0.28809085488319397,2023-09-04 00:37:46.860000,2023-09-04 00:38:27.667515,0 days 00:00:40.807515,ReLU,Sigmoid,,,2,17,4.0,,,0.00025364041834609753,2,100,0.2622771616064247,0.00010976164366475234,COMPLETE
27,0.21689298748970032,2023-09-04 00:38:27.667976,2023-09-04 00:39:03.150460,0 days 00:00:35.482484,ReLU,Sigmoid,Tanh,,2,18,8.0,24.0,,0.0009765791574971574,3,100,0.1807697110905626,1.5540130369256044e-05,COMPLETE
28,0.42991703748703003,2023-09-04 00:39:03.150929,2023-09-04 00:39:09.810386,0 days 00:00:06.659457,ReLU,Sigmoid,Tanh,,12,19,9.0,21.0,,0.0011948968188040233,3,100,0.18905792073852382,3.0739946383222804e-05,COMPLETE
29,0.31128600239753723,2023-09-04 00:39:09.810834,2023-09-04 00:39:26.270964,0 days 00:00:16.460130,ReLU,ReLU,Tanh,,4,22,8.0,15.0,,0.0002317822771992188,3,100,0.17599237169692308,9.863854412193398e-05,COMPLETE
30,0.4333023130893707,2023-09-04 00:39:26.271253,2023-09-04 00:39:26.960751,0 days 00:00:00.689498,ReLU,Sigmoid,Tanh,,30,18,3.0,23.0,,0.0011050618499609348,3,40,0.16591816436872794,0.00033205997237923827,COMPLETE
31,0.24753616750240326,2023-09-04 00:39:26.961206,2023-09-04 00:39:54.217524,0 days 00:00:27.256318,ReLU,Sigmoid,,,2,17,4.0,,,0.0004914769397419988,2,100,0.41300734889471713,1.6494618777933282e-05,COMPLETE
32,0.28677675127983093,2023-09-04 00:39:54.217797,2023-09-04 00:40:02.812967,0 days 00:00:08.595170,ReLU,Sigmoid,,,4,20,7.0,,,0.0004255297888778605,2,100,0.31571810828197183,1.055040483625662e-05,COMPLETE
33,0.18409067392349243,2023-09-04 00:40:02.813233,2023-09-04 00:40:17.885530,0 days 00:00:15.072297,Leaky,Sigmoid,,,2,18,12.0,,,0.0027138416945737534,2,100,0.2571469800309328,2.7663021617194233e-05,COMPLETE
