number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.4300258159637451,2023-09-03 15:02:20.852456,2023-09-03 15:02:22.458684,0 days 00:00:01.606228,ReLU,Tanh,Tanh,,30,7,21.0,3.0,,0.021945892713962883,3,60,0.5105777814816645,0.0006223407693448281,COMPLETE
1,0.45363476872444153,2023-09-03 15:02:22.458999,2023-09-03 15:02:24.010627,0 days 00:00:01.551628,ReLU,ReLU,Leaky,ReLU,30,11,9.0,11.0,6.0,0.0003970094859816622,4,60,0.44462187645136186,0.00018216048775593948,COMPLETE
2,0.8960568904876709,2023-09-03 15:02:24.010936,2023-09-03 15:02:29.241588,0 days 00:00:05.230652,Tanh,Leaky,,,2,4,9.0,,,1.5691454310423187e-05,2,100,0.10608764788266012,3.982739720598039e-05,COMPLETE
3,0.4291556477546692,2023-09-03 15:02:29.241880,2023-09-03 15:02:29.845487,0 days 00:00:00.603607,Tanh,,,,10,8,,,,0.027584839124085287,1,60,0.11702776232954802,0.005418923357275979,COMPLETE
4,0.4349214434623718,2023-09-03 15:02:29.845740,2023-09-03 15:02:32.444226,0 days 00:00:02.598486,Leaky,,,,10,19,,,,0.008172518683572359,1,60,0.5199568045671867,0.014882233612005663,COMPLETE
5,0.4942050576210022,2023-09-03 15:02:32.444476,2023-09-03 15:02:35.111106,0 days 00:00:02.666630,Leaky,Sigmoid,Tanh,Tanh,12,19,15.0,15.0,2.0,0.03587015126005388,4,80,0.2524781303646624,0.0003367305171408397,COMPLETE
6,0.3686482906341553,2023-09-03 15:02:35.111393,2023-09-03 15:02:38.212552,0 days 00:00:03.101159,Tanh,,,,16,22,,,,0.023918124822565247,1,100,0.5623042789937974,0.0007251350656704889,COMPLETE
7,0.33090925216674805,2023-09-03 15:02:38.212814,2023-09-03 15:02:40.779532,0 days 00:00:02.566718,Leaky,Sigmoid,,,10,14,9.0,,,0.005450947117149037,2,40,0.5976655306844837,0.0023896933081468657,COMPLETE
8,0.7255005836486816,2023-09-03 15:02:40.779794,2023-09-03 15:02:42.718549,0 days 00:00:01.938755,ReLU,Tanh,ReLU,Leaky,8,8,19.0,23.0,6.0,4.531091393733926e-05,4,60,0.16607559060584837,0.0016343334139213486,COMPLETE
9,1.0300170183181763,2023-09-03 15:02:42.718822,2023-09-03 15:02:47.450564,0 days 00:00:04.731742,ReLU,Sigmoid,Sigmoid,,16,3,9.0,18.0,,0.01033159603950962,3,100,0.5526457031730584,0.021077750755599218,COMPLETE
10,0.9823756217956543,2023-09-03 15:02:47.450820,2023-09-03 15:02:54.231787,0 days 00:00:06.780967,Sigmoid,Sigmoid,,,4,15,2.0,,,0.001672035782895029,2,40,0.6811872796210664,0.09846663887319389,COMPLETE
11,0.464516818523407,2023-09-03 15:02:54.232052,2023-09-03 15:02:55.994166,0 days 00:00:01.762114,Tanh,,,,16,24,,,,0.07609376470506284,1,40,0.7989679656935731,0.0024406231461430905,COMPLETE
12,0.5197104811668396,2023-09-03 15:02:55.994422,2023-09-03 15:02:57.111033,0 days 00:00:01.116611,Leaky,ReLU,,,16,24,2.0,,,0.0032789296239226612,2,40,0.3848642842130176,8.051280682417644e-05,COMPLETE
13,0.38788652420043945,2023-09-03 15:02:57.111301,2023-09-03 15:02:59.960830,0 days 00:00:02.849529,Sigmoid,,,,10,16,,,,0.07666904146132499,1,100,0.3408501417236403,1.8019951461140413e-05,COMPLETE
14,0.30759066343307495,2023-09-03 15:02:59.961105,2023-09-03 15:03:06.952719,0 days 00:00:06.991614,Tanh,Leaky,,,8,19,14.0,,,0.003869538687857803,2,80,0.6570556437695048,0.0007352278945975432,COMPLETE
15,0.6549346446990967,2023-09-03 15:03:06.952973,2023-09-03 15:03:16.537717,0 days 00:00:09.584744,Leaky,Leaky,Sigmoid,,8,13,14.0,1.0,,0.0005669836492155118,3,80,0.7463617192773905,0.00018648981073152428,COMPLETE
16,0.35830846428871155,2023-09-03 15:03:16.537975,2023-09-03 15:03:19.666173,0 days 00:00:03.128198,Tanh,Leaky,,,8,18,17.0,,,0.0037245922392303283,2,80,0.292536828328281,0.001816292328668384,COMPLETE
17,0.34616079926490784,2023-09-03 15:03:19.666438,2023-09-03 15:03:25.946083,0 days 00:00:06.279645,Leaky,Leaky,,,4,12,11.0,,,0.000953567697772627,2,40,0.6234833981847825,0.0005943224491023345,COMPLETE
18,0.6305932402610779,2023-09-03 15:03:25.946342,2023-09-03 15:04:05.652114,0 days 00:00:39.705772,Sigmoid,Sigmoid,ReLU,,2,21,24.0,8.0,,0.0003028621020831186,3,80,0.7974885484775575,0.00537685145170992,COMPLETE
19,0.32345283031463623,2023-09-03 15:04:05.652393,2023-09-03 15:04:07.238888,0 days 00:00:01.586495,Tanh,Sigmoid,,,12,16,6.0,,,0.004290174549244927,2,40,0.4334134621486489,0.00024868886505921155,COMPLETE
20,0.37470701336860657,2023-09-03 15:04:07.239138,2023-09-03 15:04:11.083750,0 days 00:00:03.844612,Tanh,Leaky,Leaky,,12,17,3.0,23.0,,0.0014225744407159015,3,80,0.4341613465520963,7.982666765719435e-05,COMPLETE
21,0.2955336272716522,2023-09-03 15:04:11.084014,2023-09-03 15:04:13.403268,0 days 00:00:02.319254,Tanh,Sigmoid,,,12,14,6.0,,,0.00548416615814308,2,40,0.6384464626558775,0.00027758440303046864,COMPLETE
22,0.3479761481285095,2023-09-03 15:04:13.403515,2023-09-03 15:04:15.751395,0 days 00:00:02.347880,Tanh,Sigmoid,,,12,11,5.0,,,0.010965894265110293,2,40,0.6515582381942341,0.0002704689574206962,COMPLETE
