number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,1.5032539367675781,2023-09-03 15:06:29.496401,2023-09-03 15:06:29.957882,0 days 00:00:00.461481,ReLU,Leaky,,,30,5,11.0,,,1.701588127682762e-05,2,100,0.10005926910797615,4.633123108159447e-05,COMPLETE
1,0.3465323746204376,2023-09-03 15:06:29.958185,2023-09-03 15:06:30.910639,0 days 00:00:00.952454,Leaky,,,,16,18,,,,0.010458035623268433,1,40,0.43097849843334196,0.00662298572203906,COMPLETE
2,0.9386573433876038,2023-09-03 15:06:30.910910,2023-09-03 15:06:33.013022,0 days 00:00:02.102112,ReLU,ReLU,Sigmoid,Sigmoid,16,8,13.0,1.0,16.0,6.332363660669861e-05,4,100,0.20942104693840197,0.00018658326092567377,COMPLETE
3,0.6261129975318909,2023-09-03 15:06:33.013325,2023-09-03 15:06:35.638670,0 days 00:00:02.625345,Sigmoid,Tanh,,,10,10,24.0,,,0.05623167062669086,2,40,0.6106541150188134,0.02397394230437712,COMPLETE
4,0.39853158593177795,2023-09-03 15:06:35.638955,2023-09-03 15:06:38.375756,0 days 00:00:02.736801,ReLU,Leaky,Leaky,ReLU,16,18,6.0,13.0,14.0,0.010248296593367382,4,100,0.25080146365961176,0.024063161055969697,COMPLETE
5,0.3936426341533661,2023-09-03 15:06:38.376044,2023-09-03 15:06:43.447661,0 days 00:00:05.071617,Sigmoid,,,,4,19,,,,0.0032446152907306637,1,100,0.25845567060501556,0.0001567290229829505,COMPLETE
6,0.7033220529556274,2023-09-03 15:06:43.447925,2023-09-03 15:06:44.429227,0 days 00:00:00.981302,ReLU,,,,10,9,,,,3.309431521322714e-05,1,100,0.11641337347071735,0.00020170586293423838,COMPLETE
7,0.5666967630386353,2023-09-03 15:06:44.429508,2023-09-03 15:06:47.771862,0 days 00:00:03.342354,Tanh,,,,10,18,,,,1.1636225691652357e-05,1,100,0.401036615236147,0.0057710542743841355,COMPLETE
8,1.025059700012207,2023-09-03 15:06:47.772116,2023-09-03 15:07:08.977170,0 days 00:00:21.205054,Sigmoid,Tanh,Leaky,,2,21,4.0,10.0,,0.020136288781314113,3,100,0.33345938486172577,0.07378837407014646,COMPLETE
9,0.5777480602264404,2023-09-03 15:07:08.977428,2023-09-03 15:07:09.997871,0 days 00:00:01.020443,Leaky,Tanh,Tanh,ReLU,8,3,23.0,21.0,22.0,5.447818682166984e-05,4,40,0.12696021606116936,0.00032967848658491155,COMPLETE
10,0.3712109923362732,2023-09-03 15:07:09.998142,2023-09-03 15:07:15.616382,0 days 00:00:05.618240,Leaky,Sigmoid,,,12,24,17.0,,,0.0006293706806743254,2,60,0.7998140187749019,0.00280111172263659,COMPLETE
11,0.40047991275787354,2023-09-03 15:07:15.616629,2023-09-03 15:07:19.847465,0 days 00:00:04.230836,Leaky,Sigmoid,,,12,24,18.0,,,0.0006009603485325225,2,60,0.7633656871312858,0.002333193912100686,COMPLETE
12,0.386682391166687,2023-09-03 15:07:19.847710,2023-09-03 15:07:23.315830,0 days 00:00:03.468120,Leaky,Sigmoid,ReLU,,12,14,17.0,24.0,,0.0007645844561580143,3,60,0.4950949404197218,0.0019968469468940276,COMPLETE
13,0.34136420488357544,2023-09-03 15:07:23.316093,2023-09-03 15:07:27.746576,0 days 00:00:04.430483,Leaky,,,,12,24,,,,0.003652271314939067,1,80,0.783002969105679,0.006320379898745491,COMPLETE
14,0.4973840117454529,2023-09-03 15:07:27.746825,2023-09-03 15:07:30.087861,0 days 00:00:02.341036,Leaky,,,,16,14,,,,0.09882934197994145,1,80,0.5363708418958932,0.008582125281989776,COMPLETE
15,0.3541323244571686,2023-09-03 15:07:30.088119,2023-09-03 15:07:49.658631,0 days 00:00:19.570512,Leaky,,,,2,21,,,,0.0035354658146595653,1,80,0.43499705111763876,0.001314895187353742,COMPLETE
16,0.45115363597869873,2023-09-03 15:07:49.658913,2023-09-03 15:07:55.840205,0 days 00:00:06.181292,Tanh,,,,4,16,,,,0.0034561488325942154,1,40,0.5949722055187766,0.008015189234097405,COMPLETE
17,1.0102715492248535,2023-09-03 15:07:55.840457,2023-09-03 15:07:57.556385,0 days 00:00:01.715928,Leaky,ReLU,Tanh,,30,22,1.0,1.0,,0.016959809918720002,3,80,0.37277289299970773,0.0010158482025056374,COMPLETE
18,0.46062445640563965,2023-09-03 15:07:57.556648,2023-09-03 15:08:04.629199,0 days 00:00:07.072551,Leaky,ReLU,,,8,16,9.0,,,0.00022225910062787608,2,80,0.6612035665662875,0.0006244474575322312,COMPLETE
19,0.4070644974708557,2023-09-03 15:08:04.629465,2023-09-03 15:08:05.745911,0 days 00:00:01.116446,Tanh,,,,16,12,,,,0.001899018487398527,1,40,0.5077968534325317,2.3648083909457963e-05,COMPLETE
20,0.35369330644607544,2023-09-03 15:08:05.746167,2023-09-03 15:08:08.188207,0 days 00:00:02.442040,Leaky,Leaky,,,12,22,20.0,,,0.010506282682581596,2,40,0.6641922116111942,0.004867363591059109,COMPLETE
21,0.2938963770866394,2023-09-03 15:08:08.188458,2023-09-03 15:08:10.787242,0 days 00:00:02.598784,Leaky,Leaky,,,12,22,20.0,,,0.00883035292057839,2,40,0.7077934479428997,0.005254270542158465,COMPLETE
22,0.4167599678039551,2023-09-03 15:08:10.787496,2023-09-03 15:08:13.138372,0 days 00:00:02.350876,Leaky,,,,12,24,,,,0.007809135913492768,1,40,0.7735202918910106,0.01564717525929412,COMPLETE
23,0.3984608054161072,2023-09-03 15:08:13.138625,2023-09-03 15:08:14.900255,0 days 00:00:01.761630,Leaky,Leaky,,,12,20,14.0,,,0.032842663018784274,2,40,0.47314754791719077,0.003726169582618545,COMPLETE
24,0.40116530656814575,2023-09-03 15:08:14.900516,2023-09-03 15:08:18.442297,0 days 00:00:03.541781,Leaky,,,,12,17,,,,0.006689302849574314,1,80,0.5996434680780822,0.017221684494776478,COMPLETE
25,0.4286191463470459,2023-09-03 15:08:18.442563,2023-09-03 15:08:22.130798,0 days 00:00:03.688235,Leaky,Leaky,Sigmoid,,16,22,21.0,14.0,,0.027029478722314,3,40,0.686186450719441,0.007889419251923635,COMPLETE
26,0.4667470157146454,2023-09-03 15:08:22.131077,2023-09-03 15:08:26.581135,0 days 00:00:04.450058,Leaky,Leaky,,,12,20,15.0,,,0.005216064088675115,2,80,0.5517601581076537,0.047038888710261635,COMPLETE
27,0.3880680203437805,2023-09-03 15:08:26.581415,2023-09-03 15:08:29.551854,0 days 00:00:02.970439,Tanh,,,,8,23,,,,0.0017344330622161292,1,40,0.4587997783855227,0.0017439191764185252,COMPLETE
28,0.5456016659736633,2023-09-03 15:08:29.552273,2023-09-03 15:08:46.647895,0 days 00:00:17.095622,Sigmoid,,,,2,19,,,,0.014815611230819778,1,40,0.7096900984707378,0.003974272288452425,COMPLETE
29,0.34422218799591064,2023-09-03 15:08:46.648170,2023-09-03 15:09:00.075419,0 days 00:00:13.427249,ReLU,Leaky,,,4,14,9.0,,,0.0056562506822539285,2,80,0.5521915352505203,0.01178508960537628,COMPLETE
30,0.3626820743083954,2023-09-03 15:09:00.075699,2023-09-03 15:09:16.220668,0 days 00:00:16.144969,ReLU,Leaky,,,4,6,9.0,,,0.0013523804676100913,2,80,0.7897247077233789,0.012265727221947654,COMPLETE
31,0.43484732508659363,2023-09-03 15:09:16.220933,2023-09-03 15:09:18.099070,0 days 00:00:01.878137,ReLU,Leaky,,,30,14,6.0,,,0.0049595101030890446,2,80,0.5579746067436161,0.034780875450886,COMPLETE
32,0.37116798758506775,2023-09-03 15:09:18.099334,2023-09-03 15:09:31.249823,0 days 00:00:13.150489,ReLU,Leaky,,,4,12,11.0,,,0.010303407872104316,2,80,0.6420847743552727,0.010450571913839782,COMPLETE
33,0.5168454647064209,2023-09-03 15:09:31.250092,2023-09-03 15:09:49.619667,0 days 00:00:18.369575,ReLU,Leaky,ReLU,,4,16,8.0,7.0,,0.0340582879182218,3,80,0.5887960173755272,0.0050730128209904015,COMPLETE
34,0.5434119701385498,2023-09-03 15:09:49.619946,2023-09-03 15:09:51.079725,0 days 00:00:01.459779,ReLU,Sigmoid,,,16,11,1.0,,,0.0024912677890943894,2,40,0.5211127073230382,0.01866030322086555,COMPLETE
35,0.5776700973510742,2023-09-03 15:09:51.079994,2023-09-03 15:09:52.401840,0 days 00:00:01.321846,Sigmoid,,,,30,1,,,,0.005507007129948431,1,60,0.6886380642716453,0.02867761566819882,COMPLETE
36,0.37931790947914124,2023-09-03 15:09:52.402091,2023-09-03 15:10:03.250587,0 days 00:00:10.848496,ReLU,Tanh,,,4,18,20.0,,,0.012138808846929448,2,80,0.42576932502463477,0.003284236466998124,COMPLETE
37,0.39107224345207214,2023-09-03 15:10:03.250853,2023-09-03 15:10:05.342519,0 days 00:00:02.091666,Leaky,,,,10,20,,,,0.007876539631818306,1,40,0.6175111861449923,0.012560799150914907,COMPLETE
38,1.0457231998443604,2023-09-03 15:10:05.342779,2023-09-03 15:10:09.498286,0 days 00:00:04.155507,ReLU,ReLU,Sigmoid,Tanh,16,7,11.0,18.0,2.0,0.0032984801588012793,4,100,0.3680441432720686,0.08516626563153304,COMPLETE
39,0.5167191624641418,2023-09-03 15:10:09.498576,2023-09-03 15:10:13.063289,0 days 00:00:03.564713,Sigmoid,,,,12,15,,,,0.01615457088533548,1,80,0.49101293806216945,0.007039608328564679,COMPLETE
40,0.5492992997169495,2023-09-03 15:10:13.063545,2023-09-03 15:10:14.866803,0 days 00:00:01.803258,Leaky,Leaky,ReLU,,10,10,15.0,7.0,,0.05124257891314648,3,40,0.3079997351173526,0.025691497324839278,COMPLETE
41,0.3674162030220032,2023-09-03 15:10:14.867083,2023-09-03 15:10:18.233766,0 days 00:00:03.366683,Leaky,Leaky,,,12,23,21.0,,,0.010121310905485258,2,40,0.7170169616214153,0.005440053494165432,COMPLETE
42,0.37858083844184875,2023-09-03 15:10:18.234057,2023-09-03 15:10:21.118754,0 days 00:00:02.884697,Leaky,Leaky,,,12,22,19.0,,,0.023561440257559643,2,40,0.6409241131811574,0.0040671111866522275,COMPLETE
43,0.3304651081562042,2023-09-03 15:10:21.119239,2023-09-03 15:10:25.840994,0 days 00:00:04.721755,Leaky,Leaky,,,12,19,22.0,,,0.00983949510579639,2,40,0.7343044757209417,0.0023453677784393548,COMPLETE
44,0.3351185619831085,2023-09-03 15:10:25.841263,2023-09-03 15:10:32.489218,0 days 00:00:06.647955,Leaky,Leaky,,,12,19,22.0,,,0.004642561012024529,2,100,0.7313808517903125,0.0027012250490921572,COMPLETE
45,0.29902517795562744,2023-09-03 15:10:32.489481,2023-09-03 15:10:39.216071,0 days 00:00:06.726590,Leaky,Leaky,,,12,19,23.0,,,0.00466260496911333,2,100,0.7301085333982211,0.0024149353609510768,COMPLETE
46,0.3457774817943573,2023-09-03 15:10:39.216336,2023-09-03 15:10:47.761024,0 days 00:00:08.544688,Leaky,Leaky,Leaky,,12,19,23.0,17.0,,0.0037586745444149828,3,100,0.766475571670866,0.002451543204518252,COMPLETE
47,0.3019041419029236,2023-09-03 15:10:47.761305,2023-09-03 15:10:55.443936,0 days 00:00:07.682631,Leaky,Leaky,,,12,21,24.0,,,0.002323096273604794,2,100,0.7476559602885892,0.0012573252208379646,COMPLETE
48,0.35030362010002136,2023-09-03 15:10:55.444212,2023-09-03 15:11:01.989552,0 days 00:00:06.545340,Leaky,Leaky,,,12,21,22.0,,,0.002207856834517606,2,100,0.7115921093370023,0.0007895544986827477,COMPLETE
49,0.3175404369831085,2023-09-03 15:11:01.989824,2023-09-03 15:11:08.931405,0 days 00:00:06.941581,Leaky,Leaky,,,12,17,24.0,,,0.001166066104089536,2,100,0.7345489149725205,0.0021144168509139058,COMPLETE
50,0.3345208764076233,2023-09-03 15:11:08.931678,2023-09-03 15:11:14.750415,0 days 00:00:05.818737,Leaky,Leaky,,,12,17,24.0,,,0.001252457746779172,2,100,0.6344673972128217,0.0017097583191771908,COMPLETE
51,0.3260754644870758,2023-09-03 15:11:14.750721,2023-09-03 15:11:23.328923,0 days 00:00:08.578202,Leaky,Leaky,,,12,17,24.0,,,0.0010926441687214607,2,100,0.7961398771428899,0.0015121537667306326,COMPLETE
52,0.2836954891681671,2023-09-03 15:11:23.329274,2023-09-03 15:11:31.150829,0 days 00:00:07.821555,Leaky,Leaky,,,12,17,24.0,,,0.0010215687691601243,2,100,0.7993718735917781,0.0013098982150636248,COMPLETE
53,0.3159300684928894,2023-09-03 15:11:31.151271,2023-09-03 15:11:40.861758,0 days 00:00:09.710487,Leaky,Leaky,,,12,17,24.0,,,0.0009943229674365527,2,100,0.7862019670394684,0.0010797976231475132,COMPLETE
54,0.31080272793769836,2023-09-03 15:11:40.862034,2023-09-03 15:11:46.987473,0 days 00:00:06.125439,Leaky,Leaky,,,12,15,24.0,,,0.000807932957656151,2,100,0.6792308601399135,0.0011947551608875657,COMPLETE
55,0.35779210925102234,2023-09-03 15:11:46.987743,2023-09-03 15:11:53.160648,0 days 00:00:06.172905,Tanh,Leaky,,,12,18,23.0,,,0.0004790528533151229,2,100,0.6697955938658302,0.0004974804157267064,COMPLETE
