number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.6022692918777466,2023-09-03 18:39:01.464786,2023-09-03 18:39:23.831299,0 days 00:00:22.366513,ReLU,ReLU,Sigmoid,,4,12,22.0,19.0,,0.007192392660759067,3,80,0.2532595076248319,2.695563553962069e-05,COMPLETE
1,0.890565037727356,2023-09-03 18:39:23.831843,2023-09-03 18:39:27.680527,0 days 00:00:03.848684,Tanh,Leaky,ReLU,,10,6,4.0,6.0,,9.592375232423077e-05,3,60,0.15283164998255758,0.0003157483242430138,COMPLETE
2,0.7283748388290405,2023-09-03 18:39:27.681028,2023-09-03 18:40:06.200503,0 days 00:00:38.519475,Tanh,ReLU,,,2,3,16.0,,,1.572546627962894e-05,2,40,0.6128597757850306,0.0008838086437914336,COMPLETE
3,0.7096621990203857,2023-09-03 18:40:06.200985,2023-09-03 18:40:10.335188,0 days 00:00:04.134203,Leaky,,,,12,2,,,,0.0160442614122919,1,80,0.23968675187389424,0.0018804707488892887,COMPLETE
4,1.1067310571670532,2023-09-03 18:40:10.335650,2023-09-03 18:40:16.256312,0 days 00:00:05.920662,Leaky,ReLU,ReLU,,4,19,10.0,12.0,,6.663492166130493e-05,3,40,0.14743947230271998,0.0005929552111231651,COMPLETE
5,0.8464720845222473,2023-09-03 18:40:16.256802,2023-09-03 18:40:21.560836,0 days 00:00:05.304034,Sigmoid,Sigmoid,Tanh,,12,18,6.0,19.0,,5.347522735095299e-05,3,100,0.14715397386539575,0.0012062748472588924,COMPLETE
6,1.2037272453308105,2023-09-03 18:40:21.561327,2023-09-03 18:40:25.269337,0 days 00:00:03.708010,Sigmoid,ReLU,Leaky,Sigmoid,16,11,16.0,1.0,7.0,4.037175674432524e-05,4,80,0.14305810104504238,0.0038639238213909765,COMPLETE
7,0.6784810423851013,2023-09-03 18:40:25.269873,2023-09-03 18:40:28.490485,0 days 00:00:03.220612,Tanh,,,,4,10,,,,0.0004815211198809824,1,40,0.13103978888973042,0.00021416186880937965,COMPLETE
8,0.4935697317123413,2023-09-03 18:40:28.490940,2023-09-03 18:40:40.580959,0 days 00:00:12.090019,Leaky,Sigmoid,,,8,7,24.0,,,0.0661679578701289,2,100,0.29149895362015066,0.0019068414214044496,COMPLETE
9,0.5356598496437073,2023-09-03 18:40:40.581387,2023-09-03 18:42:20.566645,0 days 00:01:39.985258,Leaky,Sigmoid,,,2,19,12.0,,,0.0012472330848118669,2,80,0.7772413505437223,0.002123933996363313,COMPLETE
10,0.67438805103302,2023-09-03 18:42:20.567074,2023-09-03 18:43:03.714056,0 days 00:00:43.146982,ReLU,Tanh,Leaky,ReLU,8,24,23.0,23.0,23.0,0.0965372196704302,4,100,0.40048626828019124,0.03933090946567836,COMPLETE
11,0.6332370638847351,2023-09-03 18:43:03.714528,2023-09-03 18:44:46.698712,0 days 00:01:42.984184,Leaky,Sigmoid,,,2,18,12.0,,,0.0008795217897409759,2,100,0.644466743555871,0.013953126867183478,COMPLETE
12,0.5410295724868774,2023-09-03 18:44:46.699141,2023-09-03 18:44:52.313657,0 days 00:00:05.614516,Leaky,Sigmoid,,,30,7,17.0,,,0.0037705633338433126,2,60,0.7387453968564389,0.006325741972699794,COMPLETE
13,0.7037208080291748,2023-09-03 18:44:52.314087,2023-09-03 18:45:05.914420,0 days 00:00:13.600333,Leaky,,,,8,15,,,,0.06261344122791569,1,100,0.4384552955782984,0.08595409990966846,COMPLETE
14,0.5070724487304688,2023-09-03 18:45:05.914833,2023-09-03 18:45:17.719170,0 days 00:00:11.804337,Leaky,Sigmoid,,,8,24,8.0,,,0.0025342947222663278,2,80,0.34819853345727386,0.010092306878356213,COMPLETE
15,0.5854163765907288,2023-09-03 18:45:17.719608,2023-09-03 18:45:28.836647,0 days 00:00:11.117039,Leaky,Sigmoid,,,8,24,6.0,,,0.02338486607692695,2,80,0.3288348911325642,0.013075399104341365,COMPLETE
16,0.5024546384811401,2023-09-03 18:45:28.837080,2023-09-03 18:45:35.462171,0 days 00:00:06.625091,Leaky,,,,8,6,,,,0.03113809266104481,1,100,0.21071915065907224,0.01011352112850223,COMPLETE
17,0.794707179069519,2023-09-03 18:45:35.462608,2023-09-03 18:45:41.929484,0 days 00:00:06.466876,Sigmoid,,,,8,7,,,,0.03932604261498419,1,100,0.20252310323368133,0.03473636963481571,COMPLETE
18,0.610233724117279,2023-09-03 18:45:41.929931,2023-09-03 18:45:44.639710,0 days 00:00:02.709779,ReLU,,,,10,4,,,,0.014202583247254826,1,100,0.1009252779697261,0.003676635837250855,COMPLETE
19,0.4536712169647217,2023-09-03 18:45:44.640178,2023-09-03 18:45:48.229829,0 days 00:00:03.589651,Leaky,,,,16,9,,,,0.09590275315607447,1,100,0.2030028662952222,0.004551170897964561,COMPLETE
