number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.1963101476430893,2023-09-03 23:49:14.356782,2023-09-03 23:49:16.930051,0 days 00:00:02.573269,Sigmoid,Sigmoid,Tanh,,30,9,7.0,3.0,,0.0009180437361663629,3,80,0.20425214273450118,0.0003561405604582129,COMPLETE
1,0.23357033729553223,2023-09-03 23:49:16.930568,2023-09-03 23:49:18.374774,0 days 00:00:01.444206,Sigmoid,,,,30,23,,,,0.051551010463501204,1,40,0.3600052864614343,0.02213287071971982,COMPLETE
2,0.9373146295547485,2023-09-03 23:49:18.375242,2023-09-03 23:49:19.362272,0 days 00:00:00.987030,Leaky,Sigmoid,,,30,21,7.0,,,2.6223617124020064e-05,2,40,0.19011733812202256,0.0008488668071613806,COMPLETE
3,0.16280442476272583,2023-09-03 23:49:19.362746,2023-09-03 23:49:27.044201,0 days 00:00:07.681455,Sigmoid,Leaky,Tanh,,12,13,11.0,23.0,,0.0010202156636572653,3,80,0.27355095876667185,1.4108182330359155e-05,COMPLETE
4,0.26460176706314087,2023-09-03 23:49:27.044675,2023-09-03 23:49:40.381678,0 days 00:00:13.337003,Tanh,Tanh,,,4,18,10.0,,,2.148100210554328e-05,2,60,0.2834589322710934,8.250864721459919e-05,COMPLETE
5,0.8625236749649048,2023-09-03 23:49:40.382149,2023-09-03 23:49:46.051478,0 days 00:00:05.669329,ReLU,Leaky,Leaky,,10,9,21.0,5.0,,1.8769016384276398e-05,3,40,0.3470941881531167,0.00428677687658199,COMPLETE
6,0.9583532810211182,2023-09-03 23:49:46.051980,2023-09-03 23:49:48.404308,0 days 00:00:02.352328,Sigmoid,ReLU,Tanh,Sigmoid,30,1,21.0,14.0,21.0,6.598307602319691e-05,4,60,0.21243890827594616,0.027519986411781043,COMPLETE
7,1.0707042217254639,2023-09-03 23:49:48.404826,2023-09-03 23:49:52.719707,0 days 00:00:04.314881,Sigmoid,Tanh,Leaky,Sigmoid,8,6,9.0,14.0,4.0,1.1443798430151405e-05,4,40,0.1801766435292151,0.011994400499594491,COMPLETE
8,0.24327318370342255,2023-09-03 23:49:52.720193,2023-09-03 23:49:56.923428,0 days 00:00:04.203235,ReLU,,,,8,1,,,,0.0019318255361680458,1,100,0.1396484625566262,9.486620243695096e-05,COMPLETE
9,0.9352051019668579,2023-09-03 23:49:56.923857,2023-09-03 23:49:58.091335,0 days 00:00:01.167478,ReLU,Tanh,Leaky,Tanh,30,23,14.0,16.0,9.0,1.598734329081777e-05,4,40,0.15703853459699518,0.020163932897142432,COMPLETE
10,0.12556234002113342,2023-09-03 23:49:58.091795,2023-09-03 23:50:15.346112,0 days 00:00:17.254317,Leaky,Leaky,ReLU,,12,15,2.0,23.0,,0.0004214238833904732,3,80,0.6255917224629213,2.0132456391548983e-05,COMPLETE
11,0.11606737226247787,2023-09-03 23:50:15.346581,2023-09-03 23:50:32.694230,0 days 00:00:17.347649,Leaky,Leaky,ReLU,,12,16,2.0,24.0,,0.0004971973578196745,3,80,0.6183111251665409,1.1334445244358513e-05,COMPLETE
12,0.13353870809078217,2023-09-03 23:50:32.694694,2023-09-03 23:50:53.833349,0 days 00:00:21.138655,Leaky,Leaky,ReLU,,12,16,2.0,24.0,,0.00020379017137599027,3,80,0.7635568976640604,1.0682522349466251e-05,COMPLETE
13,0.15080752968788147,2023-09-03 23:50:53.833810,2023-09-03 23:51:08.569053,0 days 00:00:14.735243,Leaky,Leaky,,,12,16,1.0,,,0.00033050221758924484,2,80,0.667591489227481,2.4195171785462182e-05,COMPLETE
14,0.11322021484375,2023-09-03 23:51:08.569497,2023-09-03 23:51:19.713468,0 days 00:00:11.143971,Leaky,Leaky,ReLU,,16,12,4.0,20.0,,0.004079316193611464,3,80,0.5145192047401224,7.902035069166356e-05,COMPLETE
15,0.11096272617578506,2023-09-03 23:51:19.713910,2023-09-03 23:51:30.545415,0 days 00:00:10.831505,Leaky,ReLU,,,16,10,5.0,,,0.00495971312820003,2,100,0.5037330887346632,6.586135109336156e-05,COMPLETE
16,0.11551498621702194,2023-09-03 23:51:30.545837,2023-09-03 23:51:41.073263,0 days 00:00:10.527426,Tanh,ReLU,,,16,9,15.0,,,0.0056946884576529865,2,100,0.4842476018433174,9.332784972680301e-05,COMPLETE
17,0.13596977293491364,2023-09-03 23:51:41.073688,2023-09-03 23:51:48.215266,0 days 00:00:07.141578,Leaky,,,,16,5,,,,0.005957938225589774,1,100,0.43502776924066205,0.0003194180020453309,COMPLETE
