number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.3430077135562897,2023-08-31 19:28:29.705044,2023-08-31 19:28:30.399107,0 days 00:00:00.694063,Tanh,Tanh,ReLU,,,30,17,12.0,2.0,,,0.0315674882066734,3,40,0.1084114228239106,0.0010791573746845218,COMPLETE
1,0.20543991029262543,2023-08-31 19:28:30.399606,2023-08-31 19:28:37.824704,0 days 00:00:07.425098,Leaky,,,,,16,22,,,,,0.010335372386542991,1,60,0.7664755502709145,3.093907851623134e-05,COMPLETE
2,0.5079255104064941,2023-08-31 19:28:37.825132,2023-08-31 19:28:41.004167,0 days 00:00:03.179035,Leaky,ReLU,Sigmoid,Leaky,,10,24,7.0,5.0,17.0,,0.03173889962022938,4,40,0.15872617460168595,3.815164283451682e-05,COMPLETE
3,0.604084312915802,2023-08-31 19:28:41.004637,2023-08-31 19:28:51.952069,0 days 00:00:10.947432,ReLU,ReLU,Tanh,,,4,1,19.0,11.0,,,0.001143779769064579,3,60,0.17999253536802118,0.048797190852248686,COMPLETE
4,0.6935590505599976,2023-08-31 19:28:51.952520,2023-08-31 19:28:54.731576,0 days 00:00:02.779056,Sigmoid,,,,,16,14,,,,,9.456612100199639e-05,1,80,0.21334052245870774,0.0608587334777545,COMPLETE
5,0.2685382068157196,2023-08-31 19:28:54.731976,2023-08-31 19:29:07.195209,0 days 00:00:12.463233,Tanh,Tanh,Leaky,Tanh,,12,12,6.0,11.0,3.0,,0.0013757888434441138,4,60,0.5166788060369296,0.0044791242828472935,COMPLETE
6,0.21041339635849,2023-08-31 19:29:07.195649,2023-08-31 19:30:18.716160,0 days 00:01:11.520511,Leaky,Leaky,Leaky,,,2,20,10.0,14.0,,,0.00043723006999971483,3,60,0.6281088240121222,0.0070096005649232206,COMPLETE
7,0.46811118721961975,2023-08-31 19:30:18.716610,2023-08-31 19:30:32.878492,0 days 00:00:14.161882,ReLU,Leaky,Leaky,,,4,11,4.0,13.0,,,0.060382957917656715,3,80,0.18467103362421883,1.9634896482707678e-05,COMPLETE
8,0.30456632375717163,2023-08-31 19:30:32.878917,2023-08-31 19:31:09.108875,0 days 00:00:36.229958,Leaky,Sigmoid,Leaky,,,2,24,10.0,19.0,,,0.001912341447051652,3,100,0.1896294913817889,0.00010688477875796788,COMPLETE
9,0.5423179864883423,2023-08-31 19:31:09.109275,2023-08-31 19:31:30.433984,0 days 00:00:21.324709,Tanh,ReLU,Tanh,Sigmoid,ReLU,4,16,15.0,11.0,6.0,5.0,7.080461652806448e-05,5,40,0.3934024705182388,0.0027458956430249006,COMPLETE
10,0.7455067038536072,2023-08-31 19:31:30.434435,2023-08-31 19:31:42.925353,0 days 00:00:12.490918,Sigmoid,,,,,16,8,,,,,1.3166993499624839e-05,1,100,0.787515520403644,0.00018363634011147066,COMPLETE
11,0.16659015417099,2023-08-31 19:31:42.925757,2023-08-31 19:32:01.717560,0 days 00:00:18.791803,Leaky,Leaky,,,,8,20,24.0,,,,0.006079056589478952,2,60,0.785649113055944,1.1083365696267343e-05,COMPLETE
12,0.16274124383926392,2023-08-31 19:32:01.717962,2023-08-31 19:32:20.093494,0 days 00:00:18.375532,Leaky,Leaky,,,,8,20,24.0,,,,0.007904346299089949,2,60,0.7705864346786822,1.9215247795089825e-05,COMPLETE
13,0.20281824469566345,2023-08-31 19:32:20.093899,2023-08-31 19:32:29.173427,0 days 00:00:09.079528,Leaky,Leaky,,,,8,19,24.0,,,,0.006469406808993308,2,60,0.37800513214618076,1.3585736986060074e-05,COMPLETE
14,0.16287751495838165,2023-08-31 19:32:29.173835,2023-08-31 19:32:42.183409,0 days 00:00:13.009574,Leaky,Leaky,,,,8,8,24.0,,,,0.006570424787250367,2,60,0.5479822405717873,1.2295077021418318e-05,COMPLETE
15,0.362100750207901,2023-08-31 19:32:42.183822,2023-08-31 19:32:54.519601,0 days 00:00:12.335779,Leaky,Leaky,,,,8,5,19.0,,,,0.0827057074574354,2,60,0.5197458562608128,0.00015917855197503979,COMPLETE
16,0.18665632605552673,2023-08-31 19:32:54.520010,2023-08-31 19:33:02.996311,0 days 00:00:08.476301,Leaky,Sigmoid,,,,8,8,20.0,,,,0.013408439079475195,2,60,0.3551772400090521,6.745237831379929e-05,COMPLETE
