number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.6542330980300903,2023-08-31 19:28:05.435142,2023-08-31 19:28:12.023883,0 days 00:00:06.588741,Sigmoid,ReLU,,,,2,11,24.0,,,,7.642364341692706e-05,2,100,0.12943976446719543,0.0001497243527348467,COMPLETE
1,0.7176669836044312,2023-08-31 19:28:12.024172,2023-08-31 19:28:16.670234,0 days 00:00:04.646062,Tanh,Tanh,Sigmoid,Leaky,,8,12,2.0,19.0,1.0,,0.0019513621685201491,4,80,0.30104448919964083,0.04008726933635568,COMPLETE
2,0.15667448937892914,2023-08-31 19:28:16.670511,2023-08-31 19:29:00.653999,0 days 00:00:43.983488,Tanh,ReLU,ReLU,Tanh,Leaky,2,13,13.0,19.0,24.0,18.0,0.0022527176344185125,5,100,0.3808128302571543,3.852434559878101e-05,COMPLETE
3,0.32851532101631165,2023-08-31 19:29:00.654319,2023-08-31 19:29:02.311582,0 days 00:00:01.657263,Sigmoid,Leaky,,,,30,22,13.0,,,,0.029313015299002956,2,60,0.6443238564160807,0.004266607272142935,COMPLETE
4,0.6837992072105408,2023-08-31 19:29:02.311872,2023-08-31 19:29:09.616378,0 days 00:00:07.304506,Tanh,Sigmoid,ReLU,Sigmoid,Leaky,16,19,3.0,21.0,10.0,5.0,0.00015874630570417427,5,80,0.7426159067951945,0.0012729629184331911,COMPLETE
5,0.6322413086891174,2023-08-31 19:29:09.616676,2023-08-31 19:29:17.658650,0 days 00:00:08.041974,Leaky,Sigmoid,,,,2,16,14.0,,,,7.93970208647393e-05,2,40,0.4018591549298078,0.004112319373915785,COMPLETE
6,0.8395311832427979,2023-08-31 19:29:17.658937,2023-08-31 19:29:18.755732,0 days 00:00:01.096795,Tanh,,,,,12,21,,,,,3.1131560121525e-05,1,100,0.14890692972969333,0.00029155324648620325,COMPLETE
7,0.8578490614891052,2023-08-31 19:29:18.756023,2023-08-31 19:29:19.209773,0 days 00:00:00.453750,Tanh,Leaky,ReLU,,,30,3,5.0,14.0,,,4.2985672990093784e-05,3,60,0.14473511411317072,0.002088227338076215,COMPLETE
8,0.15413635969161987,2023-08-31 19:29:19.210058,2023-08-31 19:29:27.948186,0 days 00:00:08.738128,Leaky,Leaky,ReLU,,,8,11,6.0,18.0,,,0.002888219266834932,3,100,0.5351958642576715,0.00011376852425454886,COMPLETE
9,0.3095934987068176,2023-08-31 19:29:27.948450,2023-08-31 19:29:29.760506,0 days 00:00:01.812056,ReLU,,,,,12,19,,,,,0.015660904904365443,1,40,0.6408399619839752,0.0012950642233917572,COMPLETE
10,0.6442819833755493,2023-08-31 19:29:29.760752,2023-08-31 19:29:34.217419,0 days 00:00:04.456667,Leaky,Leaky,Leaky,ReLU,,8,5,7.0,3.0,24.0,,0.07953627345611247,4,100,0.22742430422197535,1.4705034356260457e-05,COMPLETE
11,0.13835500180721283,2023-08-31 19:29:34.217700,2023-08-31 19:29:42.927033,0 days 00:00:08.709333,Leaky,ReLU,ReLU,Tanh,Sigmoid,10,8,10.0,24.0,24.0,23.0,0.0021464799893409835,5,100,0.4465697695865644,2.4553905401466877e-05,COMPLETE
12,0.180416539311409,2023-08-31 19:29:42.927342,2023-08-31 19:29:50.569246,0 days 00:00:07.641904,Leaky,ReLU,Tanh,Tanh,,10,8,9.0,24.0,16.0,,0.0005885146438103037,4,100,0.47845879552643183,1.1670257921917482e-05,COMPLETE
13,0.1273103803396225,2023-08-31 19:29:50.569541,2023-08-31 19:29:57.515826,0 days 00:00:06.946285,Leaky,Tanh,ReLU,,,10,8,19.0,13.0,,,0.005488448571074193,3,100,0.5072632540806259,6.771662125151109e-05,COMPLETE
14,0.13444463908672333,2023-08-31 19:29:57.516092,2023-08-31 19:30:09.894982,0 days 00:00:12.378890,Leaky,Tanh,ReLU,Tanh,,10,7,19.0,7.0,16.0,,0.007044299516647743,4,100,0.7689688981727894,4.031748747655287e-05,COMPLETE
15,0.549733579158783,2023-08-31 19:30:09.895266,2023-08-31 19:30:19.881704,0 days 00:00:09.986438,ReLU,Tanh,Tanh,,,10,1,20.0,7.0,,,0.00984065981027554,3,100,0.758410780053712,6.025327087530661e-05,COMPLETE
16,0.16001510620117188,2023-08-31 19:30:19.881976,2023-08-31 19:30:37.482802,0 days 00:00:17.600826,Leaky,Tanh,Sigmoid,ReLU,,4,7,18.0,11.0,14.0,,0.007575005720031132,4,60,0.7593679766503405,0.0004447873149611481,COMPLETE
17,0.19024620950222015,2023-08-31 19:30:37.483074,2023-08-31 19:30:44.586262,0 days 00:00:07.103188,Leaky,Tanh,Leaky,Sigmoid,,10,5,19.0,10.0,7.0,,0.0004870564182608308,4,80,0.5663514495305324,5.3840532390622865e-05,COMPLETE
18,0.14101341366767883,2023-08-31 19:30:44.586536,2023-08-31 19:30:47.563291,0 days 00:00:02.976755,Leaky,Tanh,ReLU,,,10,15,24.0,5.0,,,0.006924687694547295,3,40,0.5485665990638141,2.5039060535414696e-05,COMPLETE
19,0.23625263571739197,2023-08-31 19:30:47.563554,2023-08-31 19:30:49.975646,0 days 00:00:02.412092,Sigmoid,Tanh,,,,16,9,16.0,,,,0.031115389294542283,2,100,0.3319225488646298,9.247140223207301e-05,COMPLETE
20,0.759615421295166,2023-08-31 19:30:49.975906,2023-08-31 19:31:07.738987,0 days 00:00:17.763081,ReLU,Tanh,ReLU,Leaky,,4,5,21.0,14.0,18.0,,1.091497204505273e-05,4,100,0.46322506050305773,1.1247816597642226e-05,COMPLETE
21,0.15736104547977448,2023-08-31 19:31:07.739259,2023-08-31 19:31:16.022574,0 days 00:00:08.283315,Leaky,ReLU,ReLU,Tanh,Sigmoid,10,9,10.0,8.0,20.0,24.0,0.004003921571984854,5,100,0.43526243477263993,2.784855023628829e-05,COMPLETE
22,1.124277949333191,2023-08-31 19:31:16.022866,2023-08-31 19:31:28.382066,0 days 00:00:12.359200,Leaky,ReLU,ReLU,Tanh,Sigmoid,10,7,16.0,1.0,20.0,12.0,0.0008388045542974973,5,100,0.6492150158438459,3.5554494517822354e-05,COMPLETE
23,0.35979923605918884,2023-08-31 19:31:28.382354,2023-08-31 19:31:35.435976,0 days 00:00:07.053622,Leaky,Tanh,ReLU,Tanh,ReLU,10,2,22.0,14.0,10.0,24.0,0.0011281490374538067,5,100,0.36642364279989276,0.00017991573670513377,COMPLETE
24,0.14605644345283508,2023-08-31 19:31:35.436253,2023-08-31 19:31:41.853022,0 days 00:00:06.416769,Leaky,Sigmoid,ReLU,,,10,10,11.0,23.0,,,0.00438662407301518,3,100,0.4680613882300358,8.545067886987536e-05,COMPLETE
25,0.1414303332567215,2023-08-31 19:31:41.853303,2023-08-31 19:31:54.530877,0 days 00:00:12.677574,Leaky,ReLU,Leaky,Tanh,,10,14,16.0,17.0,21.0,,0.0018298708327941127,4,100,0.7954513576787502,2.2011073670468136e-05,COMPLETE
26,0.20587526261806488,2023-08-31 19:31:54.531157,2023-08-31 19:31:57.425613,0 days 00:00:02.894456,Leaky,Tanh,Tanh,Tanh,Tanh,10,6,18.0,6.0,13.0,14.0,0.005062201180628823,5,60,0.260833435574616,1.009414300377697e-05,COMPLETE
27,0.20379209518432617,2023-08-31 19:31:57.425895,2023-08-31 19:32:03.878792,0 days 00:00:06.452897,Leaky,Tanh,Sigmoid,Tanh,,10,4,8.0,9.0,5.0,,0.014393748594515973,4,80,0.5285348922742534,5.357376405290431e-05,COMPLETE
28,0.418258398771286,2023-08-31 19:32:03.879080,2023-08-31 19:32:06.855447,0 days 00:00:02.976367,Sigmoid,ReLU,ReLU,ReLU,Sigmoid,16,8,11.0,16.0,16.0,1.0,0.001407748827351386,5,40,0.62714266870139,1.9612673439283337e-05,COMPLETE
29,0.2684077322483063,2023-08-31 19:32:06.855796,2023-08-31 19:32:09.071157,0 days 00:00:02.215361,ReLU,Sigmoid,ReLU,,,30,11,15.0,12.0,,,0.0031343426016029207,3,100,0.4247949682243243,0.00017994307295397384,COMPLETE
30,0.30787789821624756,2023-08-31 19:32:09.071423,2023-08-31 19:32:25.708423,0 days 00:00:16.637000,Sigmoid,Tanh,ReLU,,,4,3,22.0,21.0,,,0.0003463245276963209,3,100,0.5059452665950408,4.0648948600491446e-05,COMPLETE
31,0.16240862011909485,2023-08-31 19:32:25.708694,2023-08-31 19:32:28.952337,0 days 00:00:03.243643,Leaky,Tanh,ReLU,,,10,15,24.0,4.0,,,0.007664274941981545,3,40,0.5869713649541116,2.2525037865679923e-05,COMPLETE
32,0.1720598340034485,2023-08-31 19:32:28.952611,2023-08-31 19:32:31.895679,0 days 00:00:02.943068,Leaky,Tanh,ReLU,,,10,16,23.0,5.0,,,0.0022304940137623666,3,40,0.5406975889885728,2.5803249413908573e-05,COMPLETE
33,0.14406052231788635,2023-08-31 19:32:31.895962,2023-08-31 19:32:45.359278,0 days 00:00:13.463316,Leaky,Tanh,,,,2,13,24.0,,,,0.005184009351595002,2,40,0.665913549075704,6.645422349193733e-05,COMPLETE
34,0.20521099865436554,2023-08-31 19:32:45.359534,2023-08-31 19:32:49.058052,0 days 00:00:03.698518,Leaky,ReLU,ReLU,Sigmoid,,10,12,20.0,2.0,23.0,,0.0014878686289884228,4,40,0.5794843889619521,3.8388811210221046e-05,COMPLETE
