number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.5859916806221008,2023-08-31 21:59:53.708792,2023-08-31 21:59:55.084838,0 days 00:00:01.376046,ReLU,,,,,30,21,,,,,1.734591997926593e-05,1,80,0.5100167046828867,0.00014026753978531174,COMPLETE
1,0.2332579493522644,2023-08-31 21:59:55.085112,2023-08-31 22:00:08.212236,0 days 00:00:13.127124,Tanh,ReLU,ReLU,Tanh,,4,24,2.0,19.0,7.0,,0.0009545666857177619,4,100,0.35579632771977704,0.00018535622527154612,COMPLETE
2,0.5320204496383667,2023-08-31 22:00:08.212531,2023-08-31 22:00:18.119404,0 days 00:00:09.906873,ReLU,Sigmoid,Sigmoid,ReLU,,4,7,17.0,4.0,4.0,,3.858840117365775e-05,4,100,0.27543378279993475,0.0018106543852837267,COMPLETE
3,1.0203520059585571,2023-08-31 22:00:18.119712,2023-08-31 22:00:21.256975,0 days 00:00:03.137263,Leaky,Tanh,Leaky,Sigmoid,,10,24,1.0,8.0,21.0,,0.00043227046947137124,4,60,0.3190285293700378,0.08863613547391296,COMPLETE
4,0.7382264733314514,2023-08-31 22:00:21.257264,2023-08-31 22:00:21.918463,0 days 00:00:00.661199,Sigmoid,Tanh,Tanh,,,30,9,7.0,13.0,,,8.605409409604874e-05,3,60,0.21566418363950085,0.000126410038698242,COMPLETE
5,0.3809392750263214,2023-08-31 22:00:21.918758,2023-08-31 22:00:26.795300,0 days 00:00:04.876542,ReLU,Leaky,,,,4,14,7.0,,,,0.0650588598008124,2,40,0.47880766098970495,0.017149826499141343,COMPLETE
6,0.18475890159606934,2023-08-31 22:00:26.795579,2023-08-31 22:00:32.225736,0 days 00:00:05.430157,Leaky,Sigmoid,Leaky,ReLU,ReLU,10,9,23.0,10.0,5.0,3.0,0.023782214450645017,5,80,0.3784628973466634,9.315639920319257e-05,COMPLETE
7,0.39778512716293335,2023-08-31 22:00:32.226061,2023-08-31 22:00:34.205441,0 days 00:00:01.979380,Tanh,Leaky,Tanh,,,12,22,18.0,20.0,,,2.0059635892957877e-05,3,60,0.29439243622440353,0.010493940570399131,COMPLETE
8,0.23149016499519348,2023-08-31 22:00:34.205734,2023-08-31 22:00:37.340960,0 days 00:00:03.135226,ReLU,Leaky,,,,8,8,24.0,,,,0.002495681764412473,2,100,0.2390012081916784,0.0005773269004049623,COMPLETE
9,0.9536879062652588,2023-08-31 22:00:37.341222,2023-08-31 22:00:39.403182,0 days 00:00:02.061960,Sigmoid,Sigmoid,ReLU,,,30,12,11.0,21.0,,,2.652236321105603e-05,3,100,0.41274500291404526,0.00016269067707346316,COMPLETE
