number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.785576581954956,2023-08-31 22:54:46.602623,2023-08-31 22:54:53.033554,0 days 00:00:06.430931,Tanh,,,,,8,1,,,,,0.04018740172476428,1,80,0.43456513911993144,1.5247249940414302e-05,COMPLETE
1,1.0092970132827759,2023-08-31 22:54:53.033835,2023-08-31 22:54:56.108585,0 days 00:00:03.074750,ReLU,Leaky,Leaky,ReLU,Leaky,12,14,18.0,11.0,19.0,13.0,0.038899727533199036,5,100,0.1527323985252351,0.027501910759064954,COMPLETE
2,0.9766530394554138,2023-08-31 22:54:56.108880,2023-08-31 22:54:58.359542,0 days 00:00:02.250662,Sigmoid,Tanh,Tanh,Tanh,Sigmoid,12,16,1.0,21.0,13.0,18.0,0.0013285284652841105,5,60,0.16310966896017937,0.04280901591886348,COMPLETE
3,0.3268643021583557,2023-08-31 22:54:58.359831,2023-08-31 22:54:59.800472,0 days 00:00:01.440641,ReLU,Tanh,,,,30,18,17.0,,,,0.0011377943585930892,2,100,0.22671156631113276,3.7098995496115076e-05,COMPLETE
4,0.9488182067871094,2023-08-31 22:54:59.800746,2023-08-31 22:55:02.294598,0 days 00:00:02.493852,Leaky,Sigmoid,Sigmoid,,,30,3,12.0,16.0,,,0.04901484733448458,3,40,0.7822902485845901,0.010095187445236008,COMPLETE
5,0.5513085126876831,2023-08-31 22:55:02.294875,2023-08-31 22:55:05.414874,0 days 00:00:03.119999,Sigmoid,Tanh,,,,12,20,21.0,,,,0.00030042854242160556,2,80,0.2795752082558078,0.00022738847572536673,COMPLETE
6,0.5408663153648376,2023-08-31 22:55:05.415136,2023-08-31 22:55:16.006800,0 days 00:00:10.591664,Tanh,Tanh,Sigmoid,Sigmoid,Tanh,4,4,6.0,21.0,24.0,6.0,0.0007861887324333695,5,60,0.29842012334600676,5.7789678108509366e-05,COMPLETE
7,0.33331745862960815,2023-08-31 22:55:16.007105,2023-08-31 22:55:23.402854,0 days 00:00:07.395749,ReLU,ReLU,Sigmoid,Leaky,,12,14,22.0,11.0,24.0,,0.0003385844584427585,4,80,0.49855251241238446,0.0007664927661569859,COMPLETE
8,0.8939182162284851,2023-08-31 22:55:23.403119,2023-08-31 22:55:27.356272,0 days 00:00:03.953153,Tanh,Tanh,Sigmoid,,,8,19,2.0,23.0,,,1.7482998694850803e-05,3,80,0.19339895338993268,0.0003021539627690563,COMPLETE
9,0.9866952896118164,2023-08-31 22:55:27.356526,2023-08-31 22:55:28.394712,0 days 00:00:01.038186,Sigmoid,Sigmoid,ReLU,Leaky,ReLU,30,17,11.0,2.0,3.0,19.0,0.08373467452887097,5,80,0.15129956920295978,0.023788971884452857,COMPLETE
10,0.3668416142463684,2023-08-31 22:55:28.394981,2023-08-31 22:55:30.050682,0 days 00:00:01.655701,ReLU,,,,,10,24,,,,,0.004940577350466023,1,100,0.10839723550900758,1.4409339352552256e-05,COMPLETE
11,0.3281443417072296,2023-08-31 22:55:30.050934,2023-08-31 22:56:27.243036,0 days 00:00:57.192102,ReLU,ReLU,ReLU,Leaky,,2,9,23.0,8.0,24.0,,0.00014254420049771086,4,100,0.5373626438410473,0.002153832974274969,COMPLETE
12,0.46950146555900574,2023-08-31 22:56:27.243307,2023-08-31 22:56:49.054935,0 days 00:00:21.811628,ReLU,ReLU,,,,2,8,17.0,,,,7.613801843680873e-05,2,100,0.2738057602885608,0.003991629211245628,COMPLETE
13,0.7791101932525635,2023-08-31 22:56:49.055191,2023-08-31 22:56:55.638274,0 days 00:00:06.583083,ReLU,ReLU,ReLU,Leaky,,16,8,24.0,3.0,5.0,,5.360382166101577e-05,4,100,0.4583752598378605,0.0028102742688942473,COMPLETE
