number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.2486964613199234,2023-09-01 22:59:44.711293,2023-09-01 22:59:50.550760,0 days 00:00:05.839467,Sigmoid,Sigmoid,12,17,22.0,0.0006402428069471875,2,100,0.6320673243781549,6.638308453387986e-05,COMPLETE
1,0.26157742738723755,2023-09-01 22:59:50.551057,2023-09-01 22:59:51.781098,0 days 00:00:01.230041,Leaky,Tanh,12,9,13.0,0.002672433104147924,2,40,0.33940950530970965,0.00020830168401611402,COMPLETE
2,1.1134331226348877,2023-09-01 22:59:51.781380,2023-09-01 22:59:53.013580,0 days 00:00:01.232200,Sigmoid,,10,1,,4.735823407091953e-05,1,100,0.15354495421527184,0.0022311473908275,COMPLETE
3,0.33329451084136963,2023-09-01 22:59:53.013850,2023-09-01 22:59:54.903618,0 days 00:00:01.889768,ReLU,,4,5,,0.0018863062106590567,1,40,0.251133100228588,0.07731638118323023,COMPLETE
4,0.20637573301792145,2023-09-01 22:59:54.903882,2023-09-01 23:00:02.692647,0 days 00:00:07.788765,ReLU,,4,18,,0.0032346071238060895,1,60,0.6838245771274759,1.6044717504732726e-05,COMPLETE
5,0.3047209084033966,2023-09-01 23:00:02.692903,2023-09-01 23:00:04.799324,0 days 00:00:02.106421,ReLU,Sigmoid,30,23,18.0,0.0011312122304645402,2,80,0.6417515267361426,0.041379338357139674,COMPLETE
6,0.23106126487255096,2023-09-01 23:00:04.799591,2023-09-01 23:00:06.565379,0 days 00:00:01.765788,Tanh,Sigmoid,8,11,20.0,0.020373385037760348,2,80,0.1657494767659807,0.00020760083177554786,COMPLETE
7,0.42540422081947327,2023-09-01 23:00:06.565652,2023-09-01 23:00:07.494252,0 days 00:00:00.928600,Leaky,,8,6,,7.037792469497996e-05,1,80,0.11360551121125712,5.431997426047388e-05,COMPLETE
8,0.3102085292339325,2023-09-01 23:00:07.494504,2023-09-01 23:00:09.655240,0 days 00:00:02.160736,Sigmoid,,2,19,,0.061396881934090514,1,40,0.1468468293260312,5.877780456203979e-05,COMPLETE
9,0.3405149579048157,2023-09-01 23:00:09.655483,2023-09-01 23:00:13.341767,0 days 00:00:03.686284,ReLU,,4,20,,5.7869152103317156e-05,1,40,0.48462662026907355,2.2478963555965435e-05,COMPLETE
10,0.5458546280860901,2023-09-01 23:00:13.342008,2023-09-01 23:00:15.873131,0 days 00:00:02.531123,Tanh,,16,16,,1.0226581841026802e-05,1,60,0.7900407690544132,1.8315689503373813e-05,COMPLETE
11,0.21505320072174072,2023-09-01 23:00:15.873381,2023-09-01 23:00:17.832218,0 days 00:00:01.958837,Tanh,Leaky,8,12,4.0,0.021504346955314103,2,60,0.24796172269094355,0.00039234270198049257,COMPLETE
12,0.2302623838186264,2023-09-01 23:00:17.832473,2023-09-01 23:00:22.997500,0 days 00:00:05.165027,Tanh,Leaky,4,13,1.0,0.012787807598371993,2,60,0.3448823259486241,0.0014312827972045783,COMPLETE
13,0.27273979783058167,2023-09-01 23:00:22.997750,2023-09-01 23:00:24.880249,0 days 00:00:01.882499,ReLU,Leaky,8,14,1.0,0.007566978097416485,2,60,0.2389031751827674,1.2307983575430001e-05,COMPLETE
14,0.43449896574020386,2023-09-01 23:00:24.880512,2023-09-01 23:00:34.707533,0 days 00:00:09.827021,Tanh,,2,24,,0.0879627436308771,1,60,0.44300884294249715,0.00041832560253598025,COMPLETE
15,0.2269294261932373,2023-09-01 23:00:34.707782,2023-09-01 23:00:35.351287,0 days 00:00:00.643505,ReLU,ReLU,30,11,8.0,0.0045602002551757915,2,60,0.2554359646694097,1.0639768263212653e-05,COMPLETE
