number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.34227824211120605,2023-09-01 22:59:48.715002,2023-09-01 22:59:58.656169,0 days 00:00:09.941167,Leaky,Sigmoid,,4,2,17.0,,0.0003414893669703054,2,100,0.39282653817357227,0.0005176920574693388,COMPLETE
1,0.3617487847805023,2023-09-01 22:59:58.656465,2023-09-01 23:00:01.896265,0 days 00:00:03.239800,Leaky,Sigmoid,ReLU,30,11,8.0,12.0,7.358183246806853e-05,3,100,0.6521613540869797,4.03825406129057e-05,COMPLETE
2,0.20234164595603943,2023-09-01 23:00:01.896547,2023-09-01 23:00:04.678760,0 days 00:00:02.782213,Sigmoid,Sigmoid,ReLU,12,20,18.0,9.0,0.03380609082475069,3,80,0.30208529226802144,0.00012981168583509127,COMPLETE
3,0.27437305450439453,2023-09-01 23:00:04.679040,2023-09-01 23:00:05.990696,0 days 00:00:01.311656,ReLU,Tanh,,10,8,4.0,,0.002956336392185448,2,100,0.12079813749176656,5.4614901913049307e-05,COMPLETE
4,0.2565586268901825,2023-09-01 23:00:05.990974,2023-09-01 23:00:10.324498,0 days 00:00:04.333524,Leaky,Sigmoid,,2,10,9.0,,0.004151148325154619,2,40,0.22299143455396672,0.004560025525236075,COMPLETE
5,0.32648739218711853,2023-09-01 23:00:10.324774,2023-09-01 23:00:12.407523,0 days 00:00:02.082749,Tanh,,,4,3,,,0.08707324904154522,1,60,0.1825957193050149,0.0025726155842632054,COMPLETE
6,0.2353273630142212,2023-09-01 23:00:12.407784,2023-09-01 23:00:16.781287,0 days 00:00:04.373503,Tanh,,,8,10,,,0.0033428671702052737,1,60,0.7380193377815201,2.230041822637902e-05,COMPLETE
7,0.26137539744377136,2023-09-01 23:00:16.781574,2023-09-01 23:00:18.030975,0 days 00:00:01.249401,Leaky,Sigmoid,Sigmoid,30,17,22.0,20.0,0.025503838383580103,3,60,0.4077853390178127,0.0051265620327876635,COMPLETE
8,0.3301329016685486,2023-09-01 23:00:18.031250,2023-09-01 23:00:18.534456,0 days 00:00:00.503206,Tanh,,,12,6,,,0.0022841461188130192,1,40,0.17799775964188774,1.6676139300896306e-05,COMPLETE
9,0.2817560136318207,2023-09-01 23:00:18.534708,2023-09-01 23:00:27.772305,0 days 00:00:09.237597,ReLU,Leaky,Tanh,2,21,24.0,17.0,0.016175729055822468,3,80,0.18595429937339844,1.3470395248152402e-05,COMPLETE
10,1.3588932752609253,2023-09-01 23:00:27.772574,2023-09-01 23:00:30.663947,0 days 00:00:02.891373,Sigmoid,ReLU,ReLU,12,24,15.0,1.0,1.231108449945474e-05,3,80,0.31990187702242207,0.07615116618645848,COMPLETE
11,0.22460201382637024,2023-09-01 23:00:30.664222,2023-09-01 23:00:35.413685,0 days 00:00:04.749463,Sigmoid,,,8,16,,,0.012647539032738884,1,60,0.7954472742412584,0.0001442677186992605,COMPLETE
12,0.203420951962471,2023-09-01 23:00:35.413940,2023-09-01 23:00:37.665173,0 days 00:00:02.251233,Sigmoid,,,16,16,,,0.07864506233235997,1,80,0.5233771471802711,0.00017669469304129094,COMPLETE
13,0.2215651571750641,2023-09-01 23:00:37.665427,2023-09-01 23:00:40.638947,0 days 00:00:02.973520,Sigmoid,Tanh,,16,16,19.0,,0.04470610084050051,2,80,0.5327199904496694,0.0001945699869743817,COMPLETE
14,0.22687476873397827,2023-09-01 23:00:40.639206,2023-09-01 23:00:43.678303,0 days 00:00:03.039097,Sigmoid,ReLU,,16,20,11.0,,0.09652674089632414,2,80,0.5080406933730378,0.0001993189840791072,COMPLETE
15,0.22777065634727478,2023-09-01 23:00:43.678569,2023-09-01 23:00:45.759187,0 days 00:00:02.080618,Sigmoid,Leaky,Leaky,16,14,14.0,7.0,0.012161677010151792,3,80,0.30489449884014574,0.000558799887322331,COMPLETE
16,0.22185255587100983,2023-09-01 23:00:45.759454,2023-09-01 23:00:47.958445,0 days 00:00:02.198991,Sigmoid,,,12,19,,,0.042472679344084566,1,80,0.39658894687605173,5.3245882201161294e-05,COMPLETE
17,0.27461886405944824,2023-09-01 23:00:47.958707,2023-09-01 23:00:50.206532,0 days 00:00:02.247825,Sigmoid,Sigmoid,,10,23,1.0,,0.09574951195994144,2,80,0.26792269428640386,0.00010971423432683813,COMPLETE
18,0.18878066539764404,2023-09-01 23:00:50.206796,2023-09-01 23:00:54.200417,0 days 00:00:03.993621,Sigmoid,ReLU,,12,14,20.0,,0.00844089776372508,2,80,0.5366831113945906,0.00044017212170722976,COMPLETE
19,0.18776218593120575,2023-09-01 23:00:54.200665,2023-09-01 23:00:56.543307,0 days 00:00:02.342642,ReLU,ReLU,,12,13,20.0,,0.008121599802352391,2,40,0.6463746142893194,0.0010751348760672309,COMPLETE
20,0.25263848900794983,2023-09-01 23:00:56.543557,2023-09-01 23:00:58.707254,0 days 00:00:02.163697,ReLU,ReLU,,12,12,21.0,,0.0006741404337047964,2,40,0.6014883812281638,0.001288366560918489,COMPLETE
21,0.21338731050491333,2023-09-01 23:00:58.707501,2023-09-01 23:01:01.099077,0 days 00:00:02.391576,ReLU,ReLU,,12,14,19.0,,0.006561712865961914,2,40,0.6555452502239302,0.0005826335311110505,COMPLETE
22,0.22192351520061493,2023-09-01 23:01:01.099327,2023-09-01 23:01:02.774691,0 days 00:00:01.675364,ReLU,ReLU,,12,7,17.0,,0.009266204077884931,2,40,0.46484600465100323,0.0013729177585754602,COMPLETE
