number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.3373962342739105,2023-09-01 22:59:42.626690,2023-09-01 22:59:43.188988,0 days 00:00:00.562298,ReLU,30,4,0.0011139145740516382,1,60,0.27509070143490355,0.007197790470083683,COMPLETE
1,0.36199259757995605,2023-09-01 22:59:43.189252,2023-09-01 22:59:44.057615,0 days 00:00:00.868363,Leaky,8,2,0.005357032823742494,1,60,0.13782733978876927,0.027771202868410443,COMPLETE
2,0.23839572072029114,2023-09-01 22:59:44.057871,2023-09-01 22:59:46.559652,0 days 00:00:02.501781,ReLU,12,19,0.015387402929405887,1,100,0.3396302640598253,1.2678364505157777e-05,COMPLETE
3,0.3270462155342102,2023-09-01 22:59:46.559911,2023-09-01 22:59:47.801394,0 days 00:00:01.241483,Sigmoid,12,14,0.09895635497058781,1,100,0.17007255443291822,0.005406285035799214,COMPLETE
4,0.40055471658706665,2023-09-01 22:59:47.801663,2023-09-01 22:59:55.030181,0 days 00:00:07.228518,Leaky,2,12,1.5056153662126791e-05,1,60,0.32633728979865806,0.0014999847993062716,COMPLETE
5,0.707932710647583,2023-09-01 22:59:55.030444,2023-09-01 22:59:56.076873,0 days 00:00:01.046429,Tanh,4,21,1.1915211473240148e-05,1,40,0.13501914168571555,0.030327495839525813,COMPLETE
6,0.7571154236793518,2023-09-01 22:59:56.077131,2023-09-01 22:59:56.543204,0 days 00:00:00.466073,ReLU,30,6,5.236341681555949e-05,1,80,0.174753283566907,0.0004451140229374746,COMPLETE
7,0.25477761030197144,2023-09-01 22:59:56.543473,2023-09-01 22:59:58.843404,0 days 00:00:02.299931,ReLU,10,3,0.015181733301874773,1,40,0.7130520036379104,2.212900465365675e-05,COMPLETE
8,0.22092977166175842,2023-09-01 22:59:58.843650,2023-09-01 23:00:02.707924,0 days 00:00:03.864274,Leaky,16,24,0.024316043812505073,1,100,0.7190939024049908,6.522726164731927e-05,COMPLETE
9,0.22515633702278137,2023-09-01 23:00:02.708155,2023-09-01 23:00:06.246380,0 days 00:00:03.538225,Leaky,4,19,0.010579633691219968,1,60,0.3068566321634161,6.0571506119032616e-05,COMPLETE
10,0.2406655251979828,2023-09-01 23:00:06.246608,2023-09-01 23:00:10.011979,0 days 00:00:03.765371,Sigmoid,16,24,0.06902434751560893,1,100,0.6962194072597067,0.00014803585792105728,COMPLETE
11,0.21726290881633759,2023-09-01 23:00:10.012220,2023-09-01 23:00:17.528122,0 days 00:00:07.515902,Leaky,4,17,0.002659159358395797,1,80,0.4895705985291862,6.261205806929873e-05,COMPLETE
12,0.2237258106470108,2023-09-01 23:00:17.528363,2023-09-01 23:00:19.794218,0 days 00:00:02.265855,Leaky,16,13,0.0014195718535206928,1,80,0.5185470317972942,0.00010683729880188797,COMPLETE
13,0.22185367345809937,2023-09-01 23:00:19.794468,2023-09-01 23:00:27.682071,0 days 00:00:07.887603,Leaky,4,24,0.0003718902839420025,1,80,0.5134380490016934,3.736131110209727e-05,COMPLETE
14,0.19770343601703644,2023-09-01 23:00:27.682314,2023-09-01 23:00:31.947110,0 days 00:00:04.264796,Tanh,16,16,0.0028987809916061744,1,100,0.7958126364947938,1.0294186301324455e-05,COMPLETE
15,0.20988096296787262,2023-09-01 23:00:31.947357,2023-09-01 23:00:35.347670,0 days 00:00:03.400313,Tanh,10,16,0.003139330672047539,1,80,0.5203406591251191,1.2982242277838685e-05,COMPLETE
16,0.27492555975914,2023-09-01 23:00:35.347904,2023-09-01 23:00:41.562913,0 days 00:00:06.215009,Tanh,10,10,0.0003706227043613588,1,100,0.7664490120053482,1.6539664206000722e-05,COMPLETE
17,0.23709306120872498,2023-09-01 23:00:41.563163,2023-09-01 23:00:45.010005,0 days 00:00:03.446842,Tanh,10,8,0.0038735791074868808,1,80,0.5336180050590905,1.068723579302741e-05,COMPLETE
18,0.2752598822116852,2023-09-01 23:00:45.010246,2023-09-01 23:00:50.921710,0 days 00:00:05.911464,Tanh,2,16,0.0004843546594211504,1,40,0.39811546350106497,0.00021025360734579207,COMPLETE
19,0.1943892538547516,2023-09-01 23:00:50.921952,2023-09-01 23:00:57.049225,0 days 00:00:06.127273,Tanh,8,16,0.003103083593987695,1,100,0.6186528977885509,2.6485475442312024e-05,COMPLETE
20,0.20790986716747284,2023-09-01 23:00:57.049455,2023-09-01 23:01:04.893695,0 days 00:00:07.844240,Tanh,8,11,0.007304803696976949,1,100,0.7917128678009058,2.9097702001606194e-05,COMPLETE
21,0.2170209437608719,2023-09-01 23:01:04.893936,2023-09-01 23:01:12.700895,0 days 00:00:07.806959,Tanh,8,10,0.008129077418756993,1,100,0.7906136605621744,4.456280025936087e-05,COMPLETE
22,0.20116941630840302,2023-09-01 23:01:12.701130,2023-09-01 23:01:18.940065,0 days 00:00:06.238935,Tanh,8,11,0.001792582291887809,1,100,0.6253511418478318,2.6770965738269667e-05,COMPLETE
23,0.19291041791439056,2023-09-01 23:01:18.940306,2023-09-01 23:01:25.319547,0 days 00:00:06.379241,Tanh,8,14,0.0017659490848476965,1,100,0.6389113527099838,1.0451016379174025e-05,COMPLETE
24,0.21774421632289886,2023-09-01 23:01:25.319794,2023-09-01 23:01:31.565531,0 days 00:00:06.245737,Tanh,8,14,0.0008316453928239591,1,100,0.6264804915445827,1.035732481056321e-05,COMPLETE
25,0.20519010722637177,2023-09-01 23:01:31.565775,2023-09-01 23:01:34.887980,0 days 00:00:03.322205,Tanh,16,18,0.003337596787693361,1,100,0.6153619810319911,2.4859828474237547e-05,COMPLETE
26,0.2881603240966797,2023-09-01 23:01:34.888213,2023-09-01 23:01:39.322817,0 days 00:00:04.434604,Sigmoid,8,21,0.0007449445004534877,1,100,0.4460800241737799,1.0283794618840985e-05,COMPLETE
27,0.21647784113883972,2023-09-01 23:01:39.323057,2023-09-01 23:01:45.331084,0 days 00:00:06.008027,Tanh,8,14,0.001860967422869432,1,100,0.6010410457452021,0.00025297963284916795,COMPLETE
28,0.3075255751609802,2023-09-01 23:01:45.331313,2023-09-01 23:01:47.602100,0 days 00:00:02.270787,Tanh,16,21,0.0002175067480123673,1,100,0.41492685169866494,0.00010094447529018992,COMPLETE
29,0.2583284378051758,2023-09-01 23:01:47.602335,2023-09-01 23:01:48.476084,0 days 00:00:00.873749,Tanh,30,17,0.0011530951071407087,1,100,0.2574490420217167,2.365919057946524e-05,COMPLETE
30,0.22627657651901245,2023-09-01 23:01:48.476314,2023-09-01 23:01:50.858492,0 days 00:00:02.382178,Tanh,8,8,0.004690826947741904,1,40,0.5987302838211952,3.994133069200713e-05,COMPLETE
31,0.2149403691291809,2023-09-01 23:01:50.858738,2023-09-01 23:01:57.412470,0 days 00:00:06.553732,Tanh,8,15,0.0019428945543650434,1,100,0.6542700099797834,2.111955735594907e-05,COMPLETE
32,0.22567985951900482,2023-09-01 23:01:57.412712,2023-09-01 23:02:03.301897,0 days 00:00:05.889185,Tanh,8,12,0.0019166883571112548,1,100,0.589053852217843,3.08078409132183e-05,COMPLETE
33,0.22909709811210632,2023-09-01 23:02:03.302146,2023-09-01 23:02:07.281320,0 days 00:00:03.979174,Tanh,8,9,0.005731059928375671,1,60,0.6729971339840705,1.783695841647759e-05,COMPLETE
34,0.29373958706855774,2023-09-01 23:02:07.281562,2023-09-01 23:02:12.676390,0 days 00:00:05.394828,ReLU,12,6,0.0011798158709509087,1,100,0.7930768538386923,7.832904225622283e-05,COMPLETE
35,0.22149749100208282,2023-09-01 23:02:12.676638,2023-09-01 23:02:18.231612,0 days 00:00:05.554974,Sigmoid,8,13,0.0023632430702399915,1,100,0.5694163685467601,1.7329871432132505e-05,COMPLETE
36,0.21658846735954285,2023-09-01 23:02:18.231854,2023-09-01 23:02:28.235475,0 days 00:00:10.003621,Tanh,2,19,0.005678866083417393,1,60,0.4606232207516708,3.5947355777295645e-05,COMPLETE
