number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_fl6,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.18755385279655457,2023-09-01 23:43:02.300826,2023-09-01 23:43:21.945921,0 days 00:00:19.645095,Leaky,Leaky,Sigmoid,ReLU,,,2,21,23.0,9.0,10.0,,,0.0007331753668045746,4,60,0.44391427605745215,0.0009382635587012022,COMPLETE
1,0.24835462868213654,2023-09-01 23:43:21.946256,2023-09-01 23:43:23.847547,0 days 00:00:01.901291,ReLU,Sigmoid,Tanh,Leaky,ReLU,Tanh,30,11,6.0,22.0,6.0,14.0,10.0,0.0012436737879188728,6,40,0.6315136834101789,9.055178008551037e-05,COMPLETE
2,0.6428841948509216,2023-09-01 23:43:23.847886,2023-09-01 23:43:26.057050,0 days 00:00:02.209164,Leaky,Tanh,Leaky,Leaky,Tanh,,8,10,18.0,10.0,12.0,11.0,,2.295289243435775e-05,5,60,0.1674419678638009,0.00043665528527018127,COMPLETE
3,1.0499205589294434,2023-09-01 23:43:26.057370,2023-09-01 23:43:29.861214,0 days 00:00:03.803844,ReLU,Tanh,Leaky,Sigmoid,,,8,1,7.0,13.0,14.0,,,0.014732215234878525,4,80,0.2321019992510997,0.02941387737224728,COMPLETE
4,0.4146413505077362,2023-09-01 23:43:29.861518,2023-09-01 23:43:49.455308,0 days 00:00:19.593790,Sigmoid,Tanh,,,,,2,8,2.0,,,,,0.015472481114013637,2,100,0.4047107026226895,0.09264109744207374,COMPLETE
5,1.0196218490600586,2023-09-01 23:43:49.455593,2023-09-01 23:43:50.909587,0 days 00:00:01.453994,ReLU,Leaky,Tanh,Leaky,Sigmoid,,16,2,8.0,3.0,11.0,17.0,,0.0017314635483607322,5,80,0.13783687452801735,0.034307204916575545,COMPLETE
6,0.5290337800979614,2023-09-01 23:43:50.909895,2023-09-01 23:43:59.937479,0 days 00:00:09.027584,Sigmoid,ReLU,Tanh,,,,10,3,16.0,3.0,,,,1.693279135759187e-05,3,100,0.6979297639623921,0.005252434174000407,COMPLETE
7,0.2671563923358917,2023-09-01 23:43:59.937791,2023-09-01 23:44:00.297998,0 days 00:00:00.360207,Tanh,,,,,,30,16,,,,,,0.02387261836954164,1,40,0.26610183367754964,0.0036473868246037814,COMPLETE
8,1.0143675804138184,2023-09-01 23:44:00.298262,2023-09-01 23:44:01.318778,0 days 00:00:01.020516,Tanh,Leaky,Leaky,,,,16,8,2.0,1.0,,,,2.9099834898413564e-05,3,60,0.20199497452341567,0.000196811639121866,COMPLETE
9,0.38151562213897705,2023-09-01 23:44:01.319057,2023-09-01 23:44:03.188408,0 days 00:00:01.869351,Tanh,Leaky,Sigmoid,,,,16,8,14.0,12.0,,,,0.00089370699810014,3,100,0.21163135584695117,0.03201665493054476,COMPLETE
10,0.24813030660152435,2023-09-01 23:44:03.188690,2023-09-01 23:44:25.507075,0 days 00:00:22.318385,Leaky,ReLU,Sigmoid,ReLU,Leaky,Leaky,2,24,24.0,19.0,21.0,2.0,23.0,0.00012158877518846903,6,60,0.3812551392309495,0.0012078269717223278,COMPLETE
11,0.22722077369689941,2023-09-01 23:44:25.507383,2023-09-01 23:44:48.053165,0 days 00:00:22.545782,Leaky,ReLU,Sigmoid,ReLU,Leaky,Leaky,2,24,24.0,22.0,24.0,1.0,24.0,0.00016905043190710135,6,60,0.38617381281635527,1.173750027606512e-05,COMPLETE
12,0.7005026340484619,2023-09-01 23:44:48.053476,2023-09-01 23:44:49.056914,0 days 00:00:01.003438,Leaky,ReLU,Sigmoid,ReLU,Leaky,,12,24,24.0,17.0,23.0,1.0,,0.00014749109853436768,5,60,0.10323481013867404,1.2894535034954662e-05,COMPLETE
13,0.9414651393890381,2023-09-01 23:44:49.057226,2023-09-01 23:45:07.210154,0 days 00:00:18.152928,Leaky,Sigmoid,ReLU,ReLU,,,2,18,20.0,8.0,4.0,,,0.00026422099682755823,4,60,0.38456339408968476,2.5183428055786224e-05,COMPLETE
14,1.016606330871582,2023-09-01 23:45:07.210500,2023-09-01 23:45:22.606481,0 days 00:00:15.395981,Leaky,Leaky,Sigmoid,Tanh,Leaky,ReLU,4,20,20.0,24.0,18.0,7.0,24.0,0.09638755026786514,6,60,0.48785439933233987,6.278169786408673e-05,COMPLETE
15,0.22748495638370514,2023-09-01 23:45:22.606791,2023-09-01 23:45:29.927377,0 days 00:00:07.320586,Leaky,,,,,,2,21,,,,,,0.00040467100951957583,1,60,0.32755433861536143,1.767734041884254e-05,COMPLETE
16,0.24037571251392365,2023-09-01 23:45:29.927642,2023-09-01 23:45:52.503261,0 days 00:00:22.575619,Leaky,ReLU,Sigmoid,ReLU,,,2,15,21.0,15.0,8.0,,,6.359646645869023e-05,4,60,0.5141405365811124,5.7390405479071e-05,COMPLETE
17,0.21250393986701965,2023-09-01 23:45:52.503551,2023-09-01 23:46:04.002139,0 days 00:00:11.498588,Leaky,Leaky,ReLU,ReLU,Sigmoid,,4,21,11.0,8.0,17.0,23.0,,0.00047345003293638993,5,80,0.3238137311426717,0.0003405192734406322,COMPLETE
18,0.2520085573196411,2023-09-01 23:46:04.002437,2023-09-01 23:46:14.003209,0 days 00:00:10.000772,Sigmoid,Leaky,ReLU,Sigmoid,Sigmoid,,4,20,11.0,7.0,1.0,24.0,,0.0026740284811408656,5,80,0.29319553855036135,0.0006272983020366851,COMPLETE
19,0.20622622966766357,2023-09-01 23:46:14.003509,2023-09-01 23:46:28.781586,0 days 00:00:14.778077,Leaky,Leaky,,,,,4,14,11.0,,,,,0.0005025153673821545,2,80,0.740861910787657,0.0001981946625223574,COMPLETE
20,0.1685040295124054,2023-09-01 23:46:28.781859,2023-09-01 23:46:35.225163,0 days 00:00:06.443304,Leaky,Leaky,,,,,10,14,14.0,,,,,0.004168552117721583,2,80,0.7669319138309793,0.000195445591074819,COMPLETE
21,0.19746224582195282,2023-09-01 23:46:35.225411,2023-09-01 23:46:41.854624,0 days 00:00:06.629213,Leaky,Leaky,,,,,10,14,14.0,,,,,0.0038704192501683886,2,80,0.7857457990050636,0.00021308047390781966,COMPLETE
22,0.14910383522510529,2023-09-01 23:46:41.854886,2023-09-01 23:46:48.473424,0 days 00:00:06.618538,Leaky,Leaky,,,,,10,17,14.0,,,,,0.0036174617237857924,2,80,0.7894097825864719,0.0010589412449677133,COMPLETE
23,0.18987175822257996,2023-09-01 23:46:48.473678,2023-09-01 23:46:53.519801,0 days 00:00:05.046123,Leaky,Leaky,,,,,10,17,17.0,,,,,0.0044463862159524565,2,80,0.596515281204238,0.0011898050061593388,COMPLETE
24,0.22310583293437958,2023-09-01 23:46:53.520060,2023-09-01 23:46:57.226174,0 days 00:00:03.706114,Leaky,,,,,,10,18,,,,,,0.006795500656037681,1,80,0.5654900981637825,0.0017485633541719152,COMPLETE
25,0.20501117408275604,2023-09-01 23:46:57.226423,2023-09-01 23:47:01.334146,0 days 00:00:04.107723,Leaky,Leaky,Sigmoid,,,,10,13,14.0,5.0,,,,0.0009573950511103802,3,40,0.7972637090024407,0.0006760571847642413,COMPLETE
26,0.23674285411834717,2023-09-01 23:47:01.334419,2023-09-01 23:47:06.011106,0 days 00:00:04.676687,ReLU,Sigmoid,,,,,12,11,9.0,,,,,0.0024890885843278157,2,80,0.6542611056116795,0.002165992215106128,COMPLETE
27,0.21361511945724487,2023-09-01 23:47:06.011359,2023-09-01 23:47:11.713746,0 days 00:00:05.702387,Tanh,Leaky,Tanh,Tanh,,,10,19,5.0,13.0,9.0,,,0.0015759688235632335,4,80,0.4665965150425075,0.0007064332748134702,COMPLETE
28,0.19355377554893494,2023-09-01 23:47:11.714019,2023-09-01 23:47:19.163894,0 days 00:00:07.449875,Sigmoid,Leaky,ReLU,,,,10,22,16.0,10.0,,,,0.007131128779813254,3,100,0.5593580791322323,0.00036475606099845617,COMPLETE
29,0.2679688632488251,2023-09-01 23:47:19.164167,2023-09-01 23:47:20.020663,0 days 00:00:00.856496,ReLU,,,,,,30,11,,,,,,0.000982110770017168,1,40,0.6514909649471667,0.00010870665823734949,COMPLETE
30,0.2174910604953766,2023-09-01 23:47:20.020915,2023-09-01 23:47:22.844589,0 days 00:00:02.823674,Leaky,Leaky,,,,,10,16,22.0,,,,,0.0014943813504053167,2,40,0.6711143459172257,0.0038863005782715783,COMPLETE
31,0.18966920673847198,2023-09-01 23:47:22.844852,2023-09-01 23:47:27.881508,0 days 00:00:05.036656,Leaky,Leaky,,,,,10,17,17.0,,,,,0.00513423189446994,2,80,0.6020258131974398,0.0010791155021622572,COMPLETE
