number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.2523239552974701,2023-09-01 22:59:46.489161,2023-09-01 22:59:54.346439,0 days 00:00:07.857278,Sigmoid,ReLU,Tanh,ReLU,2,8,4.0,6.0,11.0,0.007519449756763206,4,40,0.26531514751886004,0.00036913951006710204,COMPLETE
1,0.9384577870368958,2023-09-01 22:59:54.346767,2023-09-01 22:59:56.581106,0 days 00:00:02.234339,Leaky,Sigmoid,Tanh,,16,2,5.0,13.0,,2.9512602221107232e-05,3,60,0.4376558721701343,0.006548860405231937,COMPLETE
2,0.3144170939922333,2023-09-01 22:59:56.581415,2023-09-01 23:00:09.598751,0 days 00:00:13.017336,Sigmoid,ReLU,Tanh,ReLU,4,16,3.0,18.0,24.0,0.026549728361952525,4,60,0.5581767352868044,0.003949442994569494,COMPLETE
3,1.0128240585327148,2023-09-01 23:00:09.599059,2023-09-01 23:00:15.349418,0 days 00:00:05.750359,Tanh,Leaky,ReLU,Sigmoid,4,13,17.0,5.0,24.0,0.0007220222741001829,4,40,0.3542252777997711,0.02775406233422347,COMPLETE
4,0.42246320843696594,2023-09-01 23:00:15.349723,2023-09-01 23:00:21.963131,0 days 00:00:06.613408,Tanh,,,,2,11,,,,0.07123905541046233,1,60,0.2941069597584261,0.022089177809906754,COMPLETE
5,0.34515297412872314,2023-09-01 23:00:21.963415,2023-09-01 23:00:23.245154,0 days 00:00:01.281739,ReLU,Leaky,,,10,2,23.0,,,0.003568016639082551,2,40,0.2970721464988608,1.096647826953603e-05,COMPLETE
6,0.9893752336502075,2023-09-01 23:00:23.245437,2023-09-01 23:00:47.917727,0 days 00:00:24.672290,Sigmoid,Sigmoid,Leaky,Sigmoid,2,18,22.0,4.0,7.0,0.0019796679292732743,4,100,0.3260123093519602,0.02044228896884329,COMPLETE
7,0.3559461236000061,2023-09-01 23:00:47.918044,2023-09-01 23:00:53.633893,0 days 00:00:05.715849,ReLU,,,,4,7,,,,0.03249567506474293,1,80,0.37674297530845124,0.04929221490968865,COMPLETE
8,0.26006269454956055,2023-09-01 23:00:53.634162,2023-09-01 23:00:54.283194,0 days 00:00:00.649032,Tanh,Leaky,Tanh,,16,22,15.0,9.0,,0.009254894968276644,3,60,0.11772073392709977,1.4093248015450786e-05,COMPLETE
9,0.7234667539596558,2023-09-01 23:00:54.283468,2023-09-01 23:00:57.630754,0 days 00:00:03.347286,Tanh,Sigmoid,Sigmoid,,12,13,13.0,22.0,,2.3191388388012254e-05,3,100,0.3000439937563439,0.000518469057444155,COMPLETE
10,0.3638150095939636,2023-09-01 23:00:57.631034,2023-09-01 23:00:58.632820,0 days 00:00:01.001786,Sigmoid,ReLU,,,8,7,6.0,,,0.0003659526160206033,2,40,0.18596639204801552,0.00029690622714927144,COMPLETE
11,0.2590664029121399,2023-09-01 23:00:58.633090,2023-09-01 23:00:59.451054,0 days 00:00:00.817964,Leaky,Tanh,Tanh,,16,24,11.0,9.0,,0.008584359945295343,3,80,0.11292718288618264,4.67774890985713e-05,COMPLETE
12,0.20851701498031616,2023-09-01 23:00:59.451340,2023-09-01 23:01:00.341480,0 days 00:00:00.890140,Leaky,Tanh,Tanh,ReLU,30,23,7.0,10.0,12.0,0.008235507164061498,4,80,0.176396340748988,0.00011047547524099204,COMPLETE
13,0.529244601726532,2023-09-01 23:01:00.341790,2023-09-01 23:01:01.354598,0 days 00:00:01.012808,Leaky,Tanh,Tanh,ReLU,30,8,8.0,1.0,12.0,0.09966364062582032,4,80,0.2051844853898284,0.0001797303356381192,COMPLETE
14,0.3785921633243561,2023-09-01 23:01:01.354906,2023-09-01 23:01:01.856223,0 days 00:00:00.501317,Sigmoid,Tanh,Sigmoid,ReLU,30,19,1.0,12.0,12.0,0.006020147365773037,4,40,0.19930524648473028,0.0012140626603703976,COMPLETE
15,0.2317628562450409,2023-09-01 23:01:01.856517,2023-09-01 23:01:02.995104,0 days 00:00:01.138587,Leaky,ReLU,Leaky,Tanh,30,10,9.0,9.0,4.0,0.002024445242377362,4,80,0.23508320762021226,0.00012006004703808447,COMPLETE
16,0.19426783919334412,2023-09-01 23:01:02.995399,2023-09-01 23:01:05.561705,0 days 00:00:02.566306,Leaky,Tanh,,,30,15,9.0,,,0.0012510278250360198,2,80,0.7741296806626157,7.076379735614387e-05,COMPLETE
17,0.2581713795661926,2023-09-01 23:01:05.561961,2023-09-01 23:01:07.718319,0 days 00:00:02.156358,Leaky,Tanh,,,30,20,10.0,,,0.0002114177687402847,2,80,0.6407976562661012,6.965327333335183e-05,COMPLETE
