number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.5649030804634094,2023-08-24 11:56:05.970244,2023-08-24 11:56:07.092890,0 days 00:00:01.122646,ReLU,Tanh,ReLU,,,12,3,12.0,4.0,,,0.003838981673018101,3,60,0.12139000082050878,7.250322214496823e-05,COMPLETE
1,0.43688756227493286,2023-08-24 11:56:07.093215,2023-08-24 11:56:07.269686,0 days 00:00:00.176471,ReLU,Leaky,,,,30,18,1.0,,,,0.018432526796025188,2,80,0.3670626810268287,0.002574118059358533,COMPLETE
2,0.36899226903915405,2023-08-24 11:56:07.269954,2023-08-24 11:56:08.402526,0 days 00:00:01.132572,Sigmoid,,,,,4,15,,,,,0.0034727188049752606,1,100,0.4342251900872216,0.00037925041122079513,COMPLETE
3,0.21167738735675812,2023-08-24 11:56:08.402795,2023-08-24 11:56:08.672492,0 days 00:00:00.269697,ReLU,Leaky,,,,16,14,16.0,,,,0.004193525260758937,2,40,0.743976487177111,0.002469641199944344,COMPLETE
4,0.26917949318885803,2023-08-24 11:56:08.672750,2023-08-24 11:56:09.557456,0 days 00:00:00.884706,ReLU,ReLU,Tanh,Sigmoid,ReLU,4,14,11.0,14.0,8.0,10.0,0.011011374356262593,5,40,0.4598552538163811,0.00039143464042851097,COMPLETE
5,0.8059239387512207,2023-08-24 11:56:09.557748,2023-08-24 11:56:09.811933,0 days 00:00:00.254185,Leaky,ReLU,Tanh,,,4,24,4.0,23.0,,,0.00013565645986571704,3,60,0.10709620705103155,2.1912006520726836e-05,COMPLETE
6,0.9800541400909424,2023-08-24 11:56:09.812197,2023-08-24 11:56:10.669282,0 days 00:00:00.857085,Tanh,ReLU,Leaky,,,4,21,14.0,17.0,,,1.5297176717534113e-05,3,40,0.5754536608658519,0.004908099695926789,COMPLETE
7,0.4864417314529419,2023-08-24 11:56:10.669571,2023-08-24 11:56:10.893903,0 days 00:00:00.224332,ReLU,,,,,10,13,,,,,0.004054879389973332,1,100,0.1845272085702357,7.765496073931108e-05,COMPLETE
8,0.8643850088119507,2023-08-24 11:56:10.894188,2023-08-24 11:56:11.217195,0 days 00:00:00.323007,ReLU,Leaky,Leaky,Leaky,Sigmoid,4,20,7.0,2.0,23.0,16.0,2.604125658462772e-05,5,40,0.15895721886766398,0.002033264134204007,COMPLETE
9,0.5139339566230774,2023-08-24 11:56:11.217467,2023-08-24 11:56:11.501223,0 days 00:00:00.283756,Sigmoid,Leaky,ReLU,ReLU,,10,12,14.0,13.0,5.0,,0.0006116874712008727,4,40,0.3843806148589522,0.0004909703607419261,COMPLETE
10,0.3753277659416199,2023-08-24 11:56:11.501491,2023-08-24 11:56:12.071877,0 days 00:00:00.570386,Tanh,Sigmoid,,,,16,6,23.0,,,,0.09126434150559921,2,80,0.7800360730986687,0.04488275244884318,COMPLETE
11,1.0480278730392456,2023-08-24 11:56:12.072122,2023-08-24 11:56:12.866288,0 days 00:00:00.794166,ReLU,ReLU,Tanh,Sigmoid,ReLU,8,9,20.0,9.0,8.0,2.0,0.024123230683944622,5,40,0.7847713082154119,0.012181794913677317,COMPLETE
12,0.4422748386859894,2023-08-24 11:56:12.866565,2023-08-24 11:56:14.663836,0 days 00:00:01.797271,Leaky,Tanh,Sigmoid,Sigmoid,,2,16,9.0,19.0,15.0,,0.0008067799222528399,4,40,0.5356711761466281,0.0007331926739960161,COMPLETE
13,0.37313777208328247,2023-08-24 11:56:14.664105,2023-08-24 11:56:14.785215,0 days 00:00:00.121110,ReLU,Sigmoid,,,,16,10,17.0,,,,0.011123533091530673,2,40,0.2841897351689886,0.013558872089756004,COMPLETE
14,0.530248761177063,2023-08-24 11:56:14.785473,2023-08-24 11:56:15.086775,0 days 00:00:00.301302,ReLU,ReLU,Tanh,Tanh,,16,7,18.0,9.0,1.0,,0.09876889726413919,4,40,0.6044064773271571,0.00022666745398700367,COMPLETE
15,0.422169953584671,2023-08-24 11:56:15.087052,2023-08-24 11:56:15.247582,0 days 00:00:00.160530,ReLU,Leaky,Sigmoid,Sigmoid,Tanh,30,14,10.0,13.0,15.0,8.0,0.0012105424485819524,5,40,0.4634243821516879,0.0013632588357500753,COMPLETE
