Id, Name, Cites, Documents
57191222972, Choi Inyoung, 1, 1
58434622500,  Lee Bo Young, 1, 1
57653983500,  Kim Sangbin, 1, 1
58080796900,  Imm Seulgi, 1, 1
57193332875,  Chang Yoonjee, 1, 2
24075803800,  Han Jaejoon, 1, 2
25822575400, Janowicz Monika, 0, 2
56717686700,  Kadzińska Justyna, 0, 2
47561153100,  Ciurzyńska Agnieszka, 0, 2
56730478200,  Szulc Karolina, 0, 1
51061033000,  Galus Sabina, 0, 2
57218624627,  Karwacka Magdalena, 0, 2
37361460600,  Nowacka Małgorzata, 13, 2
55561397500, Sukhavattanakul Pongpat, 0, 1
57195692969,  Thanyacharoen Thanyaluck, 0, 1
26646404500,  Chuysinuan Piyachat, 0, 1
9735557300,  Techasakul Supanna, 0, 1
42361690900,  Ummartyotin Sarute, 0, 1
7101974645, Garrido M. Dolores, 0, 1
56316018800,  Egea Macarena, 0, 1
12753246200,  Font-i-Furnols Maria, 0, 1
8652888800,  Linares M. Belén, 0, 1
57195267006,  Peñaranda Irene, 0, 1
57183438700, Ren Yuan-Yuan, 0, 1
58512217000,  Fang Juan-Li, 0, 1
58513670200,  Gong Rui-Zhi, 0, 1
58512702700,  Xiang Zi-Ling, 0, 1
57205335384,  Sun Peng-Peng, 0, 1
57211118960, Nguyen Quoc-Duy, 2, 2
58283830100,  Tran Thi Tuong Vi, 2, 1
57354686600,  Nguyen Nhu-Ngoc, 2, 2
58174685500,  Nguyen Tran-Phong, 2, 2
58174685600,  Lien Tuyet-Ngan, 2, 2
57196266905, Chen Ying, 1, 1
57201896793,  Wei Feng, 1, 1
55906876500,  Mu Wei, 1, 1
7402400793,  Han Xiaojun, 1, 1
58361429300, Reyes Méndez Laura María, 0, 1
58362061800,  Méndez Morales Paula Andrea, 0, 1
55915687700,  López-Córdoba Alex, 0, 1
55966323300,  Ortega-Toro Rodrigo, 0, 1
56414510900,  Gutiérrez Tomy J., 77, 2
58413460700, Dinh Thiet Anh, 0, 1
58414231200,  Le Yen Nhi, 0, 1
58411935400,  Pham Nhat Quyen, 0, 1
58412705500,  Ton-That Phu, 0, 1
58414231300,  Van-Xuan Thinh, 0, 1
57807412500,  Ho Thanh Gia-Thien, 0, 1
57209017513,  Nguyen Tri, 0, 1
58411170400,  Phuong Ha Huynh Ky, 0, 1
58124576600, Anean Hosam Aboul, 1, 1
36598839900,  Mallasiy L.O., 1, 1
57208069318,  Bader Dina M. D., 1, 1
57903488000,  Shaat Heba A., 1, 1
57201554499, Silva Sofia P. M., 0, 1
13402823200,  Teixeira José A., 743, 6
7201387501,  Silva Célia C. G., 0, 1
58097059200, Priyadharshee M., 1, 1
11939497000,  Preetha R., 1, 1
57573805200, Waraczewski Robert, 1, 1
24385603500,  Muszyński Siemowit, 1, 1
24475635600,  Sołowiej Bartosz G., 32, 2
57210789263, Rosseto Marieli, 19, 2
57215721574,  Rigueto Cesar Vinicius Toniciolli, 4, 1
57221662632,  Alessandretti Ingridy, 19, 2
57958190000,  de Oliveira Rafaela, 19, 2
57981727500,  Raber Wohlmuth Daniela Alexia, 4, 1
36551180500,  Loss Raquel Aparecida, 19, 2
35315367000,  Dettmer Aline, 19, 2
55555297600,  Richards Neila Silvia Pereira dos Santos, 4, 1
57189266976, González-López Martín Esteban, 0, 1
57196150158,  Calva-Estrada Sergio de Jesús, 0, 1
57205531771,  Gradilla-Hernández Misael Sebastián, 0, 1
57221390910,  Barajas-Álvarez Paloma, 0, 1
57189111064, Adeyeye S.A.O., 0, 1
56386260000,  Surendra Babu A., 0, 1
58246421000,  Guruprasath N., 0, 1
58246421100,  Sankar Ganesh P., 0, 1
57200964800, Das Somenath, 7, 2
57200965795,  Chaudhari Anand Kumar, 7, 2
57206994267,  Singh Vipin Kumar, 7, 1
55444994200,  Dwivedy Abhishek Kumar, 7, 2
7006062211,  Dubey Nawal Kishore, 7, 2
58236763900, Pouralkhas Mohsen, 0, 1
49461427600,  Kordjazi Moazemeh, 0, 1
35305609800,  Ojagh Seyed Mahdi, 0, 1
58237487700,  Farsani Omid Asadi, 0, 1
57193711737, Gürler Nedim, 1, 1
58370176300, da Rocha Júlia, 0, 1
57226344955,  Mustafa Syed Khalid, 0, 1
58370176400,  Jagnandan Antalov, 0, 1
57221604185,  Ahmad Mohammad Ayaz, 0, 1
57507188200,  Rebezov Maksim, 52, 2
56096567300,  Shariati Mohammad Ali, 61, 3
57194237932,  de Souza Carolina Krebs, 35, 2
56040106700, Shahdadi Fatemeh, 0, 1
58360882000,  Faryabi Maliheh, 0, 1
14521310700,  Khan Haroon, 0, 1
56896100900,  Sardoei Ali Salehi, 0, 1
57194506922,  Fazeli-Nasab Bahman, 0, 1
36441148500,  Goh Bey Hing, 0, 1
57210704305,  Goh Khang Wen, 0, 1
58506512400,  Tan Ching Siang, 0, 1
56228715900, Kowalczyk Dariusz, 351, 16
7005257963,  Karaś Monika, 45, 2
6506674644,  Kordowska-Wiater Monika, 76, 3
22235291400,  Skrzypek Tomasz, 65, 6
11839002700,  Kazimierczak Waldemar, 60, 4
58513480600, Lv Yifei, 0, 1
58512025900,  Deng Yuzhen, 0, 1
58144930500,  Wang Mingru, 0, 1
58512991200,  Li Cuiping, 0, 1
58512508000,  Xie Peng, 0, 1
55303342000,  Sun Baozhong, 0, 1
57219008902,  Yang Xiaoxi, 0, 1
56531555000,  Lang Yumiao, 0, 1
57208795183, Karkar Büşra, 6, 3
15027401600,  Şahin Saliha, 6, 3
58284051700,  Bekiz Dilara, 0, 1
57614868300,  Akça Bekir, 4, 2
57200678942,  Özakın Cüneyt, 4, 2
57464036800, Phuong Nguyen Thi Hang, 0, 1
57266207300,  Koga Arisa, 0, 1
58157433000,  Nkede Francis Ngwane, 0, 1
56297667700,  Tanaka Fumina, 14, 3
57195377796,  Tanaka Fumihiko, 14, 3
57992701900, Bhatia Saurabh, 14, 5
6506093146,  Al-Harrasi Ahmed, 24, 7
57203688005,  Ullah Sana, 14, 5
57677849600,  Al-Azri Mohammed Said, 24, 7
7003826787,  Bekhit Alaa El-Din Ahmed, 2, 1
55670872400,  Karam Layal, 2, 1
57193443653,  Albratty Mohammed, 22, 5
57208085196,  Aldawsari Mohammed F., 11, 4
16303126000,  Anwer Md. Khalid, 7, 4
53980962300,  Bryś Joanna, 0, 1
58512850800, Li Yuan, 0, 1
58513342700,  Guo Liang, 0, 1
58512610500,  Yi Xiaohan, 0, 1
57338094300,  Xu Qixuan, 0, 1
58513095000,  Zhang Qiao, 0, 1
58511881400,  Zhou Yanxin, 0, 1
58010006900,  Li Xiaoyan, 0, 1
58512610600,  Chen Bin, 0, 1
58512370600,  Zhao Ningwei, 0, 1
58513095100,  Pan Wei, 0, 1
58475907100,  He Yibo, 0, 1
57338538500,  Cao Peng, 0, 1
36104554900,  Pan Yang, 0, 1
57208636086,  Chen Jing, 0, 1
57224868022, Wang Zun, 2, 1
36569925800,  Ng Ken, 2, 1
8605541900,  Warner Robyn Dorothy, 2, 1
7004609220,  Stockmann Regine, 2, 1
11739266000,  Fang Zhongxiang, 2, 1
58055466200, Matadamas-Ortiz Alexis, 2, 1
37069101100,  Hernández-Hernández Elvia, 29, 2
55993630900,  Castaño-Tostado Eduardo, 2, 1
36636729800,  Amaro-Reyes Aldo, 222, 5
7801345595,  García-Almendárez Blanca E., 249, 6
57209239720,  Velazquez Gonzalo, 45, 3
18040985700,  Regalado-González Carlos, 251, 7
57918060900, Molnar Dunja, 5, 2
24466895100,  Novotni Dubravka, 5, 2
37021579300,  Kurek Mia, 41, 2
6602933520,  Galić Kata, 41, 2
6506683282,  Iveković Damir, 5, 1
57918650400,  Bionda Helena, 5, 1
35849463600,  Ščetar Mario, 5, 2
58195414300,  Patır İlkyaz, 2, 1
58196163800,  Eyüboğlu Serenay, 2, 1
57200366579, Wardana Ata Aditya, 15, 3
57557254900,  Wigati Laras Putri, 14, 2
57224768783, Pandia-Estrada Silvia, 3, 2
57224785005,  Romero-Santivañez Renzo, 3, 2
57782230500, Azizah Farrah, 4, 2
58248878300,  Nursakti Herwinda, 0, 1
56217468000,  Ningrum Andriati, 24, 5
58502356000,  Supriyadi, 0, 1
57193313942, Erceg Tamara, 7, 1
57199720757,  Šovljanski Olja, 7, 1
56964443800,  Stupar Alena, 7, 1
57844308500,  Ugarković Jovana, 7, 1
54381326700,  Aćimović Milica, 7, 1
8415644100,  Pezo Lato, 7, 1
57557464900,  Tomić Ana, 7, 1
54900524500,  Todosijević Marina, 7, 1
57204517951, Muñoz-Tebar Nuria, 3, 1
7004684713,  Pérez-Álvarez José A., 460, 4
35236747400,  Fernández-López Juana, 485, 5
23468326500,  Viuda-Martos Manuel, 485, 5
57948486800, Hernández Maury S., 4, 1
16230518700,  Ludueña Leandro N., 4, 1
23977886600,  Flores Silvia K., 1128, 5
57951217000, Bhan Chander, 5, 1
24558695500,  Asrey Ram, 5, 1
57196184789,  Meena Nirmal Kumar, 5, 1
57035119500,  Rudra Shalini Gaur, 5, 1
6603782843,  Chawla Gautam, 5, 1
58109676500,  Kumar Raju, 5, 1
57223379009,  Kumar Rajesh, 5, 1
58544663500, Matloob Anam, 0, 1
58544328300,  Ayub Hudda, 0, 1
58544494000,  Mohsin Muhammad, 0, 1
57226169534,  Ambreen Saadia, 0, 1
58544494100,  Khan Faima Atta, 0, 1
