"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Correspondence Address"
"Choi I.; Lee B.Y.; Kim S.; Imm S.; Chang Y.; Han J.","Choi, Inyoung (57191222972); Lee, Bo Young (58434622500); Kim, Sangbin (57653983500); Imm, Seulgi (58080796900); Chang, Yoonjee (57193332875); Han, Jaejoon (24075803800)","57191222972; 58434622500; 57653983500; 58080796900; 57193332875; 24075803800","Comparison of chitosan and gelatin-based films and application to antimicrobial coatings enriched with grapefruit seed extract for cherry tomato preservation","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146948029&doi=10.1007%2fs10068-023-01254-9&partnerID=40&md5=af9e4265feb1c719f32786a3d5c131cb","J. Han; Department of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, 02841, South Korea; email: jjhan@korea.ac.kr; Y. Chang; Department of Food and Nutrition, College of Science and Technology, Kookmin University, Seoul, 02707, South Korea; email: ychang@kookmin.ac.kr"
"Janowicz M.; Kadzińska J.; Ciurzyńska A.; Szulc K.; Galus S.; Karwacka M.; Nowacka M.","Janowicz, Monika (25822575400); Kadzińska, Justyna (56717686700); Ciurzyńska, Agnieszka (47561153100); Szulc, Karolina (56730478200); Galus, Sabina (51061033000); Karwacka, Magdalena (57218624627); Nowacka, Małgorzata (37361460600)","25822575400; 56717686700; 47561153100; 56730478200; 51061033000; 57218624627; 37361460600","The Structure-Forming Potential of Selected Polysaccharides and Protein Hydrocolloids in Shaping the Properties of Composite Films Using Pumpkin Purée","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164030178&doi=10.3390%2fapp13126959&partnerID=40&md5=02f8f65dd9c2381acd5ab8a7c902342c","M. Karwacka; Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Warsaw, Nowoursynowska 159c, 02-776, Poland; email: magdalena_karwacka@sggw.edu.pl; M. Nowacka; Department of Food Engineering and Process Management, Institute of Food Sciences, Warsaw University of Life Sciences—SGGW, Warsaw, Nowoursynowska 159c, 02-776, Poland; email: malgorzata_nowacka@sggw.edu.pl"
"Sukhavattanakul P.; Thanyacharoen T.; Chuysinuan P.; Techasakul S.; Ummartyotin S.","Sukhavattanakul, Pongpat (55561397500); Thanyacharoen, Thanyaluck (57195692969); Chuysinuan, Piyachat (26646404500); Techasakul, Supanna (9735557300); Ummartyotin, Sarute (42361690900)","55561397500; 57195692969; 26646404500; 9735557300; 42361690900","Release characteristics of cannabidiol isolate based on polysaccharide edible film: comparative study","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151480988&doi=10.1007%2fs42247-023-00487-y&partnerID=40&md5=ef98ebd913d46ac507bd03bb57fcaadb","P. Sukhavattanakul; Department of Materials and Textile Technology, Faculty of Science and Technology, Thammasat University, Pathumtani, Thailand; email: pongpatsukhavattanakul@gmail.com; S. Ummartyotin; Department of Materials and Textile Technology, Faculty of Science and Technology, Thammasat University, Pathumtani, Thailand; email: sarute@tu.ac.th"
"Garrido M.D.; Egea M.; Font-i-Furnols M.; Linares M.B.; Peñaranda I.","Garrido, M. Dolores (7101974645); Egea, Macarena (56316018800); Font-i-Furnols, Maria (12753246200); Linares, M. Belén (8652888800); Peñaranda, Irene (57195267006)","7101974645; 56316018800; 12753246200; 8652888800; 57195267006","Consumer perception of entire male pork coated with spiced edible films as a new product to mask boar taint","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151235363&doi=10.1016%2fj.meatsci.2023.109171&partnerID=40&md5=942638c50008a4057525701cb0e0bd6f","I. Peñaranda; Department of Food Science and Technology, Veterinary Faculty, University of Murcia, Murcia, Espinardo, 30100, Spain; email: irene.penaranda@um.es"
"Ren Y.-Y.; Fang J.-L.; Gong R.-Z.; Xiang Z.-L.; Sun P.-P.","Ren, Yuan-Yuan (57183438700); Fang, Juan-Li (58512217000); Gong, Rui-Zhi (58513670200); Xiang, Zi-Ling (58512702700); Sun, Peng-Peng (57205335384)","57183438700; 58512217000; 58513670200; 58512702700; 57205335384","Preparation of alkali-soluble polysaccharide from Clausena lansium (Lour.) Skeels and its effects on properties of chitosan-based edible film","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166199245&doi=10.3389%2ffsufs.2023.1185951&partnerID=40&md5=73cf5512ddc90c9175ce8b4cb40c72bb","P.-P. Sun; College of Life Science, Yangtze University, Jingzhou, Hubei, China; email: pengpsun@yangtzeu.edu.cn"
"Nguyen Q.-D.; Tran T.T.V.; Nguyen N.-N.; Nguyen T.-P.; Lien T.-N.","Nguyen, Quoc-Duy (57211118960); Tran, Thi Tuong Vi (58283830100); Nguyen, Nhu-Ngoc (57354686600); Nguyen, Tran-Phong (58174685500); Lien, Tuyet-Ngan (58174685600)","57211118960; 58283830100; 57354686600; 58174685500; 58174685600","Preparation of gelatin/carboxymethyl cellulose/guar gum edible films enriched with methanolic extracts from shallot wastes and its application in the microbiological control of raw beef","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159922272&doi=10.1016%2fj.fpsl.2023.101091&partnerID=40&md5=98804cb3f68e14861a895dbe61d894b4","Q.-D. Nguyen; email: nqduy@ntt.edu.vn"
"Chen Y.; Wei F.; Mu W.; Han X.","Chen, Ying (57196266905); Wei, Feng (57201896793); Mu, Wei (55906876500); Han, Xiaojun (7402400793)","57196266905; 57201896793; 55906876500; 7402400793","Antioxidant and antibacterial starch-based edible films composed of eugenol/gelatin microspheres","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147768198&doi=10.1039%2fd2nj04457a&partnerID=40&md5=fdfd317cda922ed7d4b1609af56fc665","; X. Han; State Key Laboratory of Urban Water Resource and Environment, School of Chemistry and Chemical Engineering, Harbin Institute of Technology, Harbin, 92 West Da-Zhi Street, 150001, China; email: hanxiaojun@hit.edu.cn"
"Reyes Méndez L.M.; Méndez Morales P.A.; López-Córdoba A.; Ortega-Toro R.; Gutiérrez T.J.","Reyes Méndez, Laura María (58361429300); Méndez Morales, Paula Andrea (58362061800); López-Córdoba, Alex (55915687700); Ortega-Toro, Rodrigo (55966323300); Gutiérrez, Tomy J. (56414510900)","58361429300; 58362061800; 55915687700; 55966323300; 56414510900","Active chitosan/gelatin-based films and coatings containing eugenol and oregano essential oil for fresh cheese preservation","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163105607&doi=10.1111%2fjfpe.14396&partnerID=40&md5=75663be6872c2daaaf9fb6bec7d92dc4","L.M. Reyes Méndez; Grupo de Investigación en Etnofarmacología, Productos Naturales y Alimentos, Escuela de Ciencias Básicas Tecnología e Ingeniería, Universidad Nacional Abierta y a Distancia, Bogotá, Calle 14 Sur # 14-23, Colombia; email: laura.reyes@unad.edu.co"
"Dinh T.A.; Le Y.N.; Pham N.Q.; Ton-That P.; Van-Xuan T.; Ho T.G.-T.; Nguyen T.; Phuong H.H.K.","Dinh, Thiet Anh (58413460700); Le, Yen Nhi (58414231200); Pham, Nhat Quyen (58411935400); Ton-That, Phu (58412705500); Van-Xuan, Thinh (58414231300); Ho, Thanh Gia-Thien (57807412500); Nguyen, Tri (57209017513); Phuong, Ha Huynh Ky (58411170400)","58413460700; 58414231200; 58411935400; 58412705500; 58414231300; 57807412500; 57209017513; 58411170400","Fabrication of antimicrobial edible films from chitosan incorporated with guava leaf extract","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163758982&doi=10.1016%2fj.porgcoat.2023.107772&partnerID=40&md5=cb1c1617936992d5d688280ad3e6542b","T. Nguyen; Institute of Chemical Technology, Vietnam Academy of Science and Technology, Ho Chi Minh City, No.1A, TL29 Str., Thanh Loc Ward, Dist. 12, Viet Nam; email: ntri@ict.vast.vn; H.H.K. Phuong; Vietnam National University Ho Chi Minh City, Ho Chi Minh City, Linh Trung Ward, Thu Duc Dist., Viet Nam; email: hkpha@hcmut.edu.vn"
"Anean H.A.; Mallasiy L.O.; Bader D.M.D.; Shaat H.A.","Anean, Hosam Aboul (58124576600); Mallasiy, L.O. (36598839900); Bader, Dina M. D. (57208069318); Shaat, Heba A. (57903488000)","58124576600; 36598839900; 57208069318; 57903488000","Nano Edible Coatings and Films Combined with Zinc Oxide and Pomegranate Peel Active Phenol Compounds Has Been to Extend the Shelf Life of Minimally Processed Pomegranates","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149233075&doi=10.3390%2fma16041569&partnerID=40&md5=e3667296e0aa0ae0305a779ee081f752","H.A. Anean; Food Engineering and Packaging Department, Food Technology Research Institute (FTRI), Agriculture Research Center (ARC), Giza, 12619, Egypt; email: hosam.ftri@yahoo.com"
