number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
0,0.2534346580505371,2023-08-23 20:13:08.398423,2023-08-23 20:13:11.015581,0 days 00:00:02.617158,ReLU,Leaky,,,,16,7,19.0,,,,0.0013535220504453346,2,60,0.2702242290141053,0.001754241234042586,COMPLETE
1,0.9823774099349976,2023-08-23 20:13:11.015870,2023-08-23 20:13:22.239974,0 days 00:00:11.224104,ReLU,Tanh,Leaky,Tanh,Sigmoid,2,16,17.0,10.0,17.0,24.0,0.04267456134800628,5,60,0.17708488513970133,0.03148189708869864,COMPLETE
2,1.0773494243621826,2023-08-23 20:13:22.240271,2023-08-23 20:13:23.168134,0 days 00:00:00.927863,ReLU,Leaky,Sigmoid,ReLU,Sigmoid,16,7,19.0,1.0,5.0,3.0,0.0016203183236028246,5,40,0.1677378746169094,0.0014216004337082911,COMPLETE
3,0.3142692744731903,2023-08-23 20:13:23.168427,2023-08-23 20:13:26.497167,0 days 00:00:03.328740,Tanh,Tanh,Tanh,Sigmoid,,8,22,24.0,6.0,23.0,,0.0002727459828740349,4,60,0.24139811813179202,0.0018924005172332448,COMPLETE
4,0.2587525546550751,2023-08-23 20:13:26.497456,2023-08-23 20:13:38.289767,0 days 00:00:11.792311,Leaky,Leaky,Leaky,ReLU,,4,22,19.0,11.0,13.0,,5.9842350757362175e-05,4,60,0.4393660969126737,0.005419781365388891,COMPLETE
5,0.2689240276813507,2023-08-23 20:13:38.290046,2023-08-23 20:13:40.611774,0 days 00:00:02.321728,Leaky,,,,,10,13,,,,,0.0008260786714366844,1,80,0.2527633013051847,0.000102856000533047,COMPLETE
6,0.19808387756347656,2023-08-23 20:13:40.612026,2023-08-23 20:13:43.864739,0 days 00:00:03.252713,ReLU,Sigmoid,ReLU,ReLU,Leaky,30,10,5.0,15.0,22.0,17.0,0.03590238597495173,5,100,0.42812073861280114,0.0009027515279981951,COMPLETE
7,0.1782669872045517,2023-08-23 20:13:43.865061,2023-08-23 20:13:47.650304,0 days 00:00:03.785243,Tanh,Tanh,Sigmoid,,,16,12,14.0,16.0,,,0.007271850452916892,3,60,0.6094856600006077,0.0009584872787409579,COMPLETE
8,0.35102492570877075,2023-08-23 20:13:47.650579,2023-08-23 20:13:48.734884,0 days 00:00:01.084305,Sigmoid,ReLU,Tanh,Leaky,,30,16,16.0,1.0,22.0,,0.0006391348825506529,4,40,0.38099065531255977,1.3121147815628e-05,COMPLETE
9,0.5478692650794983,2023-08-23 20:13:48.735151,2023-08-23 20:13:55.759332,0 days 00:00:07.024181,Sigmoid,Tanh,Leaky,Sigmoid,Sigmoid,4,19,19.0,2.0,11.0,13.0,6.987568099539512e-05,5,60,0.23256589306621991,1.638414149703775e-05,COMPLETE
10,0.973516047000885,2023-08-23 20:13:55.759615,2023-08-23 20:14:02.533621,0 days 00:00:06.774006,Tanh,ReLU,,,,12,1,7.0,,,,1.051647219837492e-05,2,80,0.720768643741381,0.09350939957778374,COMPLETE
11,0.2397310584783554,2023-08-23 20:14:02.533885,2023-08-23 20:14:06.778145,0 days 00:00:04.244260,Tanh,Sigmoid,ReLU,,,30,9,1.0,20.0,,,0.03156772895718799,3,100,0.6916452815410047,0.00035346448840149774,COMPLETE
12,0.17384712398052216,2023-08-23 20:14:06.778406,2023-08-23 20:14:10.030150,0 days 00:00:03.251744,Tanh,Sigmoid,Sigmoid,,,30,11,9.0,18.0,,,0.01206260291193408,3,100,0.5356019722734021,0.00028953614826548595,COMPLETE
13,0.3211975395679474,2023-08-23 20:14:10.030412,2023-08-23 20:14:15.782217,0 days 00:00:05.751805,Tanh,Sigmoid,Sigmoid,,,16,2,10.0,24.0,,,0.007793792348152648,3,100,0.5568884309434012,0.0001506836444857846,COMPLETE
14,0.17040607333183289,2023-08-23 20:14:15.782488,2023-08-23 20:14:51.702909,0 days 00:00:35.920421,Tanh,Sigmoid,,,,2,13,12.0,,,,0.007171252725793857,2,100,0.540891950898521,7.107704586622572e-05,COMPLETE
15,0.2499234527349472,2023-08-23 20:14:51.703168,2023-08-23 20:14:58.935715,0 days 00:00:07.232547,Tanh,Sigmoid,,,,2,16,11.0,,,,0.008798493077675175,2,100,0.10870987019021074,5.224130718847248e-05,COMPLETE
16,0.30565962195396423,2023-08-23 20:14:58.935969,2023-08-23 20:15:39.450749,0 days 00:00:40.514780,Tanh,,,,,2,6,,,,,0.07875721072649744,1,100,0.7613468063264429,3.647680364569097e-05,COMPLETE
17,0.1799481362104416,2023-08-23 20:15:39.451000,2023-08-23 20:15:48.044980,0 days 00:00:08.593980,Tanh,Sigmoid,,,,8,12,8.0,,,,0.004046498238538443,2,100,0.4991490208366516,0.00022306273310907177,COMPLETE
18,0.20052437484264374,2023-08-23 20:15:48.045231,2023-08-23 20:15:53.663454,0 days 00:00:05.618223,Sigmoid,Sigmoid,Sigmoid,,,10,14,12.0,21.0,,,0.012174536671132233,3,100,0.35060900000580514,6.000237099728619e-05,COMPLETE
19,0.19555440545082092,2023-08-23 20:15:53.663713,2023-08-23 20:15:58.994103,0 days 00:00:05.330390,Leaky,,,,,12,19,,,,,0.0028589385205968747,1,100,0.5460618503280187,0.0002649688155074087,COMPLETE
20,0.2591935992240906,2023-08-23 20:15:58.994345,2023-08-23 20:15:59.732586,0 days 00:00:00.738241,Tanh,Sigmoid,,,,30,4,3.0,,,,0.020846876750276883,2,40,0.336596926241487,3.73300470306548e-05,COMPLETE
21,0.1947045773267746,2023-08-23 20:15:59.732835,2023-08-23 20:16:37.359007,0 days 00:00:37.626172,Tanh,Tanh,Sigmoid,,,2,11,14.0,16.0,,,0.005141492142194445,3,80,0.6211851352183508,0.0004554626154851562,COMPLETE
22,0.17925404012203217,2023-08-23 20:16:37.359263,2023-08-23 20:16:41.827013,0 days 00:00:04.467750,Tanh,Tanh,Sigmoid,Tanh,,16,9,14.0,17.0,1.0,,0.013292475558526974,4,60,0.6292237351455181,0.0001406735086913434,COMPLETE
23,0.19687366485595703,2023-08-23 20:16:41.827285,2023-08-23 20:16:50.089495,0 days 00:00:08.262210,Tanh,Sigmoid,Sigmoid,,,16,14,9.0,13.0,,,0.003251923318892388,3,100,0.7980267031575469,0.00046599703125568056,COMPLETE
24,0.18201538920402527,2023-08-23 20:16:50.089760,2023-08-23 20:16:52.753377,0 days 00:00:02.663617,Tanh,ReLU,,,,30,19,13.0,,,,0.01628071979639177,2,100,0.4908676551834235,0.0001046494690822254,COMPLETE
25,0.1755630522966385,2023-08-23 20:16:52.753622,2023-08-23 20:17:18.802956,0 days 00:00:26.049334,Tanh,Tanh,Sigmoid,,,2,11,6.0,20.0,,,0.006688767885156097,3,60,0.5728312927310109,0.0004875657954914517,COMPLETE
26,0.31121864914894104,2023-08-23 20:17:18.803211,2023-08-23 20:17:53.097114,0 days 00:00:34.293903,Tanh,Sigmoid,Sigmoid,Leaky,,2,8,6.0,21.0,7.0,,0.06051952716072364,4,80,0.4846009654142974,8.175604999492127e-05,COMPLETE
27,0.2149808555841446,2023-08-23 20:17:53.097376,2023-08-23 20:18:04.277638,0 days 00:00:11.180262,Sigmoid,Sigmoid,,,,2,15,3.0,,,,0.021830012588048706,2,40,0.4246471267686467,0.00023301847249834303,COMPLETE
28,0.18485310673713684,2023-08-23 20:18:04.277894,2023-08-23 20:18:54.279015,0 days 00:00:50.001121,Leaky,Tanh,Tanh,,,2,11,4.0,19.0,,,0.0029548593532391656,3,100,0.6496645969103592,2.444723408708388e-05,COMPLETE
29,0.4552769362926483,2023-08-23 20:18:54.279278,2023-08-23 20:19:12.310057,0 days 00:00:18.030779,ReLU,,,,,2,5,,,,,0.08005334115975998,1,60,0.5589887677917702,1.1287814465186946e-05,COMPLETE
30,0.1685137152671814,2023-08-23 20:19:12.310312,2023-08-23 20:19:26.671272,0 days 00:00:14.360960,Tanh,Leaky,,,,4,18,8.0,,,,0.006765141605037579,2,60,0.7074856843296078,0.0005693670806322313,COMPLETE
31,0.19128093123435974,2023-08-23 20:19:26.671520,2023-08-23 20:19:40.587299,0 days 00:00:13.915779,Tanh,Leaky,,,,4,24,8.0,,,,0.006107694263158149,2,60,0.679326817672303,0.0004689611787097024,COMPLETE
32,0.18765783309936523,2023-08-23 20:19:40.587547,2023-08-23 20:19:56.427450,0 days 00:00:15.839903,Tanh,Leaky,,,,4,13,10.0,,,,0.015181313655397046,2,60,0.77855442876237,0.00012897199101605358,COMPLETE
33,0.2688461244106293,2023-08-23 20:19:56.427714,2023-08-23 20:20:09.885388,0 days 00:00:13.457674,Tanh,Leaky,ReLU,,,4,18,6.0,24.0,,,0.031330958800255576,3,60,0.5661647193133513,0.0006980181264764915,COMPLETE
34,0.21918818354606628,2023-08-23 20:20:09.885663,2023-08-23 20:20:15.765498,0 days 00:00:05.879835,ReLU,,,,,8,17,,,,,0.0017149168117955868,1,60,0.68436444759108,0.002321855749512749,COMPLETE
35,0.2317432016134262,2023-08-23 20:20:15.765746,2023-08-23 20:20:38.560318,0 days 00:00:22.794572,Tanh,Leaky,Sigmoid,,,2,7,9.0,18.0,,,0.00898092761026005,3,60,0.4913155291603018,0.0015446047558116155,COMPLETE
36,0.1951933056116104,2023-08-23 20:20:38.560581,2023-08-23 20:20:45.206164,0 days 00:00:06.645583,Tanh,Leaky,,,,10,11,11.0,,,,0.0016846826574340927,2,60,0.7898624610022031,0.003285290320060694,COMPLETE
37,0.23239465057849884,2023-08-23 20:20:45.206415,2023-08-23 20:20:55.611622,0 days 00:00:10.405207,Leaky,ReLU,Sigmoid,Sigmoid,,4,9,7.0,13.0,17.0,,0.005258707725559608,4,40,0.5810853295512656,0.0008725734387594838,COMPLETE
38,0.1862287074327469,2023-08-23 20:20:55.611889,2023-08-23 20:21:00.875935,0 days 00:00:05.264046,ReLU,Tanh,,,,12,21,16.0,,,,0.011314628803958856,2,100,0.4469021928563308,0.0002273854615189239,COMPLETE
39,0.19793954491615295,2023-08-23 20:21:00.876200,2023-08-23 20:21:03.504474,0 days 00:00:02.628274,Tanh,Leaky,Tanh,Tanh,,30,14,12.0,7.0,1.0,,0.04984430026797557,4,60,0.6308458455097945,0.0006549205372245512,COMPLETE
40,0.22348999977111816,2023-08-23 20:21:03.504749,2023-08-23 20:21:19.925131,0 days 00:00:16.420382,Tanh,,,,,2,21,,,,,0.0022158198856675206,1,80,0.3800212225908526,0.0011801388302133504,COMPLETE
41,0.20972901582717896,2023-08-23 20:21:19.925375,2023-08-23 20:21:23.752907,0 days 00:00:03.827532,Tanh,Tanh,Sigmoid,,,16,12,15.0,15.0,,,0.006469870533485042,3,60,0.6042816494357808,0.0011344195106788978,COMPLETE
42,0.278637558221817,2023-08-23 20:21:23.753177,2023-08-23 20:21:27.054933,0 days 00:00:03.301756,Tanh,Tanh,Sigmoid,,,16,10,13.0,21.0,,,0.022791692386425564,3,60,0.5230516441706293,0.006377051435585007,COMPLETE
43,0.26263707876205444,2023-08-23 20:21:27.055195,2023-08-23 20:21:29.528849,0 days 00:00:02.473654,Sigmoid,Tanh,Sigmoid,,,30,13,10.0,18.0,,,0.003801127054259071,3,60,0.6776574532975935,0.00035422014324984073,COMPLETE
44,0.22850237786769867,2023-08-23 20:21:29.529114,2023-08-23 20:21:43.602949,0 days 00:00:14.073835,Tanh,Tanh,Sigmoid,,,4,10,17.0,23.0,,,0.001136497236731218,3,60,0.6052332358847482,0.0007381287594564664,COMPLETE
45,0.21489471197128296,2023-08-23 20:21:43.603205,2023-08-23 20:21:48.770324,0 days 00:00:05.167119,Tanh,Tanh,Sigmoid,Leaky,,16,15,5.0,15.0,17.0,,0.009070388214099017,4,60,0.7200636803251671,0.0019697417745238,COMPLETE
46,0.1854696422815323,2023-08-23 20:21:48.770599,2023-08-23 20:21:57.831302,0 days 00:00:09.060703,Tanh,Sigmoid,,,,8,12,23.0,,,,0.005354672211445646,2,100,0.52767027856846,0.00017360151437979864,COMPLETE
47,0.23261401057243347,2023-08-23 20:21:57.831607,2023-08-23 20:22:00.853705,0 days 00:00:03.022098,Leaky,Leaky,ReLU,,,10,8,7.0,22.0,,,0.0007230805874763962,3,40,0.4634785966174373,8.365110511282283e-05,COMPLETE
48,0.13288822770118713,2023-08-23 20:22:00.853979,2023-08-23 20:22:05.773776,0 days 00:00:04.919797,Tanh,Tanh,Leaky,Tanh,,30,17,11.0,18.0,8.0,,0.008201303042201211,4,100,0.7209893929913491,0.0005681864549195233,COMPLETE
49,0.17419688403606415,2023-08-23 20:22:05.774057,2023-08-23 20:22:10.503723,0 days 00:00:04.729666,ReLU,Sigmoid,Leaky,Tanh,,30,17,9.0,10.0,8.0,,0.010367794134556386,4,100,0.6727660473618902,0.00030290578767240263,COMPLETE
50,0.19781005382537842,2023-08-23 20:22:10.504005,2023-08-23 20:22:15.987003,0 days 00:00:05.482998,ReLU,Sigmoid,Leaky,Tanh,ReLU,30,17,11.0,10.0,10.0,3.0,0.03942546840466106,5,100,0.7153424829719779,0.0001815597448627878,COMPLETE
51,0.18386493623256683,2023-08-23 20:22:15.987296,2023-08-23 20:22:21.054182,0 days 00:00:05.066886,ReLU,Sigmoid,Leaky,Tanh,,30,17,9.0,8.0,6.0,,0.009926189212654117,4,100,0.7311410655313743,0.0003048175423623736,COMPLETE
52,0.18320824205875397,2023-08-23 20:22:21.054461,2023-08-23 20:22:25.494677,0 days 00:00:04.440216,ReLU,Sigmoid,Leaky,Tanh,Tanh,30,20,8.0,12.0,8.0,24.0,0.007084429991671639,5,100,0.577629231624923,0.0005346922552543639,COMPLETE
53,0.19233322143554688,2023-08-23 20:22:25.494960,2023-08-23 20:22:30.098775,0 days 00:00:04.603815,ReLU,Sigmoid,Leaky,Tanh,,30,16,6.0,8.0,14.0,,0.0040972951190108515,4,100,0.6657031771379217,0.00030649784428472344,COMPLETE
54,0.17235514521598816,2023-08-23 20:22:30.099055,2023-08-23 20:22:33.721582,0 days 00:00:03.622527,Tanh,ReLU,Leaky,Tanh,,30,18,10.0,19.0,3.0,,0.017022309213491155,4,100,0.521367681569003,0.00036510791790779425,COMPLETE
55,0.19901801645755768,2023-08-23 20:22:33.721875,2023-08-23 20:22:37.392497,0 days 00:00:03.670622,Sigmoid,ReLU,Leaky,Tanh,,30,18,11.0,14.0,4.0,,0.01536242266412875,4,100,0.5289992801547267,0.000333345549604071,COMPLETE
56,0.17836697399616241,2023-08-23 20:22:37.392779,2023-08-23 20:22:42.995614,0 days 00:00:05.602835,Tanh,ReLU,Leaky,Tanh,Leaky,30,18,12.0,17.0,4.0,9.0,0.02921927704228521,5,100,0.7343738588146705,0.00016253471036582523,COMPLETE
57,0.16071398556232452,2023-08-23 20:22:42.995907,2023-08-23 20:22:47.476632,0 days 00:00:04.480725,Tanh,ReLU,Leaky,Tanh,,30,23,9.0,5.0,10.0,,0.020985689155308258,4,100,0.6467197940887518,0.00011106973371596962,COMPLETE
58,0.16700223088264465,2023-08-23 20:22:47.476913,2023-08-23 20:22:50.453843,0 days 00:00:02.976930,Tanh,ReLU,Leaky,Tanh,,30,23,10.0,3.0,9.0,,0.017174348933523962,4,100,0.4245948353992937,7.32353242057219e-05,COMPLETE
59,0.16988597810268402,2023-08-23 20:22:50.454140,2023-08-23 20:22:54.769784,0 days 00:00:04.315644,Tanh,ReLU,Leaky,Tanh,,30,24,10.0,4.0,10.0,,0.019314414660450353,4,100,0.6268034390327454,5.651726700850586e-05,COMPLETE
60,0.1795998513698578,2023-08-23 20:22:54.770068,2023-08-23 20:23:05.328520,0 days 00:00:10.558452,Tanh,ReLU,Leaky,Tanh,Tanh,12,24,8.0,4.0,10.0,16.0,0.02457054321447655,5,100,0.6061788318322138,5.797284300187391e-05,COMPLETE
61,0.1643567830324173,2023-08-23 20:23:05.328816,2023-08-23 20:23:08.884352,0 days 00:00:03.555536,Tanh,ReLU,Leaky,Tanh,,30,23,10.0,4.0,10.0,,0.02022439002631285,4,100,0.514822476588561,0.00011368497009855413,COMPLETE
